Rk,Player,Tkl/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Tkl/90,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Pos
1001,Andy Diouf,1.5,2024-2025,21,fr FRA,Lens,fr Ligue 1,34,2225,24.7,27,7,0,0,0.1,0.1,0,0,0,0,1.5,1.1,0.4,0.9,0.2,0.6,1.6,40,1,1,0,0.9,0.6,2.1,0.7,0.1,MF
1002,Murillo,1.5,2024-2025,22,br BRA,Nott'ham Forest,eng Premier League,36,3188,35.4,36,0,0,0.1,0,0.1,0.1,0,0,0,1.5,1,1.1,0.3,0.1,0.8,1.3,58.7,0.5,1.9,1.3,0.7,1,2.5,7,0.1,DF
1003,Frenkie de Jong,1.5,2024-2025,27,nl NED,Barcelona,es La Liga,26,1143,12.7,9,17,3,0.2,0.2,0.3,0.2,0,0,0,1.5,0.9,0.4,0.6,0.5,0.6,1.3,50,0.6,0.7,0.1,0.6,0.9,2.4,0.6,0.1,MF
1004,Granit Xhaka,1.5,2024-2025,31,ch SUI,Leverkusen,de Bundesliga,33,2888,32.1,33,0,1,0.1,0.2,0.3,0.1,0,0,0,1.5,0.8,0.5,0.8,0.2,0.7,1.3,57.1,0.6,0.9,0.2,0.7,0.4,1.9,1.6,0.2,MF
1005,Nuno Tavares,1.5,2024-2025,24,pt POR,Lazio,it Serie A,23,1686,18.7,22,1,3,0,0.4,0.4,0,0,0,0,1.5,1.1,0.8,0.4,0.3,0.7,1.8,41.2,1.1,1.1,0.2,1,1.1,2.6,2.3,0.1,DF
1006,Liberato Cacace,1.5,2024-2025,23,nz NZL,Empoli,it Serie A,33,2230,24.8,24,9,4,0.1,0.2,0.2,0.1,0,0,0,1.5,1,0.8,0.5,0.2,0.9,1.3,71,0.4,1,0.4,0.7,0.9,2.4,2.4,0,"MF,DF"
1007,Merlin Röhl,1.5,2024-2025,22,de GER,Freiburg,de Bundesliga,19,965,10.7,11,8,2,0,0.1,0.1,0,0,0,0,1.5,0.9,0.4,0.9,0.2,0.8,1,81.8,0.2,0.8,0.1,0.7,0.6,2.1,0.2,0,"MF,FW"
1008,Ludovic Blas,1.5,2024-2025,26,fr FRA,Rennes,fr Ligue 1,29,2293,25.5,26,3,0,0.2,0.3,0.5,0.2,0,0,0,1.5,1,0.4,0.5,0.7,0.9,1.6,54.8,0.7,0.6,0.1,0.5,0.5,2,0.4,0,"MF,FW"
1009,Jake O'Brien,1.5,2024-2025,23,ie IRL,Everton,eng Premier League,20,1571,17.5,17,3,17,0.1,0,0.1,0.1,0,0,0,1.5,1,1.2,0.3,0,1,1.4,68,0.5,1,0.2,0.7,0.2,1.7,5.3,0,DF
1010,Hugo Álvarez,1.5,2024-2025,21,es ESP,Celta Vigo,es La Liga,26,1572,17.5,16,10,8,0.2,0.2,0.4,0.2,0,0,0,1.5,0.5,0.7,0.6,0.2,0.6,1.1,52.6,0.5,1.1,0.1,1,0.5,1.9,1.7,0.1,"MF,DF"
1011,Crysencio Summerville,1.5,2024-2025,22,nl NED,West Ham,eng Premier League,19,786,8.7,7,12,1,0.1,0.1,0.2,0.1,0,0,0,1.5,0.8,0.2,0.9,0.3,0.3,1,33.3,0.7,1.5,0.5,1,0,1.5,0.8,0,"FW,MF"
1012,Joshua Kimmich,1.5,2024-2025,29,de GER,Bayern Munich,de Bundesliga,33,2847,31.6,32,1,0,0.1,0.2,0.3,0.1,0,0,0,1.5,0.9,0.3,0.9,0.2,0.9,1.6,60,0.6,0.7,0.1,0.6,0.8,2.3,1.1,0.1,MF
1013,Suso,1.5,2024-2025,30,es ESP,Sevilla,es La Liga,16,606,6.7,4,12,14,0,0.3,0.3,0,0,0,0,1.5,1,0.4,0.9,0.1,0.6,1.6,36.4,1,0.6,0,0.6,0.6,2.1,0.3,0,"FW,MF"
1014,Federico Valverde,1.5,2024-2025,26,uy URU,Real Madrid,es La Liga,36,3032,33.7,34,2,1,0.2,0.1,0.3,0.2,0,0,0,1.5,0.9,0.7,0.7,0.1,0.9,1.3,67.4,0.4,1.1,0.2,0.9,1.6,3.1,1.5,0,"MF,DF"
