Rk,Player,Gls/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls/90,Ast,G+A,G-PK,PK,PKatt,PKm,Pos
401,Jaden Philogene Bidace,0.2,2024-2025,22,eng ENG,2 Teams,eng Premier League,21,806,9,7,14,4,0.2,0,0.2,0.2,0,0,0,"FW,MF"
402,Akor Adams,0.2,2024-2025,24,ng NGA,2 Teams,2 Comps,19,1209,13.4,14,5,1,0.2,0.1,0.3,0.2,0,0,0,FW
403,Pedro Díaz,0.2,2024-2025,26,es ESP,Rayo Vallecano,es La Liga,26,1211,13.5,12,14,12,0.2,0,0.2,0.2,0,0.1,0.1,MF
404,Stephy Mavididi,0.2,2024-2025,26,eng ENG,Leicester City,eng Premier League,30,1615,17.9,16,14,3,0.2,0.1,0.3,0.2,0,0,0,FW
405,Senny Mayulu,0.2,2024-2025,18,fr FRA,Paris S-G,fr Ligue 1,20,808,9,8,12,9,0.2,0.2,0.4,0.2,0,0,0,MF
406,Rodrigo Gomes,0.2,2024-2025,21,pt POR,Wolves,eng Premier League,25,810,9,7,18,9,0.2,0,0.2,0.2,0,0,0,"DF,FW"
407,Anthony Gordon,0.2,2024-2025,23,eng ENG,Newcastle Utd,eng Premier League,34,2434,27,28,6,0,0.2,0.2,0.4,0.2,0,0.1,0,"FW,MF"
408,Mattias Svanberg,0.2,2024-2025,25,se SWE,Wolfsburg,de Bundesliga,20,1219,13.5,14,6,2,0.2,0.1,0.3,0.2,0,0,0,MF
409,Oumar Diakité,0.2,2024-2025,20,ci CIV,Reims,fr Ligue 1,26,1628,18.1,20,6,3,0.2,0.1,0.3,0.2,0,0.1,0.1,FW
410,Louis Leroux,0.2,2024-2025,18,fr FRA,Nantes,fr Ligue 1,16,816,9.1,8,8,12,0.2,0.1,0.3,0.2,0,0,0,"MF,DF"
411,Vitinha,0.2,2024-2025,24,pt POR,Paris S-G,fr Ligue 1,29,2042,22.7,20,9,2,0.2,0,0.3,0.1,0.1,0.1,0,MF
412,Nathan N'Goumou,0.2,2024-2025,24,cm CMR,Gladbach,de Bundesliga,19,828,9.2,9,10,1,0.2,0.1,0.3,0.2,0,0,0,FW
413,Ismaël Koné,0.2,2024-2025,22,ca CAN,2 Teams,fr Ligue 1,21,829,9.2,7,14,7,0.2,0.1,0.3,0.2,0,0,0,"MF,FW"
414,Arouna Sangante,0.2,2024-2025,22,sn SEN,Le Havre,fr Ligue 1,16,1244,13.8,16,0,2,0.2,0,0.2,0.2,0,0,0,DF
415,Dominik Szoboszlai,0.2,2024-2025,23,hu HUN,Liverpool,eng Premier League,36,2491,27.7,29,7,0,0.2,0.2,0.4,0.2,0,0,0,MF
416,Tomáš ?van?ara,0.2,2024-2025,23,cz CZE,Gladbach,de Bundesliga,28,831,9.2,7,21,5,0.2,0,0.2,0.2,0,0,0,FW
417,Jorge de Frutos,0.2,2024-2025,27,es ESP,Rayo Vallecano,es La Liga,36,2495,27.7,30,6,0,0.2,0.1,0.3,0.2,0,0,0,"FW,MF"
418,Dilane Bakwa,0.2,2024-2025,21,fr FRA,Strasbourg,fr Ligue 1,30,2497,27.7,29,1,0,0.2,0.3,0.5,0.2,0,0,0,"MF,DF"
419,Arda Güler,0.2,2024-2025,19,tr TUR,Real Madrid,es La Liga,28,1250,13.9,14,14,10,0.2,0.3,0.5,0.2,0,0,0,"MF,FW"
420,Anthony Elanga,0.2,2024-2025,22,se SWE,Nott'ham Forest,eng Premier League,38,2501,27.8,31,7,0,0.2,0.4,0.6,0.2,0,0,0,"FW,MF"
421,Dany Mota,0.2,2024-2025,26,pt POR,Monza,it Serie A,31,2104,23.4,24,7,0,0.2,0.1,0.3,0.2,0,0,0,"FW,MF"
422,Jeong Woo-yeong,0.2,2024-2025,24,kr KOR,Union Berlin,de Bundesliga,23,1263,14,17,6,0,0.2,0.1,0.4,0.2,0,0,0,"MF,FW"
423,Ange-Yoan Bonny,0.2,2024-2025,20,fr FRA,Parma,it Serie A,37,2529,28.1,30,7,0,0.2,0.1,0.4,0.1,0.1,0.1,0,FW
424,Nicolas Viola,0.2,2024-2025,34,it ITA,Cagliari,it Serie A,27,1267,14.1,18,9,10,0.2,0.1,0.3,0.2,0,0,0,"FW,MF"
425,Nikola Vlaši?,0.2,2024-2025,26,hr CRO,Torino,it Serie A,30,2117,23.5,23,7,1,0.2,0.2,0.4,0.1,0.1,0.1,0,"MF,FW"
426,Zinedine Ferhat,0.2,2024-2025,31,dz ALG,Angers,fr Ligue 1,24,849,9.4,8,16,2,0.2,0,0.2,0.2,0,0,0,"FW,MF"
427,Kevin De Bruyne,0.2,2024-2025,33,be BEL,Manchester City,eng Premier League,28,1702,18.9,19,9,5,0.2,0.4,0.6,0.2,0,0,0,"MF,FW"
428,Álvaro Rodríguez,0.2,2024-2025,20,uy URU,Getafe,es La Liga,22,852,9.5,7,15,8,0.2,0,0.2,0.2,0,0,0,FW
429,Robert Skov,0.2,2024-2025,28,dk DEN,Union Berlin,de Bundesliga,15,852,9.5,11,4,5,0.2,0.2,0.4,0.1,0.1,0.1,0,"DF,MF"
430,Benjamín Domínguez,0.2,2024-2025,20,ar ARG,Bologna,it Serie A,24,1281,14.2,16,8,11,0.2,0.1,0.4,0.2,0,0,0,FW
431,Mamadou Diakhon,0.2,2024-2025,18,fr FRA,Reims,fr Ligue 1,28,858,9.5,5,23,4,0.2,0.1,0.3,0.2,0,0,0,"FW,MF"
432,Tariq Lamptey,0.2,2024-2025,23,gh GHA,Brighton,eng Premier League,15,860,9.6,10,5,10,0.2,0.2,0.4,0.2,0,0,0,DF
433,Tijjani Noslin,0.2,2024-2025,25,nl NED,Lazio,it Serie A,30,861,9.6,8,22,7,0.2,0.2,0.4,0.2,0,0,0,"FW,MF"
434,Juanlu Sánchez,0.2,2024-2025,20,es ESP,Sevilla,es La Liga,32,1722,19.1,18,14,4,0.2,0.2,0.4,0.2,0,0,0,"MF,DF"
435,Osame Sahraoui,0.2,2024-2025,23,ma MAR,Lille,fr Ligue 1,30,1293,14.4,10,20,1,0.2,0.2,0.4,0.2,0,0,0,"FW,MF"
436,Keven Schlotterbeck,0.2,2024-2025,27,de GER,Augsburg,de Bundesliga,18,1297,14.4,15,3,10,0.2,0.1,0.3,0.2,0,0,0,DF
