Rk,Player,xG/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,xG/90,npxG,xAG,xG+xAG,xA,npxG+xAG,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Pos
1,Gonçalo Ramos,1.1,2024-2025,23,pt POR,Paris S-G,fr Ligue 1,22,1066,11.8,12,10,0,0.8,0.3,1.1,0.7,0.2,0.3,0.1,1.1,0.9,0.2,1.3,0.1,1.1,-0.3,-0.3,0.1,0.22,4.4,0.15,0.28,2.4,55.8,11.3,0,FW
2,Alexander Sørloth,1,2024-2025,28,no NOR,Atlético Madrid,es La Liga,35,1566,17.4,15,20,2,1.1,0.1,1.3,1.1,0.1,0.1,0,1,0.9,0.1,1.1,0,1,0.2,0.2,0,0.21,4.5,0.24,0.48,2.3,51.3,12,0,FW
3,Robert Lewandowski,0.9,2024-2025,35,pl POL,Barcelona,es La Liga,34,2667,29.6,32,2,2,0.9,0.1,1,0.8,0.1,0.1,0,0.9,0.8,0.1,1,0.1,0.9,0,0,0,0.22,3.7,0.22,0.53,1.5,40.5,13.2,0.2,FW
4,Lukas Nmecha,0.9,2024-2025,25,de GER,Wolfsburg,de Bundesliga,19,467,5.2,3,16,1,0.6,0,0.6,0.6,0,0,0,0.9,0.9,0.1,0.9,0.1,0.9,-0.3,-0.3,-0.1,0.23,3.9,0.15,0.33,1.7,45,14.2,0,"FW,MF"
5,Ousmane Dembélé,0.9,2024-2025,27,fr FRA,Paris S-G,fr Ligue 1,29,1730,19.2,20,9,1,1.1,0.3,1.4,1,0.1,0.1,0,0.9,0.8,0.4,1.3,0.4,1.2,0.2,0.2,-0.1,0.16,5,0.21,0.41,2.5,51,16,0,FW
6,Elye Wahi,0.8,2024-2025,21,fr FRA,2 Teams,2 Comps,21,770,8.6,8,13,5,0.4,0.1,0.5,0.2,0.1,0.1,0,0.8,0.8,0.1,0.9,0.1,0.8,-0.5,-0.5,0.1,0.26,2.9,0.08,0.18,1.3,44,14.2,0,FW
7,Mika Biereth,0.8,2024-2025,21,dk DEN,Monaco,fr Ligue 1,16,1228,13.6,16,0,1,1,0.1,1.1,0.9,0.1,0.1,0.1,0.8,0.7,0.3,1.2,0.2,1,0.1,0.2,-0.2,0.24,2.9,0.3,0.55,1.6,55,11.6,0,FW
8,Kylian Mbappé,0.8,2024-2025,25,fr FRA,Real Madrid,es La Liga,34,2907,32.3,34,0,0,1,0.1,1.1,0.7,0.2,0.3,0.1,0.8,0.6,0.2,1,0.2,0.8,0.2,0.2,-0.1,0.12,4.7,0.16,0.32,2.3,49.3,17.3,0.1,FW
9,Serhou Guirassy,0.8,2024-2025,28,gn GUI,Dortmund,de Bundesliga,30,2598,28.9,29,1,0,0.7,0.1,0.9,0.6,0.1,0.1,0,0.8,0.7,0.1,0.9,0.1,0.8,-0.1,-0.1,0,0.23,3,0.21,0.55,1.1,38.4,12.1,0,FW
10,Harry Kane,0.8,2024-2025,31,eng ENG,Bayern Munich,de Bundesliga,31,2381,26.5,28,3,0,1,0.3,1.3,0.6,0.3,0.3,0,0.8,0.5,0.2,1,0.2,0.7,0.2,0.1,0.1,0.13,4,0.16,0.38,1.7,42.9,16.3,0.2,FW
11,Hugo Ekitike,0.8,2024-2025,22,fr FRA,Eint Frankfurt,de Bundesliga,33,2563,28.5,31,2,0,0.5,0.3,0.8,0.5,0,0.1,0.1,0.8,0.7,0.2,1,0.2,0.9,-0.2,-0.2,0,0.17,4,0.12,0.32,1.5,38.6,15.3,0,FW
12,Erling Haaland,0.7,2024-2025,24,no NOR,Manchester City,eng Premier League,31,2736,30.4,31,0,1,0.7,0.1,0.8,0.6,0.1,0.1,0,0.7,0.6,0.1,0.8,0.1,0.7,0,0,0,0.19,3.4,0.18,0.35,1.8,52.9,12.3,0,FW
13,Alexandre Lacazette,0.7,2024-2025,33,fr FRA,Lyon,fr Ligue 1,30,2051,22.8,24,6,0,0.7,0.1,0.7,0.4,0.2,0.3,0,0.7,0.5,0.1,0.9,0.2,0.7,-0.1,-0.1,-0.1,0.22,2.3,0.19,0.32,1.4,58.5,13.5,0,FW
14,Mateo Retegui,0.7,2024-2025,25,it ITA,Atalanta,it Serie A,36,2383,26.5,32,4,0,0.9,0.3,1.2,0.8,0.2,0.2,0,0.7,0.6,0.2,0.9,0.1,0.7,0.2,0.2,0.1,0.15,3.7,0.21,0.66,1.2,32.3,12.8,0.1,FW
15,Chuba Akpom,0.7,2024-2025,28,eng ENG,Lille,fr Ligue 1,14,639,7.1,6,8,0,0.4,0.1,0.6,0.3,0.1,0.3,0.1,0.7,0.5,0.1,0.8,0.1,0.6,-0.3,-0.2,0.1,0.19,2.5,0.11,0.22,1.3,50,13.2,0,FW
16,Victor Boniface,0.7,2024-2025,23,ng NGA,Leverkusen,de Bundesliga,19,1008,11.2,12,7,5,0.7,0.1,0.8,0.7,0,0.1,0.1,0.7,0.6,0.1,0.8,0.1,0.7,0,0.1,0,0.14,4.5,0.16,0.47,1.5,34,14.5,0,FW
17,Folarin Balogun,0.7,2024-2025,23,us USA,Monaco,fr Ligue 1,13,615,6.8,7,6,1,0.6,0,0.6,0.6,0,0,0,0.7,0.7,0.1,0.8,0.2,0.8,-0.1,-0.1,-0.1,0.15,4.5,0.13,0.4,1.5,32.3,13.3,0,FW
18,André Silva,0.7,2024-2025,28,pt POR,2 Teams,de Bundesliga,15,507,5.6,4,11,16,0.4,0.4,0.7,0,0.4,0.5,0.2,0.7,0.3,0.2,0.9,0.1,0.4,-0.3,-0.3,0.2,0.08,3.4,0,0,1.2,36.8,18.3,0.2,FW
19,Ermedin Demirovi?,0.7,2024-2025,26,ba BIH,Stuttgart,de Bundesliga,34,1855,20.6,20,14,0,0.7,0,0.8,0.7,0,0.1,0.1,0.7,0.6,0.1,0.8,0.1,0.7,0,0.1,0,0.19,3.1,0.23,0.56,1.3,42.2,11.3,0,FW
20,Jáder Durán,0.7,2024-2025,20,co COL,Aston Villa,eng Premier League,20,638,7.1,4,16,1,1,0,1,1,0,0,0,0.7,0.7,0,0.7,0,0.7,0.3,0.3,0,0.16,4.4,0.23,0.47,2.1,48.4,15.6,0,FW
