Rk,Player,Gls/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls/90,Ast,G+A,G-PK,PK,PKatt,PKm,Pos
601,Matteo Darmian,0.2,2024-2025,34,it ITA,Inter,it Serie A,29,1781,19.8,20,9,4,0.2,0.1,0.3,0.2,0,0,0,DF
602,Antoine Bernede,0.2,2024-2025,25,fr FRA,Hellas Verona,it Serie A,14,594,6.6,7,7,1,0.2,0,0.2,0.2,0,0,0,MF
603,Lucas Paquetá,0.2,2024-2025,26,br BRA,West Ham,eng Premier League,33,2380,26.4,27,6,1,0.2,0,0.2,0.1,0.1,0.1,0,"MF,FW"
604,Thilo Kehrer,0.2,2024-2025,27,de GER,Monaco,fr Ligue 1,27,2383,26.5,27,0,6,0.2,0,0.2,0.2,0,0,0,DF
605,Jhoanner Chávez,0.2,2024-2025,22,ec ECU,Lens,fr Ligue 1,10,596,6.6,7,3,5,0.2,0,0.2,0.2,0,0,0,"DF,MF"
606,Marc Cucurella,0.2,2024-2025,26,es ESP,Chelsea,eng Premier League,36,2988,33.2,33,3,0,0.2,0,0.2,0.2,0,0,0,DF
607,Joelinton,0.2,2024-2025,27,br BRA,Newcastle Utd,eng Premier League,29,2393,26.6,29,0,0,0.2,0.1,0.3,0.2,0,0,0,"MF,FW"
608,Antoine Hainaut,0.1,2024-2025,22,fr FRA,Parma,it Serie A,25,1206,13.4,10,15,12,0.1,0,0.1,0.1,0,0,0,"DF,FW"
609,Aitor Paredes,0.1,2024-2025,24,es ESP,Athletic Club,es La Liga,23,1812,20.1,21,2,11,0.1,0,0.1,0.1,0,0,0,DF
610,Patric,0.1,2024-2025,31,es ESP,Lazio,it Serie A,10,607,6.7,5,5,9,0.1,0,0.1,0.1,0,0,0,DF
611,Denis Suárez,0.1,2024-2025,30,es ESP,Villarreal,es La Liga,21,608,6.8,7,14,10,0.1,0.1,0.3,0.1,0,0,0,MF
612,Dani Carvajal,0.1,2024-2025,32,es ESP,Real Madrid,es La Liga,8,609,6.8,7,1,0,0.1,0,0.1,0.1,0,0,0,DF
613,Ridle Baku,0.1,2024-2025,26,de GER,2 Teams,de Bundesliga,34,2445,27.2,29,5,0,0.1,0.1,0.3,0.1,0,0,0,"FW,MF"
614,Oliver McBurnie,0.1,2024-2025,28,sct SCO,Las Palmas,es La Liga,34,1837,20.4,20,14,4,0.1,0.3,0.4,0.1,0,0,0,FW
615,Niccolò Pisilli,0.1,2024-2025,19,it ITA,Roma,it Serie A,28,1227,13.6,11,17,9,0.1,0.1,0.2,0.1,0,0,0,MF
616,João Neves,0.1,2024-2025,19,pt POR,Paris S-G,fr Ligue 1,29,1844,20.5,22,7,4,0.1,0.4,0.5,0.1,0,0,0,"MF,DF"
617,Enric Franquesa,0.1,2024-2025,27,es ESP,Leganés,es La Liga,12,616,6.8,7,5,1,0.1,0,0.1,0.1,0,0,0,"DF,FW"
618,Johannes Eggestein,0.1,2024-2025,26,de GER,St. Pauli,de Bundesliga,27,1853,20.6,22,5,5,0.1,0.2,0.3,0.1,0,0.1,0,FW
619,Carlos Vicente,0.1,2024-2025,25,es ESP,Alavés,es La Liga,37,3092,34.4,35,2,1,0.1,0.1,0.3,0.1,0,0,0,"FW,MF"
620,Nicolò Cambiaghi,0.1,2024-2025,23,it ITA,Bologna,it Serie A,18,620,6.9,4,14,1,0.1,0.4,0.6,0.1,0,0,0,FW
621,Christantus Uche,0.1,2024-2025,21,ng NGA,Getafe,es La Liga,33,2486,27.6,30,3,0,0.1,0.2,0.4,0.1,0,0,0,"FW,MF"
622,Mason Mount,0.1,2024-2025,25,eng ENG,Manchester Utd,eng Premier League,17,622,6.9,8,9,3,0.1,0,0.1,0.1,0,0,0,MF
623,Adam Armstrong,0.1,2024-2025,27,eng ENG,Southampton,eng Premier League,20,1248,13.9,15,5,4,0.1,0.1,0.3,0.1,0,0.1,0.1,"FW,MF"
624,Danel Sinani,0.1,2024-2025,27,lu LUX,St. Pauli,de Bundesliga,26,1250,13.9,14,12,7,0.1,0.1,0.3,0.1,0,0,0,"FW,MF"
625,Florian Tardieu,0.1,2024-2025,32,fr FRA,Saint-Étienne,fr Ligue 1,24,1252,13.9,13,11,7,0.1,0.3,0.4,0.1,0,0,0,MF
626,Jurgen Ekkelenkamp,0.1,2024-2025,24,nl NED,Udinese,it Serie A,34,1892,21,20,14,2,0.1,0.1,0.2,0.1,0,0,0,MF
627,Yaya Kader Fofana,0.1,2024-2025,20,ml MLI,Reims,fr Ligue 1,12,634,7,8,4,2,0.1,0.1,0.3,0.1,0,0,0,"MF,FW"
628,Nicolás Tagliafico,0.1,2024-2025,31,ar ARG,Lyon,fr Ligue 1,24,1902,21.1,22,2,3,0.1,0,0.2,0.1,0,0,0,DF
