Rk,Player,xG/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,xG/90,npxG,xAG,xG+xAG,xA,npxG+xAG,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Pos
401,Badredine Bouanani,0.2,2024-2025,19,dz ALG,Nice,fr Ligue 1,26,1099,12.2,11,15,5,0.2,0.2,0.5,0.2,0.1,0.1,0,0.2,0.2,0.2,0.4,0.2,0.4,0,0,0.1,0.06,2.5,0.07,0.14,1.1,46.7,20.3,0.1,"MF,FW"
402,Sebastiano Esposito,0.2,2024-2025,22,it ITA,Empoli,it Serie A,33,2331,25.9,27,6,1,0.3,0,0.3,0.3,0,0.1,0,0.2,0.2,0.1,0.3,0.1,0.2,0.1,0.1,-0.1,0.07,2.3,0.12,0.37,0.7,32.2,19.8,0.4,"FW,MF"
403,Paul Nebel,0.2,2024-2025,21,de GER,Mainz 05,de Bundesliga,31,2345,26.1,26,5,2,0.4,0.2,0.5,0.4,0,0,0,0.2,0.2,0.2,0.4,0.2,0.4,0.2,0.2,0,0.13,1.7,0.23,0.56,0.7,40.9,17.1,0,MF
404,Mohamed Ali Cho,0.2,2024-2025,20,fr FRA,Nice,fr Ligue 1,27,1621,18,21,6,2,0.2,0.2,0.4,0.2,0,0,0,0.2,0.2,0.2,0.4,0.2,0.4,-0.1,-0.1,0,0.11,2,0.08,0.2,0.8,41.7,17.7,0,"FW,MF"
405,Rayan Cherki,0.2,2024-2025,20,fr FRA,Lyon,fr Ligue 1,30,2041,22.7,22,8,0,0.4,0.5,0.8,0.4,0,0,0,0.2,0.2,0.5,0.7,0.5,0.7,0.1,0.1,0,0.11,2,0.18,0.42,0.8,42.2,16.8,0.1,"FW,MF"
406,Amad Diallo,0.2,2024-2025,22,ci CIV,Manchester Utd,eng Premier League,26,1901,21.1,20,6,2,0.4,0.3,0.7,0.4,0,0,0,0.2,0.2,0.2,0.5,0.2,0.5,0.2,0.2,0.1,0.1,2.2,0.17,0.47,0.8,36.2,17.5,0,"MF,FW"
407,Nathan Broadhead,0.2,2024-2025,26,wls WAL,Ipswich Town,eng Premier League,18,702,7.8,7,11,7,0.3,0,0.3,0.3,0,0,0,0.2,0.2,0.1,0.3,0.1,0.3,0,0,-0.1,0.13,1.7,0.15,0.25,1,61.5,15.8,0,"MF,FW"
408,Nico O’Reilly,0.2,2024-2025,19,eng ENG,Manchester City,eng Premier League,9,528,5.9,6,3,21,0.3,0,0.3,0.3,0,0,0,0.2,0.2,0.1,0.3,0.1,0.3,0.1,0.1,-0.1,0.16,1.4,0.25,0.67,0.5,37.5,15.4,0,DF
409,Philipp Hofmann,0.2,2024-2025,31,de GER,Bochum,de Bundesliga,32,2277,25.3,27,5,0,0.1,0.1,0.2,0.1,0,0,0,0.2,0.2,0.1,0.3,0.1,0.3,-0.1,-0.1,0,0.1,2.1,0.06,0.16,0.8,35.2,14,0,FW
410,Jacob Murphy,0.2,2024-2025,29,eng ENG,Newcastle Utd,eng Premier League,35,2360,26.2,31,4,2,0.3,0.5,0.8,0.3,0,0,0,0.2,0.2,0.3,0.6,0.2,0.6,0.1,0.1,0.1,0.13,1.6,0.19,0.53,0.6,34.9,18.2,0,FW
411,Denis Zakaria,0.2,2024-2025,27,ch SUI,Monaco,fr Ligue 1,26,2144,23.8,24,2,1,0.3,0.2,0.4,0.2,0.1,0.1,0,0.2,0.2,0.1,0.3,0.1,0.2,0,0,0.1,0.12,1.2,0.14,0.44,0.4,31,18,0,MF
412,John Yeboah,0.2,2024-2025,24,ec ECU,Venezia,it Serie A,33,1226,13.6,11,22,0,0.1,0.1,0.1,0.1,0,0,0,0.2,0.2,0.1,0.4,0.1,0.4,-0.1,-0.1,-0.1,0.1,2.2,0.03,0.1,0.7,33.3,16.6,0,"FW,MF"
413,Stephan El Shaarawy,0.2,2024-2025,31,it ITA,Roma,it Serie A,31,1098,12.2,12,19,5,0.2,0.3,0.6,0.2,0,0,0,0.2,0.2,0.1,0.3,0.2,0.3,0,0,0.2,0.09,2.3,0.11,0.25,1,42.9,18.8,0.1,"DF,MF"
414,Malick Fofana,0.2,2024-2025,19,be BEL,Lyon,fr Ligue 1,29,1589,17.7,16,13,0,0.3,0.2,0.5,0.3,0,0,0,0.2,0.2,0.2,0.4,0.2,0.4,0.1,0.1,0,0.12,1.8,0.16,0.33,0.8,48.4,15,0,FW
415,Diego López,0.2,2024-2025,22,es ESP,Valencia,es La Liga,38,2737,30.4,35,3,0,0.3,0.2,0.4,0.3,0,0,0,0.2,0.2,0.2,0.4,0.2,0.4,0,0,0,0.15,1.4,0.18,0.57,0.5,31.8,15.1,0,"MF,FW"
416,Dany Mota,0.2,2024-2025,26,pt POR,Monza,it Serie A,31,2104,23.4,24,7,0,0.2,0.1,0.3,0.2,0,0,0,0.2,0.2,0.1,0.3,0.1,0.3,0,0,0,0.12,1.8,0.12,0.45,0.5,26.2,13.1,0,"FW,MF"
