Rk,Player,Gls/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls/90,Ast,G+A,G-PK,PK,PKatt,PKm,Pos
1201,Leif Davis,0,2024-2025,24,eng ENG,Ipswich Town,eng Premier League,33,2743,30.5,32,1,0,0,0.1,0.1,0,0,0,0,DF
1202,Sam Morsy,0,2024-2025,32,eg EGY,Ipswich Town,eng Premier League,33,2751,30.6,31,2,2,0,0,0.1,0,0,0,0,MF
1203,Johan Mojica,0,2024-2025,31,co COL,Mallorca,es La Liga,36,2755,30.6,30,6,1,0,0.1,0.1,0,0,0,0,DF
1204,Philipp Lienhart,0,2024-2025,28,at AUT,Freiburg,de Bundesliga,32,2770,30.8,31,1,0,0,0,0,0,0,0,0,DF
1205,Wout Faes,0,2024-2025,26,be BEL,Leicester City,eng Premier League,34,2815,31.3,30,4,1,0,0,0,0,0,0,0,DF
1206,Taylor Harwood-Bellis,0,2024-2025,22,eng ENG,Southampton,eng Premier League,34,2825,31.4,32,2,0,0,0,0,0,0,0,0,DF
1207,Samuele Ricci,0,2024-2025,22,it ITA,Torino,it Serie A,34,2825,31.4,34,0,1,0,0,0.1,0,0,0,0,MF
1208,Eric Smith,0,2024-2025,27,se SWE,St. Pauli,de Bundesliga,32,2827,31.4,32,0,0,0,0,0.1,0,0,0,0,"DF,MF"
1209,Valentin Atangana Edoa,0,2024-2025,18,fr FRA,Reims,fr Ligue 1,34,2854,31.7,33,1,0,0,0,0,0,0,0,0,MF
1210,Luis Milla,0,2024-2025,29,es ESP,Getafe,es La Liga,33,2875,31.9,32,1,0,0,0.1,0.2,0,0,0,0,MF
1211,James Tarkowski,0,2024-2025,31,eng ENG,Everton,eng Premier League,33,2922,32.5,33,0,0,0,0,0.1,0,0,0,0,DF
1212,Jeffrey Gouweleeuw,0,2024-2025,33,nl NED,Augsburg,de Bundesliga,33,2944,32.7,33,0,0,0,0.1,0.2,0,0,0,0,DF
1213,Sergi Cardona,0,2024-2025,25,es ESP,Villarreal,es La Liga,35,2945,32.7,34,1,1,0,0.2,0.2,0,0,0,0,DF
1214,Jan Paul van Hecke,0,2024-2025,24,nl NED,Brighton,eng Premier League,34,2958,32.9,33,1,0,0,0,0.1,0,0,0,0,DF
1215,Jaka Bijol,0,2024-2025,25,si SVN,Udinese,it Serie A,34,2963,32.9,34,0,0,0,0,0,0,0,0,0,DF
1216,Omar Alderete,0,2024-2025,27,py PAR,Getafe,es La Liga,34,2971,33,34,0,0,0,0,0,0,0,0,0,DF
1217,Lewis Cook,0,2024-2025,27,eng ENG,Bournemouth,eng Premier League,36,2978,33.1,32,4,0,0,0.1,0.1,0,0,0,0,"MF,DF"
1218,Patrick Mainka,0,2024-2025,29,de GER,Heidenheim,de Bundesliga,34,3060,34,34,0,0,0,0,0.1,0,0,0,0,DF
1219,Danilho Doekhi,0,2024-2025,26,nl NED,Union Berlin,de Bundesliga,34,3060,34,34,0,0,0,0,0.1,0,0,0,0,DF
1220,Luca Ranieri,0,2024-2025,25,it ITA,Fiorentina,it Serie A,36,3071,34.1,35,1,0,0,0.1,0.1,0,0,0,0,DF
1221,Catena,0,2024-2025,29,es ESP,Osasuna,es La Liga,35,3074,34.2,35,0,1,0,0.1,0.1,0,0,0,0,DF
1222,Calvin Bassey,0,2024-2025,24,ng NGA,Fulham,eng Premier League,35,3074,34.2,34,1,2,0,0,0,0,0,0,0,DF
1223,Vitaliy Mykolenko,0,2024-2025,25,ua UKR,Everton,eng Premier League,35,3082,34.2,35,0,0,0,0.1,0.1,0,0,0,0,DF
1224,Keane Lewis-Potter,0,2024-2025,23,eng ENG,Brentford,eng Premier League,38,3093,34.4,36,2,0,0,0.1,0.1,0,0,0,0,"DF,FW"
1225,Maxence Lacroix,0,2024-2025,24,fr FRA,Crystal Palace,eng Premier League,35,3116,34.6,35,0,0,0,0,0.1,0,0,0,0,DF
1226,Jay Idzes,0,2024-2025,24,id IDN,Venezia,it Serie A,35,3127,34.7,35,0,0,0,0,0,0,0,0,0,DF
1227,Remo Freuler,0,2024-2025,32,ch SUI,Bologna,it Serie A,37,3204,35.6,37,0,0,0,0.1,0.1,0,0,0,0,MF
1228,Sebastiano Luperto,0,2024-2025,27,it ITA,Cagliari,it Serie A,36,3240,36,36,0,2,0,0.1,0.1,0,0,0,0,DF
1229,Mattéo Guendouzi,0,2024-2025,25,fr FRA,Lazio,it Serie A,37,3270,36.3,37,0,0,0,0.1,0.1,0,0,0,0,MF
1230,Cristhian Mosquera,0,2024-2025,20,es ESP,Valencia,es La Liga,37,3319,36.9,37,0,0,0,0,0,0,0,0,0,DF
1231,Dan Burn,0,2024-2025,32,eng ENG,Newcastle Utd,eng Premier League,37,3330,37,37,0,0,0,0,0.1,0,0,0,0,DF
1232,Moisés Caicedo,0,2024-2025,22,ec ECU,Chelsea,eng Premier League,38,3351,37.2,38,0,0,0,0.1,0.1,0,0,0,0,"MF,DF"
1233,Amir Rrahmani,0,2024-2025,30,xk KVX,Napoli,it Serie A,38,3406,37.8,38,0,0,0,0.1,0.1,0,0,0,0,DF
1234,Moussa Niakhate,0,2024-2025,28,sn SEN,Lyon,fr Ligue 1,31,2726,30.3,30,1,2,0,0,0,0,0,0,0,DF
1235,Léo Pétrot,0,2024-2025,27,fr FRA,Saint-Étienne,fr Ligue 1,31,2634,29.3,29,2,1,0,0.1,0.1,0,0,0,0,DF
1236,Konstantinos Mavropanos,0,2024-2025,26,gr GRE,West Ham,eng Premier League,33,2045,22.7,21,12,3,0,0,0,0,0,0,0,DF
1237,Saba Goglichidze,0,2024-2025,20,ge GEO,Empoli,it Serie A,33,2539,28.2,29,4,4,0,0,0,0,0,0,0,DF
1238,Valentino Lazaro,0,2024-2025,28,at AUT,Torino,it Serie A,33,2307,25.6,26,7,1,0,0.2,0.2,0,0,0,0,"DF,FW"
1239,Jaime Mata,0,2024-2025,35,es ESP,Las Palmas,es La Liga,30,656,7.3,4,26,6,0,0,0,0,0,0,0,"FW,MF"
1240,Manuel Lazzari,0,2024-2025,30,it ITA,Lazio,it Serie A,25,1406,15.6,16,9,3,0,0.1,0.1,0,0,0,0,DF
