Rk,Player,Tkl/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Tkl/90,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Pos
1401,Ardian Ismajli,1.1,2024-2025,27,al ALB,Empoli,it Serie A,29,2508,27.9,29,0,0,0,0,0,0,0,0,0,1.1,0.8,0.8,0.3,0,0.6,0.7,80,0.1,1.3,0.9,0.4,2,3.1,8.9,0.1,DF
1402,Marcus Rashford,1.1,2024-2025,26,eng ENG,2 Teams,eng Premier League,25,1422,15.8,16,9,1,0.4,0.2,0.6,0.3,0.1,0.1,0,1.1,0.7,0.3,0.3,0.5,0.4,0.9,46.7,0.5,0.6,0,0.6,0.3,1.4,0.6,0,"FW,MF"
1403,Breel Embolo,1.1,2024-2025,27,ch SUI,Monaco,fr Ligue 1,29,1841,20.5,19,10,5,0.3,0.2,0.5,0.3,0,0,0,1.1,0.8,0.3,0.3,0.4,0.2,0.8,31.3,0.5,0.5,0,0.5,0.1,1.2,0.5,0,"FW,MF"
1404,Duván Zapata,1.1,2024-2025,33,co COL,Torino,it Serie A,7,587,6.5,7,0,0,0.5,0,0.5,0.5,0,0,0,1.1,0.8,0.3,0,0.8,0,0.5,0,0.5,0.3,0.2,0.2,0.3,1.4,1.1,0,FW
1405,Andreas Pereira,1.1,2024-2025,28,br BRA,Fulham,eng Premier League,33,2013,22.4,25,8,2,0.1,0.2,0.3,0.1,0,0,0,1.1,0.6,0.4,0.5,0.2,0.4,1.9,23.8,1.4,0.8,0.1,0.7,0.4,1.4,0.8,0.1,MF
1406,Rolando Mandragora,1.1,2024-2025,27,it ITA,Fiorentina,it Serie A,29,1931,21.5,22,7,5,0.2,0.1,0.3,0.1,0,0,0,1.1,0.6,0.4,0.6,0.1,0.7,1.4,45.2,0.8,1,0.3,0.7,0.8,1.9,2.5,0,MF
1407,Cenk Özkacar,1.1,2024-2025,23,tr TUR,2 Teams,es La Liga,11,757,8.4,8,3,19,0,0,0,0,0,0,0,1.1,0.6,0.8,0.2,0,0.5,1.7,28.6,1.2,1.1,0.7,0.4,2.1,3.2,8.2,0.1,DF
1408,Jacob Murphy,1.1,2024-2025,29,eng ENG,Newcastle Utd,eng Premier League,35,2360,26.2,31,4,2,0.3,0.5,0.8,0.3,0,0,0,1.1,0.7,0.4,0.5,0.2,0.8,1.7,45.5,0.9,1.2,0,1.2,0.5,1.6,1.3,0,FW
1409,Toni Martínez,1.1,2024-2025,27,es ESP,Alavés,es La Liga,28,1012,11.2,9,19,8,0.4,0,0.4,0.4,0,0,0,1.1,0.6,0.4,0.4,0.3,0.4,0.7,50,0.4,0.7,0.2,0.5,0.1,1.2,1.3,0,FW
1410,Alexsandro Ribeiro,1.1,2024-2025,24,br BRA,Lille,fr Ligue 1,30,2700,30,30,0,1,0,0,0.1,0,0,0,0,1.1,0.6,0.6,0.4,0,0.7,1,66.7,0.3,0.8,0.4,0.3,0.9,2,4.8,0.1,DF
