,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,,,Short,,,Medium,,,Long,,,
Rk,Player,Cmp/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp/90,Att,Cmp%,KP,03-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Pos
1201,Diego Coppola,28.3,2024-2025,20,it ITA,Hellas Verona,it Serie A,34,2927,32.5,33,1,1,0.1,0,0.1,0.1,0,0,0,28.3,34.9,81.1,0.1,1,0,0,1.5,559.2,199.4,7.5,9,82.9,18.3,19.8,92.4,2.3,5,47.2,DF
1202,Nicolai Remberg,28.2,2024-2025,24,de GER,Holstein Kiel,de Bundesliga,32,2417,26.9,26,6,0,0,0,0,0,0,0,0,28.2,36.1,77.9,0.3,2.7,0.4,0.1,3,531.4,130.1,10.9,13.5,80.9,13.7,16.1,85,3.2,5.1,62,MF
1203,Liam Henderson,28.1,2024-2025,28,sct SCO,Empoli,it Serie A,36,2337,26,27,9,0,0,0.2,0.2,0,0,0,0,28.1,38.6,72.9,1.3,3.6,0.8,0.4,4.2,501.6,163.4,11.6,14.2,82.1,12.6,15.7,80.6,2.8,6.9,41.3,MF
1204,Matheus Cunha,28.1,2024-2025,25,br BRA,Wolves,eng Premier League,33,2597,28.9,29,4,0,0.5,0.2,0.7,0.5,0,0,0,28.1,39.3,71.6,1.9,3.2,2,0.3,5,445.3,151.9,15.9,18.7,85.3,7.9,10.4,76,3,6.8,44.2,"MF,FW"
1205,Jeremie Boga,28.1,2024-2025,27,ci CIV,Nice,fr Ligue 1,21,1054,11.7,12,9,3,0.1,0.2,0.3,0.1,0,0,0,28.1,34,82.7,2,0.9,1.5,0.3,3.3,383.1,85.6,18.4,20.7,88.5,8,9.1,88.7,1.2,1.6,73.7,"MF,FW"
1206,Danel Sinani,28.1,2024-2025,27,lu LUX,St. Pauli,de Bundesliga,26,1250,13.9,14,12,7,0.1,0.1,0.3,0.1,0,0,0,28.1,39.3,71.4,1.7,3.2,1.2,0.2,4.3,446.1,144.9,14.6,16.8,86.8,9.2,11.9,77.6,2.8,7.2,39,"FW,MF"
1207,Daniele Ghilardi,28.1,2024-2025,21,it ITA,Hellas Verona,it Serie A,24,2029,22.5,21,3,11,0,0,0,0,0,0,0,28.1,35.8,78.4,0.3,2.6,0.1,0.1,2.5,547.1,196.5,9.9,11,89.6,15,17.3,86.4,3.1,6.7,46.4,DF
1208,Keita Baldé,28.1,2024-2025,29,sn SEN,Monza,it Serie A,11,638,7.1,8,3,0,0.3,0,0.3,0.3,0,0,0,28.1,31.5,89.2,0.6,2.7,1.1,0.4,4.9,406,81.1,14.7,15.7,93.7,11,12.3,89.7,1.1,1.6,72.7,FW
1209,Brian Oliván,28.1,2024-2025,30,es ESP,Espanyol,es La Liga,17,1017,11.3,12,5,8,0,0.1,0.1,0,0,0,0,28.1,40.5,69.2,1.3,3.9,1.1,0.8,3.5,501.9,246.7,12.8,13.8,92.9,11.9,17,69.8,3,7.7,39.1,DF
1210,Aimar Oroz,28,2024-2025,22,es ESP,Osasuna,es La Liga,37,2966,33,35,2,0,0.2,0.1,0.3,0.1,0,0,0,28,34.2,81.9,1.2,2.8,1.1,0.2,4.9,451.5,111.1,14.8,16.9,87.9,10.4,12.3,84,2,2.7,73.3,MF
1211,Giuliano Simeone,28,2024-2025,21,ar ARG,Atlético Madrid,es La Liga,33,1926,21.4,26,7,5,0.1,0.3,0.4,0.1,0,0,0,28,37.1,75.5,1.1,1.4,1.3,0.5,2.3,334.5,97,20.1,23.4,86,5.7,8.1,70.7,0.5,1.5,33.3,MF
1212,Alberto Moleiro,28,2024-2025,20,es ESP,Las Palmas,es La Liga,35,2714,30.2,32,3,1,0.2,0,0.2,0.2,0,0,0,28,34.5,81.3,1.4,2.5,1,0.2,3.8,396.6,90.7,17.2,19.6,88,8.7,10.5,82.1,1.2,2,60.7,"FW,MF"
1213,Matteo Politano,28,2024-2025,30,it ITA,Napoli,it Serie A,37,2804,31.2,34,3,0,0.1,0.1,0.2,0.1,0,0,0,28,40.5,69.2,1.8,2.1,1.8,0.7,4.1,472.8,153.6,13.9,15.9,87.3,10.9,15.2,71.9,2.5,6.1,40.7,"FW,MF"
1214,Alan Matturro,28,2024-2025,19,uy URU,Genoa,it Serie A,13,900,10,9,4,12,0,0,0,0,0,0,0,28,35.9,78,0.3,1,0.4,0.2,1.5,563.7,180.6,7.2,8.9,80.9,18.1,20.5,88.3,2.5,5,50,DF
1215,Nicolas Pays,28,2024-2025,20,fr FRA,Montpellier,fr Ligue 1,9,447,5,4,5,2,0,0,0,0,0,0,0,28,36,77.7,0.6,1.6,1,0.6,2.8,438.1,94,14.3,16.7,85.5,11.1,13.5,82.1,1.8,3.6,50,"FW,MF"
1216,Malick Fofana,28,2024-2025,19,be BEL,Lyon,fr Ligue 1,29,1589,17.7,16,13,0,0.3,0.2,0.5,0.3,0,0,0,28,36.1,77.4,1.4,1.1,1.8,0.7,2.5,381.6,77.8,18.3,20.8,88,7.6,9.9,77.1,1,2.1,45.9,FW
1217,Pablo Maffeo,28,2024-2025,27,es ESP,Mallorca,es La Liga,30,2368,26.3,28,2,2,0,0.1,0.1,0,0,0,0,28,39.5,70.8,1.1,1.9,1.3,1,2.8,475.9,197.1,14.3,15.8,90.2,10.1,14.2,71.4,3.1,7.2,42.6,DF
1218,Pica,28,2024-2025,22,es ESP,Alavés,es La Liga,9,499,5.5,5,4,26,0,0,0,0,0,0,0,28,36.3,77.1,0.2,2.7,0.2,0,2.7,561.1,239.5,8.7,10.8,80,15.2,17.3,87.5,4.1,7.4,56.1,DF
1219,Karol Linetty,27.9,2024-2025,29,pl POL,Torino,it Serie A,28,1540,17.1,18,10,8,0.1,0,0.1,0.1,0,0,0,27.9,33,84.6,0.6,2.6,0.6,0.1,2.7,481.8,120.8,13.6,15,90.7,10.9,12.5,87.4,2.9,4,72.1,MF
1220,Félix Lemaréchal,27.9,2024-2025,20,fr FRA,Strasbourg,fr Ligue 1,27,1779,19.8,20,7,5,0.2,0.2,0.4,0.2,0,0,0,27.9,35.1,79.4,1.5,1.8,0.5,0.2,2.9,410.7,76.8,16.1,18.7,85.9,9.3,11,84.8,1.6,2.8,55.4,"MF,FW"
1221,Stefan Bajcetic,27.9,2024-2025,19,es ESP,Las Palmas,es La Liga,14,969,10.8,12,2,1,0.1,0,0.1,0.1,0,0,0,27.9,38.8,71.8,0.7,2.6,0.7,0,3.6,547.2,148.5,11.1,13.9,79.3,12,14.7,81.6,4.5,8.2,54.5,"MF,DF"
1222,Pedro Neto,27.8,2024-2025,24,pt POR,Chelsea,eng Premier League,35,2269,25.2,24,11,1,0.2,0.2,0.4,0.2,0,0,0,27.8,35.5,78.4,1.8,1.2,1.5,0.9,2.4,450.1,95.9,13.8,14.8,93,10.6,12.9,81.9,2.4,5,47.2,FW
1223,Jeremie Frimpong,27.8,2024-2025,23,nl NED,Leverkusen,de Bundesliga,33,2314,25.7,25,8,1,0.2,0.2,0.4,0.2,0,0,0,27.8,36.6,76.1,1.2,1.1,1.1,0.7,2.1,410.1,86.5,15.7,17.8,88.4,10,12.9,77.6,1.2,3,38.5,"DF,MF"
1224,Antoine Hainaut,27.8,2024-2025,22,fr FRA,Parma,it Serie A,25,1206,13.4,10,15,12,0.1,0,0.1,0.1,0,0,0,27.8,37,75,0.7,2.1,1.1,0.6,2.5,446.1,186.4,13.1,16.2,80.6,11,14.3,77.5,2.1,4.3,49.1,"DF,FW"
1225,Denzel Dumfries,27.8,2024-2025,28,nl NED,Inter,it Serie A,29,1955,21.7,20,9,4,0.3,0.1,0.4,0.3,0,0,0,27.8,38.3,72.6,1,1,1,0.4,2.3,450,137.7,14.8,17.4,85.4,10.5,15.3,69,2.1,3.5,59.2,"DF,FW"
1226,Ibrahima Sissoko,27.7,2024-2025,26,ml MLI,Bochum,de Bundesliga,32,2610,29,30,2,0,0.1,0,0.1,0.1,0,0,0,27.7,37,75,0.9,2.7,0.6,0.2,3.6,464.6,147,12.8,15.3,83.5,12.1,14.9,81,2.2,4.1,53.3,MF
1227,Mohamed Kaba,27.7,2024-2025,22,fr FRA,Lecce,it Serie A,15,452,5,2,13,16,0,0,0,0,0,0,0,27.7,34.2,80.8,0.2,3.6,0.2,0,3.6,443.6,124.4,14.9,17.7,84.3,11.2,12.5,88.9,1.2,2.6,46.2,MF
1228,Luis Díaz,27.6,2024-2025,27,co COL,Liverpool,eng Premier League,36,2399,26.7,28,8,2,0.5,0.2,0.7,0.5,0,0,0,27.6,32.8,84.2,2.1,1.8,1.7,0.2,4.1,442.3,95,14.8,16.7,88.5,9.5,11.1,86.1,2.3,2.8,81.1,FW
1229,Lee Jae-sung,27.6,2024-2025,31,kr KOR,Mainz 05,de Bundesliga,33,2650,29.4,31,2,0,0.2,0.2,0.4,0.2,0,0,0,27.6,35.6,77.5,1.2,1.9,0.7,0.1,3.6,394.2,98.6,16.1,18.9,85.4,8.7,10.9,80.1,1.5,2.2,66.7,MF
1230,Manu Sánchez,27.6,2024-2025,23,es ESP,Alavés,es La Liga,33,2634,29.3,30,3,2,0,0,0,0,0,0,0,27.6,38.2,72.2,0.5,1.8,0.7,0.4,2.7,437.4,167.9,14.4,16.7,86.5,11.2,14.5,77.4,1.4,4.3,33.6,DF
1231,Rassoul Ndiaye,27.6,2024-2025,22,sn SEN,Le Havre,fr Ligue 1,27,1061,11.8,11,16,6,0.1,0,0.1,0.1,0,0,0,27.6,37.4,73.7,0.8,2.5,0.8,0.3,3.9,439.1,122.6,13.8,16.2,85.3,10.7,14,76.4,1.9,3.9,47.8,MF
1232,Jacob Ramsey,27.6,2024-2025,23,eng ENG,Aston Villa,eng Premier League,29,1623,18,19,10,0,0.1,0.2,0.2,0.1,0,0,0,27.6,32.5,84.8,1.2,1.7,1.2,0.1,3.8,368.5,87.5,18.5,20.3,91.3,7.4,8.8,83.6,0.8,1.1,75,"FW,MF"
1233,Timo Werner,27.6,2024-2025,28,de GER,Tottenham,eng Premier League,18,516,5.7,4,14,3,0,0.5,0.5,0,0,0,0,27.6,41.2,66.9,1.7,0.5,2.6,0.3,5.2,415.6,104.1,14,16.9,82.5,10.6,15,70.9,1.2,3.1,38.9,"FW,MF"
1234,Carlos Alcaraz,27.6,2024-2025,21,ar ARG,2 Teams,eng Premier League,16,774,8.6,7,9,0,0.2,0.3,0.6,0.2,0,0,0,27.6,33.8,81.4,1.6,2.8,2.2,0.5,5.6,486.5,124.8,12,13.8,86.6,11.5,12.9,89.2,3,4.5,66.7,MF
1235,John Joe,27.5,2024-2025,20,ie IRL,2 Teams,2 Comps,17,593,6.6,5,12,9,0,0,0,0,0,0,0,27.5,36.9,74.5,0.2,1.8,0.3,0,2.1,436.2,91.8,13.7,16.1,84.9,11.2,13.4,84.1,1.4,3.5,39.1,"MF,FW"
1236,Sebastian Nanasi,27.5,2024-2025,22,se SWE,Strasbourg,fr Ligue 1,31,2107,23.4,26,5,1,0.3,0.2,0.4,0.3,0,0,0,27.5,34.7,79.2,1.6,3.2,1.7,0.1,5.4,409.1,118.9,16.4,18.8,87.7,8.7,10.7,81.3,1.5,3.3,43.6,"MF,FW"
1237,Yan Diomandé,27.4,2024-2025,17,ci CIV,Leganés,es La Liga,10,545,6.1,6,4,0,0.3,0.2,0.5,0.3,0,0,0,27.4,33,83,2.3,0.7,1.2,0.2,2.6,368.1,89.7,16.7,18.5,90.2,9.2,11.4,81.2,0.3,1,33.3,"MF,FW"
1238,Ademola Lookman,27.4,2024-2025,26,ng NGA,Atalanta,it Serie A,31,2247,25,28,3,2,0.6,0.2,0.8,0.6,0,0,0,27.4,37.8,72.5,2.4,1.2,1.7,0.5,2.9,387,106.5,17.5,20.1,86.9,7.1,10.3,69.5,1.7,3.8,43.8,"MF,FW"
