,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,,,Short,,,Medium,,,Long,,,
1239,Edu Expósito,27.4,2024-2025,27,es ESP,Espanyol,es La Liga,19,1045,11.6,12,7,5,0,0.2,0.2,0,0,0,0,27.4,41.8,65.6,2.4,3.1,1.2,0.3,5.5,515.9,197,10.9,12.7,85.8,10.9,15.2,71.2,4.3,10.2,42,MF
1240,Louis Leroux,27.4,2024-2025,18,fr FRA,Nantes,fr Ligue 1,16,816,9.1,8,8,12,0.2,0.1,0.3,0.2,0,0,0,27.4,33.1,82.7,1.3,1.4,0.9,0,3.4,440.8,118.6,13.2,14.8,89.6,10.8,12.6,86,2.1,3.3,63.3,"MF,DF"
1241,Mattia De Sciglio,27.3,2024-2025,31,it ITA,Empoli,it Serie A,16,769,8.5,7,9,16,0.1,0,0.1,0.1,0,0,0,27.3,35,77.9,0.4,1.4,0.5,0.2,2.1,527.4,204.1,10.1,11.4,88.7,13.6,17,80,3.3,5.5,59.6,DF
1242,Ludovic Blas,27.2,2024-2025,26,fr FRA,Rennes,fr Ligue 1,29,2293,25.5,26,3,0,0.2,0.3,0.5,0.2,0,0,0,27.2,36.8,73.9,1.8,3,1.3,0.4,4.6,472.1,134,13.7,15.7,87.5,9.5,12.6,75.2,3.2,6.3,50.3,"MF,FW"
1243,Pablo Marín,27.2,2024-2025,21,es ESP,Real Sociedad,es La Liga,23,1239,13.8,14,9,11,0.1,0.1,0.2,0.1,0,0,0,27.2,33.9,80.1,1,2.8,0.7,0.1,3.3,432.3,79.2,12.6,15.2,82.8,12,14.2,84.6,1.7,2.5,65.7,MF
1244,Jeong Woo-yeong,27.1,2024-2025,24,kr KOR,Union Berlin,de Bundesliga,23,1263,14,17,6,0,0.2,0.1,0.4,0.2,0,0,0,27.1,36.1,75.3,1.3,2.1,1.4,0.4,4.5,350.2,98.8,18,20.7,86.9,6.8,9.4,72,0.7,1.7,41.7,"MF,FW"
1245,Junya Ito,27.1,2024-2025,31,jp JPN,Reims,fr Ligue 1,33,2690,29.9,31,2,0,0.1,0.1,0.2,0.1,0,0,0,27.1,40.6,66.8,2.7,2.3,2.2,0.9,4.4,414.4,158.1,14.8,17.8,83.3,8.3,12.5,65.9,2.5,6.4,39.3,"FW,MF"
1246,Kingsley Ehizibue,27.1,2024-2025,29,nl NED,Udinese,it Serie A,33,2498,27.8,30,3,1,0,0,0,0,0,0,0,27.1,35.4,76.7,0.8,1,0.8,0.6,2,461.2,147.6,12.6,14.6,86.6,11.5,14.4,79.9,2.3,4.4,51.6,DF
1247,Alassane Pléa,27.1,2024-2025,31,fr FRA,Gladbach,de Bundesliga,30,1902,21.1,24,6,2,0.5,0.2,0.7,0.5,0,0,0,27.1,37.6,72.1,1.2,3.8,1.7,0.4,5.5,431.5,143.3,14.6,17.6,83.1,9,12.1,74.2,2.3,3.6,63.2,"MF,FW"
1248,Welington,27.1,2024-2025,23,br BRA,Southampton,eng Premier League,10,482,5.4,6,4,3,0,0,0,0,0,0,0,27.1,34.7,78,0.6,1.5,0.9,0.7,2.1,424.4,129.8,13.3,14.8,89.9,11.4,14.8,77.2,1.5,3,50,DF
1249,Óscar Rodríguez Arnaiz,27.1,2024-2025,26,es ESP,Leganés,es La Liga,29,1330,14.8,12,17,5,0.1,0.3,0.3,0.1,0,0,0,27.1,37.6,72.1,1.3,2.1,1.4,0.5,4.1,468.5,143.7,13.1,15.4,85,9.4,12.8,73.5,3.5,6.5,53.1,"MF,FW"
1250,Iván Sánchez,27.1,2024-2025,31,es ESP,Valladolid,es La Liga,32,1404,15.6,11,21,6,0.1,0.1,0.2,0.1,0,0,0,27.1,37.9,71.4,1.5,3.3,1.5,1,4.9,497.1,158.7,12.5,14,89,9.7,13.2,73.3,4,8.3,48.8,"MF,FW"
1251,Badredine Bouanani,27,2024-2025,19,dz ALG,Nice,fr Ligue 1,26,1099,12.2,11,15,5,0.2,0.2,0.5,0.2,0.1,0.1,0,27,35.2,76.7,1.6,1.6,1.1,0.2,3.6,399.7,91.1,16.4,18.7,87.7,7.8,10.2,76,1.9,3.1,60.5,"MF,FW"
1252,Eberechi Eze,27,2024-2025,26,eng ENG,Crystal Palace,eng Premier League,34,2588,28.8,31,3,0,0.3,0.3,0.6,0.2,0,0.1,0,27,36.4,74.2,2,1.7,1.4,0.1,3.4,459.9,123.1,13.2,15.6,84.6,10.4,12.7,81.9,2.7,5.8,45.8,"MF,FW"
1253,Fares Chaïbi,27,2024-2025,21,dz ALG,Eint Frankfurt,de Bundesliga,26,1013,11.3,10,16,4,0.1,0.3,0.4,0.1,0,0,0,27,41,65.8,2.1,2.8,1.6,0.5,4.6,457.2,160,13.8,17,81.2,9.3,12.4,75,2.8,8.2,33.7,"MF,FW"
1254,Antoine Bernede,27,2024-2025,25,fr FRA,Hellas Verona,it Serie A,14,594,6.6,7,7,1,0.2,0,0.2,0.2,0,0,0,27,36.7,73.6,1.5,3.8,0.9,0.2,4.4,450.8,169.1,12.9,15.5,83.3,10.5,13.2,79.3,2.6,5,51.5,MF
1255,Vinicius Júnior,26.9,2024-2025,24,br BRA,Real Madrid,es La Liga,30,2253,25,24,6,0,0.4,0.3,0.8,0.4,0.1,0.1,0,26.9,36,74.7,2.3,2.1,1.4,0.2,3.4,416.8,100.8,15.3,18.5,82.9,7.8,10,78.4,2.5,3.8,64.6,FW
1256,Aster Vranckx,26.9,2024-2025,21,be BEL,Wolfsburg,de Bundesliga,14,556,6.2,6,8,7,0,0,0,0,0,0,0,26.9,32.7,82.2,0.2,2.6,0.3,0,3.2,444.7,125.1,13.6,15.1,90.3,10.5,11.8,89,1.9,2.9,66.7,MF
1257,Giangiacomo Magnani,26.8,2024-2025,28,it ITA,Hellas Verona,it Serie A,17,1065,11.8,11,6,4,0.1,0,0.1,0.1,0,0,0,26.8,33.2,80.7,0.1,1.9,0,0,2.6,536.5,191.7,8.5,10.1,84,15.5,17,91.5,2.7,5.7,47.8,DF
1258,Drissa Camara,26.8,2024-2025,22,ci CIV,Parma,it Serie A,21,447,5,1,20,16,0,0,0,0,0,0,0,26.8,36.6,73.1,1,3,1,0,5.4,418,110.7,14.7,17.9,82,10.1,11.9,84.7,1.2,3.2,37.5,"MF,FW"
1259,Michael Keane,26.8,2024-2025,31,eng ENG,Everton,eng Premier League,14,1049,11.7,11,3,22,0.3,0,0.3,0.3,0,0,0,26.8,32.3,82.8,0.2,1.8,0,0,1.2,604.8,205.6,8.2,9.3,88.9,12.5,13.7,91.3,5.7,7.6,75.3,DF
1260,Lilian Raolisoa,26.8,2024-2025,24,fr FRA,Angers,fr Ligue 1,29,1318,14.6,14,15,1,0,0.2,0.2,0,0,0,0,26.8,38.5,69.5,1,2.1,1.1,0.5,3.2,445.6,198.3,12.8,14.7,87,10.8,14.7,73.5,2.3,5.7,40.5,"DF,FW"
1261,Ander Barrenetxea,26.7,2024-2025,22,es ESP,Real Sociedad,es La Liga,30,1263,14,14,16,3,0.1,0.2,0.3,0.1,0,0,0,26.7,37.7,70.9,1.1,1.6,1.6,0.3,3.4,444.3,100.4,14.4,17.2,83.8,8.4,11.6,72.4,3,5.1,59.2,"MF,FW"
1262,Pablo Ibáñez,26.7,2024-2025,25,es ESP,Osasuna,es La Liga,28,1294,14.4,13,15,10,0.1,0.1,0.1,0.1,0,0,0,26.7,35.7,74.9,0.4,2.4,0.3,0.1,3.5,434.5,93.6,13.5,16.8,80.5,10.4,13.3,78.5,1.9,3,62.8,MF
1263,Francisco Perez,26.7,2024-2025,21,es ESP,Valencia,es La Liga,26,570,6.3,4,22,5,0,0,0,0,0,0,0,26.7,36.3,73.5,1.1,1.1,0.9,0.3,2.1,399.3,84.2,17.1,18.8,90.8,6.8,9.8,69.4,2.1,3.8,54.2,"FW,MF"
1264,Nicolas Cozza,26.7,2024-2025,25,fr FRA,2 Teams,2 Comps,27,2051,22.8,23,4,2,0,0,0,0,0,0,0,26.7,34.3,77.7,0.3,1.8,0.4,0.2,2.8,432.6,172,13,15.1,86.1,12,14.2,84.5,1.2,3.2,36.5,"DF,MF"
1265,Adrià Altimira,26.7,2024-2025,23,es ESP,Leganés,es La Liga,22,1630,18.1,19,3,14,0,0,0,0,0,0,0,26.7,34,78.5,0.6,1.9,0.6,0.1,2.3,426.9,118.6,14.1,16.1,87.3,10.3,13.1,78.5,1.9,3.4,55.7,"DF,FW"
1266,Anthony Gordon,26.6,2024-2025,23,eng ENG,Newcastle Utd,eng Premier League,34,2434,27,28,6,0,0.2,0.2,0.4,0.2,0,0.1,0,26.6,36.3,73.3,1.9,2.4,2,0.6,3.6,411.5,134.7,14.7,17.2,85.6,9,11.5,78.2,2.1,4.6,44.8,"FW,MF"
1267,Elisha Owusu,26.6,2024-2025,26,gh GHA,Auxerre,fr Ligue 1,28,2344,26,28,0,0,0,0.1,0.2,0,0,0,0,26.6,32.5,81.8,0.5,2,0.2,0,3,430.5,107.3,13.1,15.1,86.8,10.8,12.7,85.2,1.8,2.8,62.2,MF
1268,Alejandro Garnacho,26.6,2024-2025,20,ar ARG,Manchester Utd,eng Premier League,36,2199,24.4,23,13,0,0.2,0.1,0.3,0.2,0,0,0,26.6,33.7,78.9,1.5,0.9,1,0.2,2.3,374,48.3,16.6,18.7,88.4,7.5,9.1,82.1,1.3,2.1,59.6,"MF,FW"
1269,Carles Aleñá,26.4,2024-2025,26,es ESP,2 Teams,es La Liga,24,1542,17.1,18,6,8,0,0.1,0.1,0,0,0,0,26.4,34.4,76.7,1.3,2.6,1,0.2,4.1,402.1,105,14.1,16.1,87.3,9.3,11.6,80.4,1.8,3.4,52.5,"MF,FW"
1270,Takefusa Kubo,26.3,2024-2025,23,jp JPN,Real Sociedad,es La Liga,36,2372,26.4,27,9,1,0.2,0,0.2,0.2,0,0,0,26.3,36.5,72.1,1.7,2.2,1.7,0.4,4.2,377.1,112.3,16.1,19,85,7,9.8,71.4,1.8,3.7,48.5,"MF,FW"
1271,Iker Losada,26.3,2024-2025,22,es ESP,2 Teams,es La Liga,22,694,7.7,7,15,16,0.1,0,0.1,0.1,0,0,0,26.3,35,75.2,1.4,2.3,1.4,0.4,4,372.1,90.4,16.7,20.1,83.2,7.4,9.7,76,1.2,2.1,56.3,"FW,MF"
1272,Paul Wanner,26.3,2024-2025,18,de GER,Heidenheim,de Bundesliga,29,1771,19.7,20,9,4,0.2,0.1,0.3,0.1,0.1,0.1,0,26.3,36,73.1,1,2.2,0.7,0.2,3.3,405.3,103.6,13.5,16.1,83.6,9.4,11.9,79.1,2,4.7,43.5,"MF,FW"
1273,Domagoj Bradari?,26.3,2024-2025,24,hr CRO,Hellas Verona,it Serie A,28,1933,21.5,24,4,7,0,0,0,0,0,0,0,26.3,36.3,72.4,1.2,1.3,0.7,0.5,2.1,443.6,144,13.1,15,87.3,10.2,13.3,76.6,2.5,5.6,43.8,DF
1274,Abdel Abqar,26.3,2024-2025,25,ma MAR,Alavés,es La Liga,29,2463,27.4,29,0,0,0,0,0,0,0,0,0,26.3,34.3,76.6,0.3,2.4,0.4,0.1,2.9,586.1,210.9,6.6,7.1,92.8,15.4,16.8,91.5,4.2,9.4,44.2,DF
1275,Justin Devenny,26.3,2024-2025,20,nir NIR,Crystal Palace,eng Premier League,23,507,5.6,4,19,7,0.2,0.2,0.4,0.2,0,0,0,26.3,36.4,72.2,1.2,3.9,0.7,0.2,3.7,431.9,129.6,13.7,16.9,81.1,9.1,12.6,71.8,2.5,5.1,48.3,MF
1276,Jacob Murphy,26.2,2024-2025,29,eng ENG,Newcastle Utd,eng Premier League,35,2360,26.2,31,4,2,0.3,0.5,0.8,0.3,0,0,0,26.2,38.3,68.5,1.6,2.2,1.6,0.6,3.2,397.1,131.1,15.7,18.5,84.9,8.3,12.2,68.1,1.6,4.2,39.4,FW
1277,Santiago Mouriño,26.2,2024-2025,22,uy URU,Alavés,es La Liga,25,1849,20.5,20,5,7,0,0,0,0,0,0,0,26.2,33.6,78,0.3,2.3,0.2,0.1,2.2,481,210.7,10.4,12,86.2,13,15.4,84.5,2.6,5.3,49.1,DF
1278,Ruben Vargas,26.2,2024-2025,25,ch SUI,2 Teams,2 Comps,19,976,10.8,12,7,3,0.2,0.1,0.3,0.2,0,0,0,26.2,35.8,73.2,1.8,1.7,1.3,0.6,2.5,446.9,101.1,13.2,15.4,85.6,9.7,13,74.5,2.5,4.9,50.9,"FW,MF"
1279,Jurgen Ekkelenkamp,26.2,2024-2025,24,nl NED,Udinese,it Serie A,34,1892,21,20,14,2,0.1,0.1,0.2,0.1,0,0,0,26.2,32.8,79.7,0.7,2,0.5,0.1,3.4,408.3,98,13.7,16,85.8,10.2,12.4,82.7,1.4,2.2,63,MF
1280,Lassana Coulibaly,26.2,2024-2025,28,ml MLI,Lecce,it Serie A,38,2667,29.6,30,8,0,0,0,0,0,0,0,0,26.2,32.2,81.2,0.4,2.3,0.2,0,3.1,460.5,113.4,11.3,12.9,87.7,11.3,13.3,85,2.8,3.9,71.6,MF
1281,Jakub Kami?ski,26.1,2024-2025,22,pl POL,Wolfsburg,de Bundesliga,22,1130,12.6,12,10,9,0,0.2,0.2,0,0,0,0,26.1,37.1,70.4,1.9,1.6,1,0.3,3.2,406.9,129.3,14.2,16.8,84.4,8.5,12,70.9,2.3,5.2,44.6,"DF,MF"
1282,Jan Schöppner,26.1,2024-2025,25,de GER,Heidenheim,de Bundesliga,33,2681,29.8,32,1,0,0.1,0.1,0.2,0.1,0,0,0,26.1,35,74.7,0.8,2.2,0.6,0.1,3.6,469.7,130,10.7,13.6,78.8,11.7,14.1,83.1,2.8,4.9,57.5,MF
1283,Jacob Bruun Larsen,26.1,2024-2025,25,dk DEN,2 Teams,de Bundesliga,27,814,9,6,21,5,0.3,0.2,0.6,0.3,0,0,0,26.1,36,72.4,2.1,1.7,2.5,0.9,3.9,410.6,105.6,13.6,16.9,80.4,9.1,12.2,74.5,2.1,3.9,54.3,"FW,MF"
1284,Nikola Vlaši?,26.1,2024-2025,26,hr CRO,Torino,it Serie A,30,2117,23.5,23,7,1,0.2,0.2,0.4,0.1,0.1,0.1,0,26.1,32.6,79.8,1.4,2.4,1,0.2,4,374.7,96,15.1,17.4,86.6,8.8,10.9,80.5,1.1,1.7,65,"MF,FW"
1285,Luis Rioja,26,2024-2025,30,es ESP,2 Teams,es La Liga,37,2854,31.7,33,4,0,0.2,0.1,0.3,0.1,0.1,0.1,0,26,38.6,67.5,1.1,1.3,1.9,0.8,3.3,433,124.9,13.6,16.1,84.3,9.7,13.4,72.9,2.1,5.7,37.4,FW
1286,Adam Aznou,26,2024-2025,18,ma MAR,2 Teams,2 Comps,15,893,9.9,10,5,13,0,0,0,0,0,0,0,26,36.3,71.7,0.6,1.8,0.4,0.2,2.6,386.8,131.5,14.8,17.2,86,8.9,12.5,71,1.6,3.7,43.2,DF
1287,Jonathan Rowe,26,2024-2025,21,eng ENG,Marseille,fr Ligue 1,28,807,9,6,22,5,0.3,0.3,0.7,0.3,0,0,0,26,32.5,80.1,2,0.9,1.6,0.6,3.5,358.1,77.2,16.3,18.1,90.1,7.9,10.3,77.2,0.8,1.9,41.2,"FW,MF"
1288,Giuseppe Pezzella,25.9,2024-2025,26,it ITA,Empoli,it Serie A,35,2878,32,34,1,2,0,0.1,0.1,0,0,0,0,25.9,39,66.5,1.1,1.8,0.9,0.7,2.5,431.6,175.7,12.6,15.1,83.5,10.4,14.6,71.2,2.2,6.2,36,"DF,FW"
1289,Alberto Grassi,25.9,2024-2025,29,it ITA,Empoli,it Serie A,28,2203,24.5,27,1,1,0,0,0,0,0,0,0,25.9,34.7,74.6,0.3,2.7,0.3,0,3,441,142.1,10.7,13.1,81.6,12.8,15.9,80.9,1.6,3.7,44,MF
