Rk,Player,Tkl/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Tkl/90,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Pos
422,Rodrigo Bentancur,2.2,2024-2025,27,uy URU,Tottenham,eng Premier League,26,1645,18.3,21,5,1,0.1,0,0.1,0.1,0,0,0,2.2,1.2,1,0.9,0.2,1,2.2,47.5,1.1,1.4,0.4,0.9,2.2,4.4,2.1,0.1,MF
423,Santiago Bueno,2.2,2024-2025,25,uy URU,Wolves,eng Premier League,29,1687,18.7,18,11,8,0,0,0,0,0,0,0,2.2,1.1,1.2,1,0.1,0.9,1.2,77.3,0.3,1.9,1.1,0.8,0.8,3,3.7,0,DF
424,Jhon Solis,2.2,2024-2025,19,co COL,Girona,es La Liga,19,535,5.9,3,16,13,0.2,0,0.2,0.2,0,0,0,2.2,1.2,0.5,1.5,0.2,1,2.4,42.9,1.3,2.2,0.2,2,0.7,2.9,1,0.2,MF
425,Pape Gueye,2.2,2024-2025,25,sn SEN,Villarreal,es La Liga,34,2224,24.7,26,8,0,0.2,0,0.2,0.2,0,0,0,2.2,1.1,0.9,0.9,0.3,0.8,1.2,69,0.4,1.3,0.5,0.7,1.1,3.3,2.1,0.1,MF
426,Domingos André Ribeiro Almeida,2.2,2024-2025,24,pt POR,Valencia,es La Liga,34,1977,22,24,10,2,0,0.2,0.2,0,0,0,0,2.2,1.5,0.8,1,0.4,0.6,1.8,35.9,1.1,1,0.1,0.8,0.4,2.5,0.6,0,"MF,FW"
427,Eric García,2.2,2024-2025,23,es ESP,Barcelona,es La Liga,29,1566,17.4,14,15,3,0.1,0.2,0.3,0.1,0,0,0,2.2,1.2,0.6,1.4,0.2,1.1,1.7,69,0.5,1.4,0.5,0.9,0.8,3,2.4,0,"DF,MF"
428,Morato,2.2,2024-2025,23,br BRA,Nott'ham Forest,eng Premier League,26,907,10.1,6,20,8,0,0,0,0,0,0,0,2.2,1.4,1.8,0.3,0.1,1.3,2.1,61.9,0.8,1.4,0.5,0.9,1,3.2,7.7,0.2,DF
429,Jarell Quansah,2.2,2024-2025,21,eng ENG,Liverpool,eng Premier League,13,495,5.5,4,9,25,0,0,0,0,0,0,0,2.2,1.5,1.5,0.7,0,1.3,1.8,70,0.5,1.8,1.3,0.5,1.3,3.5,5.1,0.2,DF
430,Seydouba Cissé,2.2,2024-2025,23,gn GUI,Leganés,es La Liga,34,2435,27.1,31,3,2,0.1,0,0.1,0.1,0,0,0,2.2,1.4,0.7,1,0.5,0.9,1.8,46,1,0.9,0,0.9,0.4,2.6,1.7,0,MF
431,Julián Malatini,2.2,2024-2025,23,ar ARG,Werder Bremen,de Bundesliga,10,454,5,5,5,21,0.2,0.2,0.4,0.2,0,0,0,2.2,1.8,1,1,0.2,1,2.2,45.5,1.2,1.6,0.6,1,1.4,3.6,3.4,0,DF
