Rk,Player,xG/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,xG/90,npxG,xAG,xG+xAG,xA,npxG+xAG,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Pos
1801,Javier Manquillo,0,2024-2025,30,es ESP,Celta Vigo,es La Liga,10,515,5.7,7,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,DF
1802,Toni Lato,0,2024-2025,26,es ESP,Mallorca,es La Liga,14,621,6.9,7,7,16,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,-0.1,,0,,,0,,,0,DF
1803,Julian Araujo,0,2024-2025,22,mx MEX,Bournemouth,eng Premier League,12,497,5.5,7,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,DF
1804,Mohamed Abdelmoneim,0,2024-2025,25,eg EGY,Nice,fr Ligue 1,12,855,9.5,10,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,DF
1805,Andrew Omobamidele,0,2024-2025,22,ie IRL,2 Teams,2 Comps,10,539,6,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,DF
1806,Yoel Lago,0,2024-2025,20,es ESP,Celta Vigo,es La Liga,8,583,6.5,7,1,8,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,0,,,0,,,0,DF
1807,Pierre Cornud,0,2024-2025,27,fr FRA,Saint-Étienne,fr Ligue 1,11,576,6.4,7,4,10,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,-0.1,,0,,,0,,,0,DF
1808,Fodé Ballo-Touré,0,2024-2025,27,sn SEN,Le Havre,fr Ligue 1,10,589,6.5,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,"DF,MF"
1809,Victor Lindelöf,0,2024-2025,30,se SWE,Manchester Utd,eng Premier League,16,704,7.8,6,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,DF
1810,Aster Vranckx,0,2024-2025,21,be BEL,Wolfsburg,de Bundesliga,14,556,6.2,6,8,7,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,,0,,,0,,,0,MF
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
