,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,,,Short,,,Medium,,,Long,,,
Rk,Player,Cmp/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp/90,Att,Cmp%,KP,03-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Pos
601,Sergi Gómez,42.2,2024-2025,32,es ESP,Espanyol,es La Liga,12,664,7.4,6,6,25,0,0,0,0,0,0,0,42.2,47.4,88.9,0,0.4,0,0,1.1,830.2,261.9,12.1,13,92.7,25.9,27,96,4.1,7,57.7,DF
602,Andrei Ratiu,42.1,2024-2025,26,ro ROU,Rayo Vallecano,es La Liga,35,3065,34.1,34,1,1,0.1,0.1,0.1,0.1,0,0,0,42.1,51.7,81.6,1.1,3.1,0.7,0.3,4.3,639.7,217.9,24,26.7,89.7,15.6,18.5,84.3,1.9,3.6,52.5,DF
603,Leonardo Spinazzola,42.1,2024-2025,31,it ITA,Napoli,it Serie A,27,1517,16.9,17,10,6,0.1,0.1,0.1,0.1,0,0,0,42.1,53.1,79.3,1.5,3.7,2,0.5,5.2,734.4,222.5,18.7,20.5,91,18.5,22.3,82.7,4.1,7.2,57,"DF,FW"
604,Ibrahim Sangaré,42.1,2024-2025,26,ci CIV,Nott'ham Forest,eng Premier League,13,590,6.6,7,6,5,0,0.2,0.2,0,0,0,0,42.1,49.3,85.4,0.6,4.3,0.6,0.2,4.1,689.6,225,19.7,22,89.6,17.8,19.4,92.1,3.1,4.7,64.5,MF
605,Mark McKenzie,42.1,2024-2025,25,us USA,Toulouse,fr Ligue 1,30,2496,27.7,29,1,1,0,0,0.1,0,0,0,0,42.1,48.9,86.1,0.1,3.6,0,0,3.5,761,293.3,16.7,18.2,91.3,22,24.5,89.7,3,5.2,58,DF
606,Pathé Ciss,42,2024-2025,30,sn SEN,Rayo Vallecano,es La Liga,33,2140,23.8,25,8,3,0.2,0,0.2,0.2,0,0,0,42,49.6,84.7,0.7,4.3,0.3,0,5.4,743,243.3,18.3,20.3,90,19.1,21.3,89.7,3.9,5.7,68.1,"MF,DF"
607,Aaron Wan-Bissaka,42,2024-2025,26,cd COD,West Ham,eng Premier League,36,3154,35,35,1,1,0.1,0.1,0.2,0.1,0,0,0,42,51.8,81.1,0.9,2.7,1,0.3,4.3,590.6,214.7,27.2,30.1,90.2,12.8,15.7,81.6,1.4,3,45.7,DF
608,Willy Kambwala,42,2024-2025,19,fr FRA,Villarreal,es La Liga,19,1117,12.4,12,7,11,0,0,0,0,0,0,0,42,47.9,87.7,0.1,0.7,0.1,0,1.3,775.2,274.8,15.5,16.7,92.8,22.9,24.3,94.4,3.2,5.8,55.6,DF
609,Yerry Mina,42,2024-2025,29,co COL,Cagliari,it Serie A,31,2569,28.5,31,0,1,0,0,0,0,0,0,0,42,48.8,85.9,0.1,2.2,0.2,0,2.7,771.4,293.4,15.8,17.4,90.7,22.5,24.7,91.1,3.2,5.5,58,DF
610,Flynn Downes,42,2024-2025,25,eng ENG,Southampton,eng Premier League,27,2151,23.9,25,2,2,0,0,0,0,0,0,0,42,46.4,90.4,0.6,2.6,0.5,0,2.8,612.8,121,24.1,25.9,93.1,14.7,16,92.1,1.5,2.2,69.8,MF
611,Rayan Aït-Nouri,41.9,2024-2025,23,dz ALG,Wolves,eng Premier League,37,3109,34.5,37,0,0,0.1,0.2,0.3,0.1,0,0,0,41.9,49.8,84.2,1.3,2.2,0.9,0.3,3.1,574.2,171.5,26,27.8,93.5,12.6,14.4,87.2,1.4,3.4,40.7,DF
612,Melvin Bard,41.9,2024-2025,23,fr FRA,Nice,fr Ligue 1,24,1938,21.5,22,2,1,0.1,0,0.1,0.1,0,0,0,41.9,54.1,77.4,0.7,3.5,1.2,0.6,4.1,707.4,250.7,20.9,22.6,92.6,17.2,21.7,79.3,3.1,7,44,"DF,MF"
613,Jay Idzes,41.9,2024-2025,24,id IDN,Venezia,it Serie A,35,3127,34.7,35,0,0,0,0,0,0,0,0,0,41.9,48.8,86,0.2,1.9,0.1,0,2.4,767.7,264.8,14.6,16.1,90.7,24.2,26.4,91.5,2.6,4.8,54.2,DF
614,Patrick Mainka,41.9,2024-2025,29,de GER,Heidenheim,de Bundesliga,34,3060,34,34,0,0,0,0,0.1,0,0,0,0,41.9,49.1,85.4,0.2,2.6,0.1,0,3,833.4,353.1,12.8,14.4,88.6,24.5,26.8,91.5,4.3,6.7,63.9,DF
615,Héctor Bellerín,41.9,2024-2025,29,es ESP,Betis,es La Liga,9,580,6.4,6,3,10,0,0.3,0.3,0,0,0,0,41.9,50.9,82.3,1.2,2.5,0.6,0.3,3.7,646.6,247.3,21.7,23.7,91.5,18.2,22.3,81.3,1.6,3.3,47.6,DF
616,Siebe Van Der Heyden,41.9,2024-2025,26,be BEL,2 Teams,2 Comps,15,969,10.8,12,3,13,0.1,0,0.1,0.1,0,0,0,41.9,52,80.5,0.3,4,0.7,0.4,3.1,733.4,236.7,18.6,20.6,90.1,18.8,21.7,86.3,3.8,7,54.7,"DF,MF"
617,James Bree,41.9,2024-2025,26,eng ENG,Southampton,eng Premier League,17,1075,11.9,13,4,15,0,0.1,0.1,0,0,0,0,41.9,50.1,83.5,0.8,2.4,0.6,0.5,2.8,663.2,184.5,20.3,22.5,90.3,18.4,21.2,87,2.3,4.4,51.9,DF
618,Pape Matar Sarr,41.8,2024-2025,21,sn SEN,Tottenham,eng Premier League,36,1913,21.3,22,14,2,0.1,0.1,0.2,0.1,0,0,0,41.8,48.4,86.4,0.7,4,0.6,0.1,4.1,640.3,147.2,21.7,23.9,90.8,16.3,18.2,89.9,2.1,2.9,72.6,MF
619,João Gomes,41.8,2024-2025,23,br BRA,Wolves,eng Premier League,36,2974,33,35,1,0,0.1,0,0.1,0.1,0,0,0,41.8,49.1,85,0.7,3.7,0.7,0,5,596.4,148.6,24.6,27.1,90.7,13,15.1,86.3,2,3.4,58.9,MF
620,Mika Mármol,41.7,2024-2025,23,es ESP,Las Palmas,es La Liga,30,2399,26.7,27,3,3,0,0,0,0,0,0,0,41.7,56.1,74.4,0.6,4.5,0.6,0.3,4,753.8,337.3,18.7,21,89.1,17.6,21.7,81.2,4.7,11.2,41.9,DF
621,Gideon Mensah,41.7,2024-2025,26,gh GHA,Auxerre,fr Ligue 1,29,2280,25.3,26,3,0,0,0,0,0,0,0,0,41.7,52.1,79.9,0.9,2.7,1,0.6,3.7,682,262.7,22.2,24.2,91.7,14.6,18.1,80.4,3.7,6.8,54.3,DF
622,Milan Badelj,41.6,2024-2025,35,hr CRO,Genoa,it Serie A,23,1472,16.4,21,2,11,0.1,0,0.1,0.1,0,0,0,41.6,51.1,81.5,0.7,4.5,0.6,0,5.1,719.8,241.8,18.6,21.7,85.9,18.3,20.2,90.3,3.7,6.8,53.6,MF
