,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,,,Short,,,Medium,,,Long,,,
623,Becir Omeragic,41.6,2024-2025,22,ch SUI,Montpellier,fr Ligue 1,22,1799,20,21,1,1,0,0,0,0,0,0,0,41.6,45.2,92.1,0.2,2.2,0.3,0.1,2.6,746,217.6,15.1,16.1,93.8,22.9,23.5,97.2,2.8,4,70.9,DF
624,Iñigo Ruiz de Galarreta,41.6,2024-2025,30,es ESP,Athletic Club,es La Liga,26,1477,16.4,18,8,1,0,0.2,0.2,0,0,0,0,41.6,51.4,80.9,1.7,6.2,1.5,0.2,8.3,778.3,228.4,15.7,18.1,86.5,21.3,23.5,90.6,4.1,7.3,56.3,MF
625,Borna Sosa,41.6,2024-2025,26,hr CRO,Torino,it Serie A,19,1181,13.1,14,5,9,0,0,0,0,0,0,0,41.6,52.3,79.6,0.8,3.3,1.7,0.9,3.9,698.4,205.7,18.6,21,88.7,18.1,21.6,83.7,3.9,7.2,54.3,DF
626,Joe Aribo,41.5,2024-2025,28,ng NGA,Southampton,eng Premier League,32,2013,22.4,21,11,6,0.1,0,0.1,0.1,0,0,0,41.5,46.8,88.8,0.7,2.3,0.2,0,3.4,612,117.6,23,25.2,91.3,16,17.5,91.3,1.4,2,68.9,"MF,DF"
627,Max Rosenfelder,41.5,2024-2025,21,de GER,Freiburg,de Bundesliga,25,1249,13.9,13,12,2,0.1,0,0.1,0.1,0,0,0,41.5,48.6,85.3,0.4,1.7,0.3,0,2.1,703.5,196.2,17.7,19.5,90.4,21.6,24.1,89.8,1.4,2.6,55.6,DF
628,Lazar Samardzic,41.5,2024-2025,22,rs SRB,Atalanta,it Serie A,31,1169,13,7,24,6,0.2,0.1,0.2,0.2,0,0,0,41.5,53.3,77.9,2.7,4.6,2.3,0.2,7.1,723.8,176.8,20.9,23.9,87.5,14.6,18.7,77.8,5.2,8.3,63,MF
629,Romain Perraud,41.4,2024-2025,26,fr FRA,Betis,es La Liga,28,2002,22.2,22,6,8,0.1,0.1,0.2,0.1,0,0,0,41.4,52,79.6,0.7,2.7,0.7,0.5,2.8,571.4,196.6,25.6,28.1,91.2,12.4,15.6,79.5,1.4,4,36.4,DF
630,Gabriel Suazo,41.4,2024-2025,26,cl CHI,Toulouse,fr Ligue 1,30,2163,24,23,7,1,0,0.2,0.2,0,0,0,0,41.4,51.9,79.6,1.7,3.1,1.6,0.5,4.5,659.8,271,22.3,25,88.9,15.5,19.1,81.1,2.4,5,47.9,DF
631,Tyler Adams,41.3,2024-2025,25,us USA,Bournemouth,eng Premier League,28,1965,21.8,21,7,1,0,0.1,0.1,0,0,0,0,41.3,49,84.4,0.8,3.1,0.2,0,3.5,656,161.5,20,22.4,89.4,18,20.3,88.7,1.7,3,58.5,MF
632,Adrien Truffert,41.3,2024-2025,22,fr FRA,Rennes,fr Ligue 1,33,2752,30.6,31,2,0,0.1,0.1,0.1,0.1,0,0,0,41.3,52.4,78.9,1.3,1.8,1.3,0.7,3.4,644.9,199.9,21.9,24.3,90,16,20.3,79,2.3,4.7,48.6,"DF,MF"
633,Hiroki Sekine,41.3,2024-2025,21,jp JPN,Reims,fr Ligue 1,15,887,9.9,9,6,1,0,0,0,0,0,0,0,41.3,51.1,80.8,0.3,3.2,0.9,0.5,4,657.1,237.4,22.1,24.1,91.6,14.8,17.9,83,3.4,5.9,58.6,DF
634,Sael Kumbedi,41.3,2024-2025,19,fr FRA,Lyon,fr Ligue 1,14,951,10.6,12,2,12,0,0,0,0,0,0,0,41.3,48.2,85.7,0.5,1.8,1.3,0.2,3.5,570.4,154.3,24.1,26.3,91.7,14.7,16.4,89.6,0.9,2.3,41.7,DF
635,Leroy Sané,41.2,2024-2025,28,de GER,Bayern Munich,de Bundesliga,30,1637,18.2,17,13,2,0.6,0.3,0.9,0.6,0,0,0,41.2,50,82.5,2,1.3,1.9,0.4,3.5,584.4,103.2,24.1,26.9,89.4,13.9,16.4,84.9,1.6,2.5,64.4,FW
636,Yukinari Sugawara,41.2,2024-2025,24,jp JPN,Southampton,eng Premier League,30,1557,17.3,16,14,5,0.1,0.1,0.1,0.1,0,0,0,41.2,51.5,80,1,2.7,1.2,0.5,4.2,649.8,199.7,21.8,24.7,88.3,16.3,19.6,83.2,2.1,4.4,48.7,"DF,MF"
637,Jorge Herrando,41.2,2024-2025,23,es ESP,Osasuna,es La Liga,18,1366,15.2,15,3,20,0.1,0,0.1,0.1,0,0,0,41.2,48.2,85.4,0,1.9,0,0,2.5,763,281.9,13.6,14.7,92.8,24.4,26.7,91.4,2.7,5.7,47.1,DF
638,Jérémy Jacquet,41.2,2024-2025,19,fr FRA,Rennes,fr Ligue 1,11,927,10.3,11,0,1,0,0.1,0.1,0,0,0,0,41.2,49.3,83.5,0.4,4.8,0.1,0,3.9,817.4,293.2,11.7,14.1,82.8,24.6,27.8,88.5,4.6,5.7,79.7,DF
639,Tom Krauß,41.1,2024-2025,23,de GER,Bochum,de Bundesliga,14,1077,12,13,1,0,0,0,0,0,0,0,0,41.1,51.4,80,1,6.4,0.8,0,7,748.9,234.9,16.8,19.3,87,20.1,23.1,87,4.1,6.8,60.5,MF
640,Baptiste Santamaria,41.1,2024-2025,29,fr FRA,2 Teams,fr Ligue 1,23,1409,15.7,16,7,9,0,0.1,0.1,0,0,0,0,41.1,49.8,82.5,0.8,4.6,0.5,0,4.7,682.8,206.6,20.6,22.7,91,15.5,18.6,83.2,3.7,5.6,66.7,MF
641,Christopher Operi,41,2024-2025,27,ci CIV,Le Havre,fr Ligue 1,13,1169,13,13,0,0,0,0.2,0.2,0,0,0,0,41,57.5,71.4,1.8,2.8,1.5,1,4,725.5,262.7,18.2,19.9,91.1,17.6,22.7,77.3,4.5,11.9,37.4,"DF,FW"
642,Yehor Yarmoliuk,41,2024-2025,20,ua UKR,Brentford,eng Premier League,31,1450,16.1,15,16,7,0,0,0,0,0,0,0,41,47.2,87,0.6,4.4,0.5,0.2,3.9,727.2,166.3,19.6,22.3,87.8,16.1,17.9,89.9,4.5,5.3,84.7,MF
643,Fernando Calero,40.9,2024-2025,28,es ESP,Espanyol,es La Liga,21,715,7.9,6,15,10,0.1,0,0.1,0.1,0,0,0,40.9,48,85.3,0.4,2.1,0.1,0.1,2.1,806.6,317.2,13.3,14.5,92.2,21.5,23.3,92.4,5.4,8.4,64.2,"DF,MF"
644,Santi Comesaña,40.9,2024-2025,27,es ESP,Villarreal,es La Liga,35,2560,28.4,30,5,2,0.1,0.1,0.2,0.1,0,0,0,40.9,48.3,84.6,0.9,5,1.1,0.1,5.4,690.1,223.2,19,21.3,89.4,17.8,19.8,89.9,3.1,4.8,65,MF
645,Devyne Rensch,40.9,2024-2025,21,nl NED,Roma,it Serie A,14,469,5.2,5,9,1,0,0.2,0.2,0,0,0,0,40.9,49.9,81.9,0.4,2.7,0.8,0.4,2.7,592.8,183.6,24.4,28,87,13.8,16.3,84.7,1.5,3.3,47.1,DF
646,Sam Morsy,40.9,2024-2025,32,eg EGY,Ipswich Town,eng Premier League,33,2751,30.6,31,2,2,0,0,0.1,0,0,0,0,40.9,47.3,86.4,0.8,4.9,0.6,0.1,3.9,659,182.5,20.8,22.4,92.9,16.4,17.9,91.9,2.6,4.5,56.8,MF
647,Eric Bailly,40.8,2024-2025,30,ci CIV,Villarreal,es La Liga,12,617,6.9,8,4,20,0,0,0,0,0,0,0,40.8,46.7,87.5,0,2.6,0,0,2.6,732.1,279.2,15,15.9,94.5,21.9,24.1,90.9,3.4,6,56.1,DF
648,Aleksandr Golovin,40.8,2024-2025,28,ru RUS,Monaco,fr Ligue 1,19,1153,12.8,13,6,2,0.2,0,0.2,0.2,0,0,0,40.8,52.9,77.1,1.9,6,2.4,0.2,8.7,648,239.6,21.9,26.3,83.4,13.3,16.2,82.1,4.2,7.2,58.7,"MF,FW"
649,Marco Komenda,40.8,2024-2025,27,hr CRO,Holstein Kiel,de Bundesliga,19,1307,14.5,17,2,6,0,0,0,0,0,0,0,40.8,51.7,78.8,0.6,4.5,0.6,0.3,3.6,800.1,385,14.4,15.6,92.1,21.3,24.9,85.4,4.9,10.1,48.6,DF
650,Bruno Guimarães,40.7,2024-2025,26,br BRA,Newcastle Utd,eng Premier League,38,3271,36.3,38,0,0,0.1,0.2,0.3,0.1,0,0,0,40.7,49.5,82.4,1.4,5,2.1,0.2,7.5,672.3,216.3,20.3,22.3,90.9,16,18.4,86.7,3.2,5.5,58.7,MF
651,Eray Cömert,40.7,2024-2025,26,ch SUI,Valladolid,es La Liga,25,1779,19.8,21,4,7,0,0,0,0,0,0,0,40.7,46.4,87.7,0,2.4,0.1,0,2.4,825.8,271.1,11.8,13.3,88.9,24.1,25.3,95.4,4.4,6.9,62.8,"DF,MF"
652,Aridane Hernández,40.7,2024-2025,35,es ESP,Rayo Vallecano,es La Liga,14,1025,11.4,11,3,23,0,0,0,0,0,0,0,40.7,46.3,87.9,0.2,1.6,0,0,3.3,731.1,238.3,17.7,19.1,92.7,19,20.7,91.5,3.6,5.6,64.1,DF
653,Illia Zabarnyi,40.6,2024-2025,21,ua UKR,Bournemouth,eng Premier League,36,3109,34.5,35,1,0,0,0,0,0,0,0,0,40.6,49.5,82.1,0.3,4.4,0.2,0,4.1,858.3,314.4,10.8,12.1,89.2,24.1,26.5,91.1,5.4,10,54,DF
654,Andrea Carboni,40.6,2024-2025,23,it ITA,Monza,it Serie A,26,2191,24.3,25,1,6,0,0,0,0,0,0,0,40.6,47.5,85.5,0.2,2.1,0.1,0.1,2.1,677.9,202,19,20.4,93.3,18,20.2,89,2.9,4.8,59.3,DF
655,Hugo Larsson,40.6,2024-2025,20,se SWE,Eint Frankfurt,de Bundesliga,33,2393,26.6,28,5,0,0.1,0,0.2,0.1,0,0,0,40.6,46.7,86.9,0.8,3.3,0.7,0.1,4.6,635.3,185.1,20.4,22.3,91.2,16.5,18.2,90.9,2.2,3.5,63.4,MF
656,Emile Smith Rowe,40.6,2024-2025,24,eng ENG,Fulham,eng Premier League,34,2043,22.7,25,9,0,0.3,0.1,0.4,0.3,0,0,0,40.6,45.1,90.1,1.1,3.5,0.7,0,5.6,578.9,107,24.1,26.1,92.6,14.5,15.3,94.8,0.9,1.3,72.4,MF
657,Antony,40.6,2024-2025,24,br BRA,2 Teams,2 Comps,25,1503,16.7,15,10,11,0.3,0.1,0.4,0.3,0,0,0,40.6,50.1,81,2.3,2.1,2.9,0.5,4.4,544.4,139,26.6,30.1,88.5,9.8,12.9,76.3,1.8,3.2,55.6,"DF,MF"
658,Manu Koné,40.6,2024-2025,23,fr FRA,Roma,it Serie A,34,2572,28.6,31,3,1,0.1,0,0.1,0.1,0,0,0,40.6,44.5,91.1,0.7,4,0.5,0,5,661.9,155.4,19.4,21.1,91.7,17.4,18.4,94.5,2.7,3.1,86.5,MF
659,Adam Maruši?,40.6,2024-2025,31,me MNE,Lazio,it Serie A,35,2337,26,26,9,3,0.2,0,0.2,0.2,0,0,0,40.6,47.8,84.9,0.5,2.8,0.6,0.3,3.2,624.4,198.6,21.4,23.2,92.2,15.9,18.4,86.4,2.2,4.2,51.4,DF
660,Lautaro Valenti,40.5,2024-2025,25,ar ARG,Parma,it Serie A,20,1556,17.3,18,2,10,0.1,0,0.1,0.1,0,0,0,40.5,48,84.5,0.2,1.5,0.2,0.1,1.6,788.4,241.8,12.6,13.5,92.7,23.5,25.3,92.9,4.1,8,51.1,DF
661,Marcel Sabitzer,40.5,2024-2025,30,at AUT,Dortmund,de Bundesliga,26,1616,18,18,8,1,0.1,0,0.1,0.1,0,0,0,40.5,47.8,84.8,0.7,4.2,0.7,0.1,5.4,611.5,161.8,22.3,23.9,93.5,14.8,17.3,85.8,2,3.6,55.4,MF
662,Marc Bartra,40.5,2024-2025,33,es ESP,Betis,es La Liga,25,2099,23.3,23,2,6,0.1,0,0.1,0.1,0,0,0,40.5,49.9,81.3,0.2,2.7,0.2,0,2.9,826.3,281.8,13.5,14.4,93.2,21.1,23.4,90.3,5.4,10.7,50.6,DF
663,Alexander Prass,40.5,2024-2025,23,at AUT,Hoffenheim,de Bundesliga,23,1566,17.4,19,4,4,0,0.1,0.1,0,0,0,0,40.5,55.7,72.7,1,2.5,1.6,0.6,3.6,670.4,234.8,19.1,22.1,86.7,17.4,22.7,76.5,3,7.1,42.3,DF
664,Maxence Caqueret,40.4,2024-2025,24,fr FRA,2 Teams,2 Comps,27,1660,18.4,21,6,6,0.1,0.2,0.3,0.1,0,0,0,40.4,49.4,81.9,1.6,5.7,1.5,0.1,6.8,639.5,225.9,21,24.2,87,15.2,17.6,86.7,2.7,4,67.6,MF
665,Manuel Ugarte,40.3,2024-2025,23,uy URU,Manchester Utd,eng Premier League,29,1785,19.8,22,7,3,0.1,0.1,0.2,0.1,0,0,0,40.3,45.9,87.9,0.5,3,0.5,0.2,3.1,656.4,141.2,20.7,23,89.7,15.6,16.8,93.1,3.1,4.2,74.7,MF
666,Vincent Sierro,40.3,2024-2025,28,ch SUI,Toulouse,fr Ligue 1,29,2402,26.7,27,2,0,0.2,0,0.2,0.1,0.1,0.1,0,40.3,51.4,78.4,1.1,3.8,1,0,5.5,714.6,218.2,17.3,20,86.7,18.8,22.1,85.2,3.3,7.1,46.8,MF
667,David Nemeth,40.3,2024-2025,23,at AUT,St. Pauli,de Bundesliga,24,2137,23.7,24,0,10,0,0,0,0,0,0,0,40.3,46.6,86.4,0.1,2.3,0.2,0,2.7,717.7,227.5,16.5,17.7,93.3,20.4,22.1,92.2,3,5.5,54.6,DF
668,Dominik Szoboszlai,40.2,2024-2025,23,hu HUN,Liverpool,eng Premier League,36,2491,27.7,29,7,0,0.2,0.2,0.4,0.2,0,0,0,40.2,47.8,84.3,2,3.2,1.2,0.2,4.7,633.3,131.5,21.7,24.2,89.6,13.2,15,88,3.4,4.8,71.4,MF
669,Andre-Frank Zambo Anguissa,40.2,2024-2025,28,cm CMR,Napoli,it Serie A,35,2852,31.7,32,3,0,0.2,0.1,0.3,0.2,0,0,0,40.2,47.6,84.5,0.8,4,0.7,0.1,4.5,608.7,156.5,22.3,25,89.1,14.7,16.8,87.8,2.1,2.9,71,MF
670,Federico Dimarco,40.2,2024-2025,26,it ITA,Inter,it Serie A,33,2177,24.2,29,4,2,0.2,0.3,0.5,0.2,0,0,0,40.2,52.7,76.3,2,1.9,1.7,0.8,3.4,686.8,198.6,19.8,22.7,87.4,16.1,20.1,80.2,3.6,7.5,48.4,"DF,FW"
671,Chrislain Matsima,40.2,2024-2025,22,fr FRA,Augsburg,de Bundesliga,30,2551,28.3,28,2,2,0,0,0.1,0,0,0,0,40.2,46.7,86,0.2,3.4,0.2,0,3,711,233.6,15.9,17.9,88.8,21.2,22.8,92.7,2.5,4.3,59,DF
672,Iñigo Lekue,40.2,2024-2025,31,es ESP,Athletic Club,es La Liga,16,773,8.6,8,8,22,0,0,0,0,0,0,0,40.2,51.1,78.6,0.9,3.6,0.2,0.2,4.1,683.8,232,17.7,20,88.4,19,23.1,82.3,2.7,6.1,44.2,DF
673,Abdul Mumin,40.2,2024-2025,26,gh GHA,Rayo Vallecano,es La Liga,24,2017,22.4,24,0,0,0.1,0,0.1,0.1,0,0,0,40.2,48.4,82.9,0,1.8,0,0,1.8,768.9,313.1,14.1,15.1,92.9,22,23.9,91.8,3.9,8.5,45.8,DF
674,Douglas,40.1,2024-2025,27,br BRA,Nantes,fr Ligue 1,28,2307,25.6,28,0,2,0.2,0.1,0.2,0.2,0,0,0,40.1,46.4,86.5,0.6,4.2,0.5,0,4.9,681.8,210,18.1,20.1,90.5,17.6,19.3,90.9,3.1,4.3,72.7,MF
675,Joakim Mæhle,40.1,2024-2025,27,dk DEN,Wolfsburg,de Bundesliga,28,2188,24.3,25,3,0,0.1,0.2,0.3,0.1,0,0,0,40.1,49.6,80.9,0.8,2.9,0.7,0.2,3.6,636.2,233.2,20.5,23.1,88.8,17.1,20.3,84.2,1.9,4,48.5,DF
676,Maximilian Arnold,40.1,2024-2025,30,de GER,Wolfsburg,de Bundesliga,28,2356,26.2,27,1,0,0.1,0.2,0.3,0.1,0,0,0,40.1,51.9,77.2,1.7,5,0.7,0.3,4.9,810.8,267.1,14,15.6,89.7,18.7,21.5,86.9,6.5,12.7,51.4,MF
677,Phil Foden,40.1,2024-2025,24,eng ENG,Manchester City,eng Premier League,28,1777,19.7,20,8,5,0.4,0.1,0.5,0.4,0,0,0,40.1,47.7,84.1,2.2,2.1,2,0.3,5.2,627.3,132.4,23.8,26.1,90.9,12.3,13.7,89.3,3.4,5.7,59.8,"MF,FW"
678,Moritz Jenz,40.1,2024-2025,25,de GER,Mainz 05,de Bundesliga,19,1600,17.8,18,1,4,0,0,0,0,0,0,0,40.1,47.5,84.3,0.2,2.1,0.1,0,2.6,719.3,256,15.3,16.8,91.3,22,24.5,89.9,2.3,5.3,43.2,DF
679,Jorge Sáenz,40,2024-2025,27,es ESP,Leganés,es La Liga,23,1690,18.8,19,4,12,0.1,0,0.1,0.1,0,0,0,40,47.8,83.7,0.1,1.9,0.1,0,1.9,793.4,307.1,13.7,14.5,94.9,22,23.8,92.6,4,8.7,46.3,DF
680,Keven Schlotterbeck,40,2024-2025,27,de GER,Augsburg,de Bundesliga,18,1297,14.4,15,3,10,0.2,0.1,0.3,0.2,0,0,0,40,47.4,84.5,0.5,2.8,0.2,0.1,4.1,764.1,309.7,14.8,16,92.6,21.4,23.4,91.4,3.7,7.4,50,DF
681,Luke Thomas,40,2024-2025,23,eng ENG,Leicester City,eng Premier League,14,1110,12.3,13,1,11,0,0,0,0,0,0,0,40,51,78.4,0.7,2.6,0.4,0.2,3,653.9,219.1,19.9,21.6,91.8,16.6,20.4,81.7,2.8,6.6,42.7,DF
682,Yael Mouanga,40,2024-2025,19,fr FRA,Montpellier,fr Ligue 1,14,946,10.5,10,4,8,0,0,0,0,0,0,0,40,45.6,87.7,0.2,2.4,0.1,0.1,2.1,718.8,247.1,15.9,16.9,93.8,19.7,21.5,91.6,3.1,5.1,61.1,DF
683,Jean-Kevin Duverne,39.9,2024-2025,27,ht HAI,Nantes,fr Ligue 1,9,537,6,7,2,6,0,0,0,0,0,0,0,39.9,50.9,78.3,0.2,3.7,0.3,0.3,3.7,641.2,263.3,20.6,23.6,87.2,16.1,18.8,85.7,2.8,6.2,45.9,DF
684,Marin Šverko,39.9,2024-2025,26,hr CRO,Venezia,it Serie A,16,1117,12.4,12,4,11,0.1,0,0.1,0.1,0,0,0,39.9,48.5,82.2,0.2,3.1,0.4,0,3.1,713.6,319.2,16.5,18.2,90.7,19.5,22.7,85.8,3.2,5.7,56.3,DF
685,Johnny Cardoso,39.9,2024-2025,22,us USA,Betis,es La Liga,28,2144,23.8,24,4,3,0.1,0,0.2,0.1,0,0,0,39.9,46.6,85.7,0.4,2.6,0.2,0,3,611,154.9,21.5,23.7,90.4,14.7,16.4,89.3,2.2,3.3,67.9,MF
686,Antoine Griezmann,39.9,2024-2025,33,fr FRA,Atlético Madrid,es La Liga,38,2469,27.4,29,9,0,0.3,0.3,0.5,0.3,0,0.1,0,39.9,53.3,74.8,1.7,3.8,1.7,0.4,5.2,622.4,170.3,22.5,26.1,86.2,11.6,16.1,72,4,6.9,58.4,"FW,MF"
687,Anthony Caci,39.8,2024-2025,27,fr FRA,Mainz 05,de Bundesliga,33,2684,29.8,33,0,0,0,0.2,0.3,0,0,0,0,39.8,55.5,71.8,1.7,3.2,1.5,0.7,4.5,650.8,271,20.8,24.6,84.4,14.9,20.2,73.6,3.1,6.7,46.7,DF
688,Luis Henrique,39.8,2024-2025,22,br BRA,Marseille,fr Ligue 1,33,2613,29,29,4,1,0.2,0.2,0.5,0.2,0,0,0,39.8,49.2,81,1.8,3.3,1.6,0.7,4.9,614.1,178.8,22,25.1,87.9,14.5,17.4,83.2,2.4,4.2,56.9,"DF,FW"
689,Nampalys Mendy,39.8,2024-2025,32,sn SEN,Lens,fr Ligue 1,10,588,6.5,7,3,15,0,0.2,0.2,0,0,0,0,39.8,44.4,89.7,0.2,5.2,0.3,0.2,4.3,625.3,164.7,21.7,22.8,95.3,13.3,14.8,89.7,3.2,4.1,77.8,MF
690,Arthur Chaves,39.8,2024-2025,23,br BRA,Hoffenheim,de Bundesliga,26,2185,24.3,24,2,2,0,0,0,0,0,0,0,39.8,48.5,82.1,0.2,2.7,0,0,2.3,680.4,228,15.6,17.1,90.9,20.6,22.9,90.1,2.3,5.6,40.4,DF
691,Johan Mojica,39.8,2024-2025,31,co COL,Mallorca,es La Liga,36,2755,30.6,30,6,1,0,0.1,0.1,0,0,0,0,39.8,53.6,74.2,1.3,3.3,1.7,1.1,4.2,703.7,303.9,20.1,22.8,88.4,14.3,18.4,77.8,4.8,9.3,51,DF
