Rk,Player,xG/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,xG/90,npxG,xAG,xG+xAG,xA,npxG+xAG,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Pos
1001,Iker Muñoz,0.1,2024-2025,21,es ESP,Osasuna,es La Liga,23,610,6.8,4,19,5,0,0.1,0.1,0,0,0,0,0.1,0.1,0.1,0.2,0.1,0.2,-0.1,-0.1,0,0.04,1.6,0,,0,0,23.8,0,MF
1002,Pedri,0.1,2024-2025,21,es ESP,Barcelona,es La Liga,37,2879,32,35,2,0,0.1,0.2,0.3,0.1,0,0,0,0.1,0.1,0.2,0.3,0.3,0.3,0.1,0.1,-0.1,0.09,0.8,0.16,0.36,0.3,44,19.6,0,MF
1003,Jorge Sáenz,0.1,2024-2025,27,es ESP,Leganés,es La Liga,23,1690,18.8,19,4,12,0.1,0,0.1,0.1,0,0,0,0.1,0.1,0,0.1,0,0.1,0,0,0,0.16,0.4,0.13,0.33,0.2,37.5,8.9,0,DF
1004,Luca Kerber,0.1,2024-2025,22,de GER,Heidenheim,de Bundesliga,23,783,8.7,7,16,9,0.2,0,0.2,0.2,0,0,0,0.1,0.1,0.1,0.2,0,0.2,0.2,0.2,-0.1,0.09,0.8,0.29,0.4,0.6,71.4,12,0,"MF,DF"
1005,Sepp van den Berg,0.1,2024-2025,22,nl NED,Brentford,eng Premier League,31,2586,28.7,29,2,1,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0.1,-0.1,-0.1,0,0.1,0.7,0,0,0.2,30,10.5,0,DF
1006,Marcos Senesi,0.1,2024-2025,27,ar ARG,Bournemouth,eng Premier League,17,1106,12.3,13,4,4,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0.1,-0.1,-0.1,0,0.28,0.2,0,,0,0,7.9,0,DF
1007,Antonio Sánchez,0.1,2024-2025,27,es ESP,Mallorca,es La Liga,33,1395,15.5,12,21,3,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.1,0.1,-0.1,-0.1,0,0.06,1.1,0,0,0.1,11.8,19.3,0,"MF,DF"
1008,Jon Moncayola,0.1,2024-2025,26,es ESP,Osasuna,es La Liga,32,2099,23.3,26,6,1,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0.2,0.2,-0.1,-0.1,-0.2,0.08,0.9,0,0,0.4,42.9,17.9,0,MF
1009,Ian Maatsen,0.1,2024-2025,22,nl NED,Aston Villa,eng Premier League,29,1139,12.7,10,19,8,0.1,0.2,0.2,0.1,0,0,0,0.1,0.1,0.2,0.3,0.2,0.3,0,0,-0.1,0.05,1.5,0.05,0.2,0.4,26.3,22.1,0,DF
1010,Sean Longstaff,0.1,2024-2025,26,eng ENG,Newcastle Utd,eng Premier League,25,798,8.9,8,17,13,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0.1,-0.1,-0.1,0,0.1,0.7,0,0,0.1,16.7,13.5,0,MF
1011,Konstantinos Mavropanos,0.1,2024-2025,26,gr GRE,West Ham,eng Premier League,33,2045,22.7,21,12,3,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0.1,-0.1,-0.1,0,0.09,0.8,0,0,0.2,27.8,14.8,0,DF
1012,Patrick Ciurria,0.1,2024-2025,29,it ITA,Monza,it Serie A,21,1111,12.3,12,9,8,0.1,0.1,0.2,0.1,0,0,0,0.1,0.1,0.2,0.3,0.1,0.3,0,0,-0.1,0.08,0.9,0.09,0.5,0.2,18.2,21,0,"MF,DF"
1013,Ismaily,0.1,2024-2025,34,br BRA,Lille,fr Ligue 1,16,904,10,10,6,5,0,0.1,0.1,0,0,0,0,0.1,0.1,0.1,0.2,0.1,0.2,-0.1,-0.1,0,0.07,1,0,0,0.4,40,18.5,0,DF
1014,William Saliba,0.1,2024-2025,23,fr FRA,Arsenal,eng Premier League,35,3039,33.8,35,0,0,0.1,0,0.1,0.1,0,0,0,0.1,0.1,0,0.1,0,0.1,0,0,0,0.38,0.2,0.33,1,0.1,33.3,5.4,0,DF
1015,Nahuel Tenaglia,0.1,2024-2025,28,ar ARG,Alavés,es La Liga,34,2922,32.5,33,1,1,0.1,0,0.1,0.1,0,0,0,0.1,0.1,0,0.1,0,0.1,0,0,0,0.08,0.8,0.07,0.25,0.2,29.6,15.5,0,DF
1016,Sergi Darder,0.1,2024-2025,30,es ESP,Mallorca,es La Liga,38,2744,30.5,34,4,0,0.1,0.2,0.3,0.1,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0,0,0.1,0.06,1.2,0.06,0.22,0.3,25,24.2,0,"MF,FW"
1017,Antonio Rüdiger,0.1,2024-2025,31,de GER,Real Madrid,es La Liga,29,2291,25.5,26,3,1,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0.1,-0.1,-0.1,0,0.07,0.9,0,0,0.2,16.7,18,0,DF
1018,Eric Dier,0.1,2024-2025,30,eng ENG,Bayern Munich,de Bundesliga,21,1463,16.3,16,5,13,0.1,0.1,0.2,0.1,0,0,0,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.12,0.6,0.22,0.4,0.3,55.6,6.3,0,DF
1019,Lisandro Martínez,0.1,2024-2025,26,ar ARG,Manchester Utd,eng Premier League,20,1751,19.5,20,0,2,0.1,0.1,0.2,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.08,0.9,0.12,0.33,0.3,35.3,15.9,0,DF
1020,Mats Wieffer,0.1,2024-2025,24,nl NED,Brighton,eng Premier League,25,1015,11.3,10,15,3,0.1,0.3,0.4,0.1,0,0,0,0.1,0.1,0.1,0.2,0.1,0.2,0,0,0.1,0.08,0.8,0.11,0.25,0.4,44.4,13.2,0,"DF,MF"
1021,Baptiste Santamaria,0.1,2024-2025,29,fr FRA,2 Teams,fr Ligue 1,23,1409,15.7,16,7,9,0,0.1,0.1,0,0,0,0,0.1,0.1,0.1,0.1,0,0.1,-0.1,-0.1,0,0.05,1.3,0,0,0.3,20,20.5,0,MF
1022,Fali Candé,0.1,2024-2025,26,gw GNB,Venezia,it Serie A,17,1530,17,17,0,0,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0,0.1,0,0.1,0,0,0,0.23,0.3,0.2,0.5,0.1,40,11.7,0.1,DF
1023,Manuel Fuster,0.1,2024-2025,26,es ESP,Las Palmas,es La Liga,28,1003,11.1,8,20,10,0.2,0.1,0.3,0.2,0,0,0,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1,-0.1,0.04,1.6,0.11,0.29,0.6,38.9,23.2,0,"FW,MF"
1024,Daniel Vivian,0.1,2024-2025,25,es ESP,Athletic Club,es La Liga,32,2608,29,28,4,3,0.1,0,0.1,0.1,0,0,0,0.1,0.1,0,0.1,0,0.1,0.1,0.1,0,0.11,0.6,0.22,0.8,0.2,27.8,13.8,0,DF
1025,Tyrone Mings,0.1,2024-2025,31,eng ENG,Aston Villa,eng Premier League,14,1120,12.4,12,2,13,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0.1,-0.1,-0.1,0,0.09,0.7,0,0,0.1,11.1,11.8,0,DF
1026,Niklas Dorsch,0.1,2024-2025,26,de GER,2 Teams,de Bundesliga,23,1367,15.2,19,4,1,0.1,0.1,0.3,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.6,0.22,0.67,0.2,33.3,23,0.1,MF
