Rk,Player,Tkl/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Tkl/90,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Pos
1601,Cédric Bakambu,0.8,2024-2025,33,cd COD,Betis,es La Liga,25,710,7.9,6,19,7,0.3,0.3,0.5,0.3,0,0,0,0.8,0.5,0,0.6,0.1,0.4,0.9,42.9,0.5,1.6,0.3,1.4,0,0.8,0.6,0,FW
1602,Keinan Davis,0.8,2024-2025,26,eng ENG,Udinese,it Serie A,23,1066,11.8,10,13,2,0.2,0.1,0.3,0.2,0,0,0,0.8,0.3,0.1,0.3,0.3,0.3,0.5,50,0.3,0.2,0.1,0.1,0.1,0.8,0.4,0,FW
1603,Raúl Albiol,0.8,2024-2025,38,es ESP,Villarreal,es La Liga,15,1188,13.2,14,1,13,0,0,0,0,0,0,0,0.8,0.7,0.7,0.1,0,0.5,0.8,60,0.3,0.8,0.7,0.1,0.5,1.2,5.2,0.1,DF
1604,Marcos André,0.8,2024-2025,27,br BRA,Valladolid,es La Liga,22,1188,13.2,14,8,13,0.1,0.2,0.2,0.1,0,0,0,0.8,0.5,0.2,0.4,0.2,0.4,1,38.5,0.6,1.4,0.2,1.2,0.2,1,0.8,0,FW
1605,Irvin Cardona,0.8,2024-2025,26,mt MLT,2 Teams,2 Comps,31,1669,18.5,18,13,2,0.3,0.2,0.5,0.3,0,0.1,0.1,0.8,0.5,0.3,0.4,0.1,0.4,1.6,26.7,1.2,1.1,0.2,0.9,0.4,1.2,0.9,0.1,"FW,MF"
1606,Yorbe Vertessen,0.8,2024-2025,23,be BEL,Union Berlin,de Bundesliga,17,718,8,7,10,1,0.1,0,0.1,0.1,0,0,0,0.8,0.4,0.4,0.3,0.1,0.3,1,25,0.8,0.8,0,0.8,0.4,1.1,0.8,0,"MF,FW"
1607,Cristhian Stuani,0.8,2024-2025,37,uy URU,Girona,es La Liga,32,1078,12,6,26,6,0.9,0.2,1.1,0.7,0.3,0.3,0,0.8,0.6,0.1,0.6,0.1,0.4,0.7,62.5,0.3,0.3,0.1,0.3,0.6,1.3,0.9,0,FW
1608,Tijjani Reijnders,0.7,2024-2025,26,nl NED,Milan,it Serie A,37,3128,34.8,36,1,0,0.3,0.1,0.4,0.3,0,0,0,0.7,0.4,0.2,0.4,0.2,0.3,0.7,38.5,0.5,0.6,0.1,0.5,1.1,1.8,0.8,0.1,MF
1609,Rayan Raveloson,0.7,2024-2025,27,mg MAD,Auxerre,fr Ligue 1,13,724,8,7,6,3,0.1,0,0.1,0.1,0,0,0,0.7,0.6,0.2,0.5,0,0.6,1.9,33.3,1.2,1,0.9,0.1,0.6,1.4,2.7,0,"MF,DF"
1610,Aitor Paredes,0.7,2024-2025,24,es ESP,Athletic Club,es La Liga,23,1812,20.1,21,2,11,0.1,0,0.1,0.1,0,0,0,0.7,0.6,0.5,0.2,0,0.4,0.7,53.3,0.3,1.3,0.7,0.5,1.1,1.8,5.7,0.2,DF
1611,João Pedro,0.7,2024-2025,22,br BRA,Brighton,eng Premier League,27,1948,21.6,23,4,0,0.5,0.3,0.7,0.2,0.2,0.2,0,0.7,0.6,0.3,0.3,0.2,0.2,0.5,36.4,0.3,0.6,0,0.6,0.4,1.2,0.6,0,"FW,MF"
1612,Iker Muñoz,0.7,2024-2025,21,es ESP,Osasuna,es La Liga,23,610,6.8,4,19,5,0,0.1,0.1,0,0,0,0,0.7,0.3,0.4,0.3,0,0.4,1.3,33.3,0.9,1.3,0.3,1,0.6,1.3,1.8,0.1,MF
1613,Etienne Youte Kinkoue,0.7,2024-2025,22,fr FRA,Le Havre,fr Ligue 1,28,2320,25.8,26,2,1,0,0,0,0,0,0,0,0.7,0.4,0.4,0.3,0,0.5,0.8,65,0.3,1.4,0.9,0.5,1.1,1.9,6.1,0.1,DF
1614,Dominic Solanke,0.7,2024-2025,26,eng ENG,Tottenham,eng Premier League,27,2201,24.5,25,2,1,0.4,0.1,0.5,0.3,0,0,0,0.7,0.4,0,0.5,0.2,0.2,0.7,25,0.5,0.8,0.4,0.4,0,0.8,0.9,0,FW
1615,Martin Ødegaard,0.7,2024-2025,25,no NOR,Arsenal,eng Premier League,30,2325,25.8,26,4,0,0.1,0.3,0.4,0.1,0,0,0,0.7,0.4,0.3,0.3,0.1,0.2,1,16,0.8,0.2,0,0.2,0.2,1,0.2,0,MF
1616,Oliver McBurnie,0.7,2024-2025,28,sct SCO,Las Palmas,es La Liga,34,1837,20.4,20,14,4,0.1,0.3,0.4,0.1,0,0,0,0.7,0.3,0.2,0.4,0.1,0.2,0.6,41.7,0.3,0.7,0.2,0.5,0.3,1,1.2,0,FW
1617,Lewis Dunk,0.7,2024-2025,32,eng ENG,Brighton,eng Premier League,25,2083,23.1,23,2,2,0,0,0,0,0,0,0,0.7,0.4,0.3,0.3,0.1,0.5,0.8,57.9,0.3,1.2,0.8,0.4,0.6,1.3,3.4,0.1,DF
1618,Edimilson Fernandes,0.7,2024-2025,28,ch SUI,Brest,fr Ligue 1,19,1105,12.3,12,7,8,0,0.1,0.1,0,0,0,0,0.7,0.6,0.2,0.5,0,0.6,1.1,53.8,0.5,1.1,0.5,0.7,1.6,2.4,3.1,0.1,"MF,DF"
1619,Ismaila Sarr,0.7,2024-2025,26,sn SEN,Crystal Palace,eng Premier League,38,2711,30.1,30,8,0,0.3,0.2,0.5,0.3,0,0,0,0.7,0.3,0.3,0.3,0.1,0.3,0.8,32,0.6,0.9,0.3,0.6,0.3,1,1.3,0,MF
1620,Jakov Medi?,0.7,2024-2025,25,hr CRO,Bochum,de Bundesliga,23,1603,17.8,17,6,10,0.1,0,0.1,0.1,0,0,0,0.7,0.6,0.5,0.2,0.1,0.4,1,44.4,0.6,1.8,1.2,0.6,1.2,2,6.2,0.2,DF
1621,Marco Asensio,0.7,2024-2025,28,es ESP,2 Teams,2 Comps,25,1361,15.1,17,8,6,0.3,0.3,0.7,0.3,0,0.1,0.1,0.7,0.5,0.1,0.7,0,0.2,1,20,0.8,0.5,0.1,0.5,0.1,0.9,0.3,0,MF
1622,Son Heung-min,0.7,2024-2025,32,kr KOR,Tottenham,eng Premier League,30,2110,23.4,24,6,0,0.3,0.4,0.7,0.3,0,0.1,0,0.7,0.4,0.1,0.3,0.3,0.2,1.2,18.5,0.9,0.5,0,0.5,0.2,0.9,0.7,0,FW
1623,Bojan Miovski,0.7,2024-2025,25,mk MKD,Girona,es La Liga,17,869,9.7,12,5,13,0.2,0.1,0.3,0.2,0,0,0,0.7,0.5,0.2,0.2,0.3,0.2,0.7,28.6,0.5,0.4,0,0.4,0.2,0.9,0.7,0,FW
1624,Oihan Sancet,0.7,2024-2025,24,es ESP,Athletic Club,es La Liga,29,1620,18,19,10,1,0.8,0.1,0.9,0.7,0.2,0.2,0,0.7,0.4,0.3,0.3,0.1,0.3,0.8,35.7,0.5,0.6,0,0.6,0.3,1,0.3,0,MF
1625,Mohamed Ali Cho,0.7,2024-2025,20,fr FRA,Nice,fr Ligue 1,27,1621,18,21,6,2,0.2,0.2,0.4,0.2,0,0,0,0.7,0.5,0.2,0.3,0.2,0.2,0.7,33.3,0.4,0.9,0.1,0.9,0.3,1,0.4,0,"FW,MF"
1626,Daniel Mosquera,0.7,2024-2025,24,co COL,Hellas Verona,it Serie A,35,1375,15.3,12,23,2,0.3,0.1,0.4,0.3,0,0,0,0.7,0.5,0.2,0.3,0.2,0.1,1,6.7,0.9,0.7,0.1,0.7,0.1,0.9,0.7,0,FW
1627,Radu Dr?gu?in,0.7,2024-2025,22,ro ROU,Tottenham,eng Premier League,16,1252,13.9,14,2,7,0,0,0,0,0,0,0,0.7,0.4,0.6,0.1,0,0.4,0.9,50,0.4,1.6,1.2,0.4,1.1,1.8,3.5,0.3,DF
1628,Christian Gytkjær,0.7,2024-2025,34,dk DEN,Venezia,it Serie A,29,754,8.4,6,23,9,0.2,0.1,0.4,0.1,0.1,0.1,0,0.7,0.5,0.2,0.2,0.2,0.1,0.2,50,0.1,0.4,0.1,0.2,0,0.7,1,0,FW
1629,Philipp Lienhart,0.7,2024-2025,28,at AUT,Freiburg,de Bundesliga,32,2770,30.8,31,1,0,0,0,0,0,0,0,0,0.7,0.4,0.4,0.3,0,0.5,1,48.4,0.5,1,0.6,0.4,1.2,1.9,4,0.1,DF
1630,Sergio Camello,0.7,2024-2025,23,es ESP,Rayo Vallecano,es La Liga,23,1134,12.6,14,9,2,0.2,0.2,0.4,0.2,0,0,0,0.7,0.2,0.2,0.4,0.2,0.3,0.5,66.7,0.2,0.6,0.1,0.6,0.3,1,1.3,0,FW
1631,Zuriko Davitashvili,0.7,2024-2025,23,ge GEO,Saint-Étienne,fr Ligue 1,33,2778,30.9,32,1,0,0.3,0.3,0.6,0.2,0.1,0.1,0,0.7,0.5,0.3,0.2,0.2,0.5,1.6,30.6,1.1,0.6,0,0.6,0.5,1.2,0.5,0,"FW,MF"
1632,Jeong Woo-yeong,0.7,2024-2025,24,kr KOR,Union Berlin,de Bundesliga,23,1263,14,17,6,0,0.2,0.1,0.4,0.2,0,0,0,0.7,0.5,0.4,0.4,0,0.2,0.8,27.3,0.6,0.7,0.1,0.6,0.8,1.5,0.8,0,"MF,FW"
1633,Alejandro Balde,0.7,2024-2025,20,es ESP,Barcelona,es La Liga,32,2284,25.4,26,6,3,0,0.2,0.2,0,0,0,0,0.7,0.4,0.4,0.2,0.1,0.4,0.7,64.7,0.2,0.9,0.2,0.7,0.2,0.9,1.1,0,DF
1634,Marcus Thuram,0.7,2024-2025,26,fr FRA,Inter,it Serie A,32,2290,25.4,27,5,3,0.6,0.2,0.7,0.6,0,0,0,0.7,0.4,0.3,0.2,0.2,0.1,0.6,21.4,0.4,0.6,0.1,0.5,0.1,0.8,0.6,0,FW
1635,Santiago Castro,0.7,2024-2025,19,ar ARG,Bologna,it Serie A,36,2294,25.5,27,9,1,0.3,0.2,0.5,0.3,0,0,0,0.7,0.4,0.2,0.4,0.2,0.2,0.7,35.3,0.4,0.5,0.1,0.4,0.1,0.8,0.8,0,FW
1636,Darwin Machís,0.7,2024-2025,31,ve VEN,Valladolid,es La Liga,18,639,7.1,7,11,12,0,0.1,0.1,0,0,0,0,0.7,0.6,0.4,0.3,0,0.4,1.3,33.3,0.8,0.4,0,0.4,0.7,1.4,1.8,0,"MF,FW"
1637,Patrick Cutrone,0.7,2024-2025,26,it ITA,Como,it Serie A,33,2047,22.7,23,10,5,0.3,0.2,0.5,0.3,0,0,0,0.7,0.5,0,0.4,0.3,0.3,0.6,50,0.3,0.5,0,0.5,0.2,0.9,0.3,0,FW
1638,Adrien Tameze,0.7,2024-2025,30,cm CMR,Torino,it Serie A,20,649,7.2,9,11,14,0,0,0,0,0,0,0,0.7,0.3,0.3,0.4,0,0.1,1.4,10,1.2,1.1,0.7,0.4,1.4,2.1,1.1,0.1,"MF,DF"
