Rk,Player,Gls/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls/90,Ast,G+A,G-PK,PK,PKatt,PKm,Pos
1601,Magnus Knudsen,0,2024-2025,23,no NOR,Holstein Kiel,de Bundesliga,31,1850,20.6,22,9,2,0,0,0,0,0,0,0,MF
1602,Djené,0,2024-2025,32,tg TOG,Getafe,es La Liga,31,2548,28.3,31,0,1,0,0,0,0,0,0,0,"DF,MF"
1603,Javi Galán,0,2024-2025,29,es ESP,Atlético Madrid,es La Liga,25,1784,19.8,21,4,11,0,0.2,0.2,0,0,0,0,DF
1604,Hamari Traoré,0,2024-2025,32,ml MLI,Real Sociedad,es La Liga,11,700,7.8,9,2,6,0,0.1,0.1,0,0,0,0,DF
1605,Igor,0,2024-2025,26,br BRA,Brighton,eng Premier League,13,961,10.7,10,3,10,0,0,0,0,0,0,0,DF
1606,Juan Cruz Armada,0,2024-2025,32,es ESP,Osasuna,es La Liga,25,1492,16.6,19,6,12,0,0,0,0,0,0,0,DF
1607,Miloš Veljkovi?,0,2024-2025,28,rs SRB,Werder Bremen,de Bundesliga,14,1029,11.4,11,3,4,0,0.1,0.1,0,0,0,0,DF
1608,Nuno Tavares,0,2024-2025,24,pt POR,Lazio,it Serie A,23,1686,18.7,22,1,3,0,0.4,0.4,0,0,0,0,DF
1609,Issa Diop,0,2024-2025,27,fr FRA,Fulham,eng Premier League,21,1339,14.9,15,6,9,0,0,0,0,0,0,0,DF
1610,Edmond Tapsoba,0,2024-2025,25,bf BFA,Leverkusen,de Bundesliga,29,2507,27.9,29,0,2,0,0,0,0,0,0,0,DF
1611,João Palhinha,0,2024-2025,29,pt POR,Bayern Munich,de Bundesliga,17,673,7.5,6,11,6,0,0,0,0,0,0,0,MF
1612,Welington,0,2024-2025,23,br BRA,Southampton,eng Premier League,10,482,5.4,6,4,3,0,0,0,0,0,0,0,DF
1613,Kristoffer Ajer,0,2024-2025,26,no NOR,Brentford,eng Premier League,24,1438,16,17,7,2,0,0,0,0,0,0,0,DF
1614,Kristijan Jaki?,0,2024-2025,27,hr CRO,Augsburg,de Bundesliga,31,2306,25.6,27,4,0,0,0,0,0,0,0,0,MF
1615,Mario Martín,0,2024-2025,20,es ESP,Valladolid,es La Liga,30,1748,19.4,20,10,3,0,0.1,0.1,0,0,0,0,MF
1616,Giorgio Altare,0,2024-2025,25,it ITA,Venezia,it Serie A,12,753,8.4,8,4,4,0,0,0,0,0,0,0,DF
1617,Pablo Marí,0,2024-2025,30,es ESP,2 Teams,it Serie A,32,2726,30.3,31,1,1,0,0,0,0,0,0,0,DF
1618,Niklas Stark,0,2024-2025,29,de GER,Werder Bremen,de Bundesliga,26,2106,23.4,25,1,1,0,0,0,0,0,0,0,DF
1619,Arne Maier,0,2024-2025,25,de GER,Augsburg,de Bundesliga,28,938,10.4,7,21,4,0,0,0,0,0,0,0,MF
1620,Mory Gbane,0,2024-2025,23,ci CIV,Reims,fr Ligue 1,13,1125,12.5,13,0,0,0,0.1,0.1,0,0,0,0,"DF,MF"
1621,Oussama Targhalline,0,2024-2025,22,ma MAR,Le Havre,fr Ligue 1,14,990,11,12,2,1,0,0,0,0,0,0,0,MF
1622,Gerard Gumbau,0,2024-2025,29,es ESP,Rayo Vallecano,es La Liga,22,849,9.4,7,15,15,0,0.1,0.1,0,0,0,0,MF
1623,Boubakary Soumaré,0,2024-2025,25,fr FRA,Leicester City,eng Premier League,31,2171,24.1,25,6,4,0,0,0,0,0,0,0,MF
1624,Matteo Ruggeri,0,2024-2025,22,it ITA,Atalanta,it Serie A,30,1751,19.5,19,11,6,0,0.2,0.2,0,0,0,0,DF
1625,Borna Sosa,0,2024-2025,26,hr CRO,Torino,it Serie A,19,1181,13.1,14,5,9,0,0,0,0,0,0,0,DF
1626,Antoniu,0,2024-2025,21,es ESP,Espanyol,es La Liga,26,1022,11.4,13,13,9,0,0.1,0.1,0,0,0,0,"FW,MF"
1627,Valentino Livramento,0,2024-2025,21,eng ENG,Newcastle Utd,eng Premier League,37,2840,31.6,32,5,0,0,0,0,0,0,0,0,DF
1628,Christopher Wooh,0,2024-2025,22,cm CMR,Rennes,fr Ligue 1,20,1456,16.2,17,3,11,0,0,0,0,0,0,0,DF
1629,José Luis Gayà,0,2024-2025,29,es ESP,Valencia,es La Liga,23,1803,20,22,1,1,0,0,0,0,0,0,0,DF
1630,Mikel Vesga,0,2024-2025,31,es ESP,Athletic Club,es La Liga,25,988,11,10,15,10,0,0,0,0,0,0.1,0.1,MF
1631,Jonathan Bamba,0,2024-2025,28,ci CIV,Celta Vigo,es La Liga,12,811,9,10,2,4,0,0.1,0.1,0,0,0,0,"FW,MF"
1632,Mikayil Ngor Faye,0,2024-2025,20,sn SEN,Rennes,fr Ligue 1,11,688,7.6,7,4,11,0,0,0,0,0,0,0,DF
1633,Wes Burns,0,2024-2025,29,wls WAL,Ipswich Town,eng Premier League,18,926,10.3,12,6,3,0,0.1,0.1,0,0,0,0,"FW,DF"
1634,Raheem Sterling,0,2024-2025,29,eng ENG,Arsenal,eng Premier League,17,499,5.5,7,10,12,0,0.4,0.4,0,0,0,0,"FW,MF"
1635,Aurélio Buta,0,2024-2025,27,pt POR,Reims,fr Ligue 1,27,1970,21.9,24,3,4,0,0,0,0,0,0,0,DF
1636,Jailson Siqueira,0,2024-2025,28,br BRA,Celta Vigo,es La Liga,13,614,6.8,6,7,10,0,0,0,0,0,0,0,"DF,MF"
1637,Diego Carlos,0,2024-2025,31,br BRA,Aston Villa,eng Premier League,10,830,9.2,8,2,7,0,0,0,0,0,0,0,DF
1638,Yunus Musah,0,2024-2025,21,us USA,Milan,it Serie A,29,1571,17.5,19,10,5,0,0.1,0.1,0,0,0,0,"MF,FW"
1639,Dodô,0,2024-2025,25,br BRA,Fiorentina,it Serie A,35,3115,34.6,35,0,0,0,0.1,0.1,0,0,0,0,DF
1640,Yuri Berchiche,0,2024-2025,34,es ESP,Athletic Club,es La Liga,30,2044,22.7,22,8,5,0,0.1,0.1,0,0,0,0,DF
1641,Noussair Mazraoui,0,2024-2025,26,ma MAR,Manchester Utd,eng Premier League,37,2838,31.5,34,3,0,0,0,0,0,0,0,0,DF
1642,Issa Doumbia,0,2024-2025,20,it ITA,Venezia,it Serie A,24,939,10.4,10,14,12,0,0,0,0,0,0,0,MF
1643,Marvin Friedrich,0,2024-2025,28,de GER,Gladbach,de Bundesliga,22,989,11,9,13,9,0,0.1,0.1,0,0,0,0,DF
1644,Luis Pérez,0,2024-2025,29,es ESP,Valladolid,es La Liga,30,2558,28.4,28,2,4,0,0,0,0,0,0,0,DF
1645,Ryan Gravenberch,0,2024-2025,22,nl NED,Liverpool,eng Premier League,37,3160,35.1,37,0,0,0,0.1,0.1,0,0,0,0,MF
1646,Martin Frese,0,2024-2025,26,dk DEN,Hellas Verona,it Serie A,11,549,6.1,5,6,3,0,0,0,0,0,0,0,DF
1647,Francesco Acerbi,0,2024-2025,36,it ITA,Inter,it Serie A,23,1710,19,20,3,7,0,0.1,0.1,0,0,0,0,DF
1648,Valentín Barco,0,2024-2025,20,ar ARG,3 Teams,3 Comps,21,1445,16.1,17,4,8,0,0.1,0.1,0,0,0,0,"DF,MF"
1649,Nicolas Pays,0,2024-2025,20,fr FRA,Montpellier,fr Ligue 1,9,447,5,4,5,2,0,0,0,0,0,0,0,"FW,MF"
1650,Ngal'Ayel Mukau,0,2024-2025,19,cd COD,Lille,fr Ligue 1,22,1190,13.2,14,8,7,0,0.1,0.1,0,0,0,0,MF
1651,Rafik Messali,0,2024-2025,21,fr FRA,Toulouse,fr Ligue 1,13,456,5.1,5,8,14,0,0.2,0.2,0,0,0,0,DF
1652,Conor Bradley,0,2024-2025,21,nir NIR,Liverpool,eng Premier League,19,754,8.4,7,12,6,0,0.2,0.2,0,0,0,0,DF
1653,Sergi Gómez,0,2024-2025,32,es ESP,Espanyol,es La Liga,12,664,7.4,6,6,25,0,0,0,0,0,0,0,DF
1654,Lamare Bogarde,0,2024-2025,20,nl NED,Aston Villa,eng Premier League,8,476,5.3,5,3,14,0,0,0,0,0,0,0,"DF,MF"
1655,Ibrahim Sangaré,0,2024-2025,26,ci CIV,Nott'ham Forest,eng Premier League,13,590,6.6,7,6,5,0,0.2,0.2,0,0,0,0,MF
1656,Abdul Fatawu Issahaku,0,2024-2025,20,gh GHA,Leicester City,eng Premier League,11,579,6.4,6,5,0,0,0.3,0.3,0,0,0,0,FW
1657,Unai Núñez,0,2024-2025,27,es ESP,Athletic Club,es La Liga,10,645,7.2,7,3,23,0,0,0,0,0,0,0,DF
1658,Woyo Coulibaly,0,2024-2025,25,ml MLI,2 Teams,2 Comps,18,1193,13.3,13,5,9,0,0.1,0.1,0,0,0,0,DF
1659,Mohamed Abdelmoneim,0,2024-2025,25,eg EGY,Nice,fr Ligue 1,12,855,9.5,10,2,12,0,0,0,0,0,0,0,DF
1660,Dani Ceballos,0,2024-2025,27,es ESP,Real Madrid,es La Liga,23,1215,13.5,15,8,6,0,0,0,0,0,0,0,MF
1661,James Bree,0,2024-2025,26,eng ENG,Southampton,eng Premier League,17,1075,11.9,13,4,15,0,0.1,0.1,0,0,0,0,DF
1662,Jarrad Branthwaite,0,2024-2025,22,eng ENG,Everton,eng Premier League,30,2511,27.9,28,2,0,0,0,0,0,0,0,0,DF
1663,Reinildo Mandava,0,2024-2025,30,mz MOZ,Atlético Madrid,es La Liga,19,941,10.5,10,9,19,0,0,0,0,0,0,0,DF
1664,Balthazar Pierret,0,2024-2025,24,fr FRA,Lecce,it Serie A,30,1723,19.1,21,9,2,0,0,0,0,0,0,0,MF
1665,Becir Omeragic,0,2024-2025,22,ch SUI,Montpellier,fr Ligue 1,22,1799,20,21,1,1,0,0,0,0,0,0,0,DF
1666,Moïse Bombito,0,2024-2025,24,ca CAN,Nice,fr Ligue 1,27,2192,24.4,25,2,0,0,0,0,0,0,0,0,DF
1667,Yoann Salmier,0,2024-2025,31,gf GUF,Le Havre,fr Ligue 1,13,797,8.9,9,4,6,0,0,0,0,0,0,0,DF
