Rk,Player,xG/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,xG/90,npxG,xAG,xG+xAG,xA,npxG+xAG,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Pos
201,Lucas Stassin,0.3,2024-2025,19,be BEL,Saint-Étienne,fr Ligue 1,28,1887,21,23,5,0,0.6,0.2,0.8,0.6,0,0,0,0.3,0.3,0.2,0.5,0.1,0.5,0.1,0.1,0,0.18,2.1,0.27,0.52,1.1,52.3,14.1,0,FW
202,Ange-Yoan Bonny,0.3,2024-2025,20,fr FRA,Parma,it Serie A,37,2529,28.1,30,7,0,0.2,0.1,0.4,0.1,0.1,0.1,0,0.3,0.3,0.1,0.4,0.1,0.4,-0.1,-0.1,0,0.12,2.2,0.07,0.21,0.7,31.1,16.7,0,FW
203,Mikel Merino,0.3,2024-2025,28,es ESP,Arsenal,eng Premier League,28,1586,17.6,17,11,0,0.4,0.1,0.5,0.4,0,0,0,0.3,0.3,0.1,0.4,0.1,0.4,0.1,0.1,0,0.16,2.2,0.18,0.54,0.7,34.2,10.7,0,"MF,FW"
204,Giorgos Masouras,0.3,2024-2025,30,gr GRE,Bochum,de Bundesliga,14,1055,11.7,12,2,0,0.2,0.1,0.3,0.2,0,0,0,0.3,0.3,0.1,0.4,0.1,0.4,-0.2,-0.2,0,0.13,2.6,0.07,0.13,1.3,50,14.5,0.1,"FW,MF"
205,Romain Del Castillo,0.3,2024-2025,28,fr FRA,Brest,fr Ligue 1,26,1259,14,14,12,0,0.4,0.3,0.7,0.2,0.2,0.3,0.1,0.3,0.1,0.2,0.6,0.3,0.4,0.1,0.1,0,0.09,1.2,0.18,0.38,0.6,47.1,19.7,0,FW
206,Armindo Sieb,0.3,2024-2025,21,de GER,Mainz 05,de Bundesliga,27,762,8.5,5,22,7,0.2,0.2,0.5,0.2,0,0,0,0.3,0.3,0.1,0.5,0.1,0.5,-0.1,-0.1,0.1,0.1,3.4,0.07,0.29,0.8,24.1,16.3,0,"FW,MF"
207,Thijs Dallinga,0.3,2024-2025,23,nl NED,Bologna,it Serie A,31,1154,12.8,11,20,7,0.2,0.2,0.4,0.2,0,0,0,0.3,0.3,0,0.4,0.1,0.4,-0.1,-0.1,0.1,0.14,2.4,0.1,0.27,0.9,35.5,11.6,0,FW
208,Loïs Openda,0.3,2024-2025,24,be BEL,RB Leipzig,de Bundesliga,33,2453,27.3,28,5,0,0.3,0.2,0.5,0.3,0,0,0,0.3,0.3,0.1,0.5,0.1,0.4,0,0,0.1,0.11,2.8,0.12,0.29,1.1,40.3,16.8,0.1,"FW,MF"
209,Cody Gakpo,0.3,2024-2025,25,nl NED,Liverpool,eng Premier League,35,1935,21.5,23,12,0,0.5,0.2,0.7,0.5,0,0,0,0.3,0.3,0.2,0.5,0.2,0.5,0.1,0.1,0,0.12,2.7,0.18,0.45,1,38.6,15.1,0,FW
210,Giacomo Raspadori,0.3,2024-2025,24,it ITA,Napoli,it Serie A,26,1103,12.3,11,15,12,0.5,0.1,0.6,0.5,0,0,0,0.3,0.3,0.2,0.5,0.2,0.5,0.2,0.2,-0.1,0.1,3.4,0.14,0.43,1.1,33.3,16,0.2,"FW,MF"
211,Gorka Guruzeta,0.3,2024-2025,27,es ESP,Athletic Club,es La Liga,36,1840,20.4,21,15,1,0.3,0.1,0.4,0.3,0,0,0,0.3,0.3,0.1,0.4,0,0.4,0,0,0,0.11,2.9,0.12,0.37,0.9,32.2,13.6,0,FW
212,Phillip Tietz,0.3,2024-2025,27,de GER,Augsburg,de Bundesliga,34,1686,18.7,19,15,0,0.4,0.1,0.5,0.3,0.1,0.1,0,0.3,0.3,0.1,0.4,0.1,0.3,0,0,0,0.1,2.7,0.12,0.32,1,37.3,16.3,0.2,FW
213,Harry Wilson,0.3,2024-2025,27,wls WAL,Fulham,eng Premier League,25,1162,12.9,12,13,3,0.5,0.1,0.5,0.5,0,0,0,0.3,0.3,0.1,0.4,0.1,0.4,0.1,0.1,0,0.1,3.3,0.14,0.35,1.3,39.5,18,0.1,"FW,MF"
214,Liam Delap,0.3,2024-2025,21,eng ENG,Ipswich Town,eng Premier League,37,2593,28.8,32,5,0,0.4,0.1,0.5,0.3,0.1,0.1,0,0.3,0.3,0.1,0.4,0,0.3,0.1,0.1,0,0.12,2.3,0.15,0.34,1,43.9,16,0,FW
215,Bryan Mbeumo,0.3,2024-2025,24,cm CMR,Brentford,eng Premier League,38,3414,37.9,38,0,0,0.5,0.2,0.7,0.4,0.1,0.2,0,0.3,0.2,0.2,0.5,0.2,0.4,0.2,0.2,0,0.1,2.1,0.19,0.44,0.9,43,17.9,0.2,FW
