Rk,Player,Gls/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls/90,Ast,G+A,G-PK,PK,PKatt,PKm,Pos
1001,Mateus Fernandes,0.1,2024-2025,20,pt POR,Southampton,eng Premier League,36,2909,32.3,34,2,0,0.1,0.1,0.2,0.1,0,0,0,MF
1002,Mikkel Damsgaard,0.1,2024-2025,24,dk DEN,Brentford,eng Premier League,38,2911,32.3,34,4,0,0.1,0.3,0.4,0.1,0,0,0,"MF,FW"
1003,James Justin,0.1,2024-2025,26,eng ENG,Leicester City,eng Premier League,36,2912,32.4,34,2,1,0.1,0.1,0.1,0.1,0,0,0,DF
1004,Nahuel Tenaglia,0.1,2024-2025,28,ar ARG,Alavés,es La Liga,34,2922,32.5,33,1,1,0.1,0,0.1,0.1,0,0,0,DF
1005,Diego Coppola,0.1,2024-2025,20,it ITA,Hellas Verona,it Serie A,34,2927,32.5,33,1,1,0.1,0,0.1,0.1,0,0,0,DF
1006,Ezri Konsa,0.1,2024-2025,26,eng ENG,Aston Villa,eng Premier League,34,2936,32.6,33,1,1,0.1,0,0.1,0.1,0,0,0,DF
1007,Milan Badelj,0.1,2024-2025,35,hr CRO,Genoa,it Serie A,23,1472,16.4,21,2,11,0.1,0,0.1,0.1,0,0,0,MF
1008,Sergi,0.1,2024-2025,32,es ESP,Leganés,es La Liga,36,2957,32.9,33,3,1,0.1,0,0.1,0.1,0,0,0,DF
1009,Martín Zubimendi,0.1,2024-2025,25,es ESP,Real Sociedad,es La Liga,36,2962,32.9,33,3,0,0.1,0,0.1,0.1,0,0,0,MF
1010,Nnamdi Collins,0.1,2024-2025,20,de GER,Eint Frankfurt,de Bundesliga,24,1489,16.5,15,9,7,0.1,0.1,0.1,0.1,0,0,0,DF
1011,Casemiro,0.1,2024-2025,32,br BRA,Manchester Utd,eng Premier League,24,1494,16.6,18,6,14,0.1,0,0.1,0.1,0,0,0,MF
1012,Ola Aina,0.1,2024-2025,27,ng NGA,Nott'ham Forest,eng Premier League,35,2995,33.3,35,0,0,0.1,0,0.1,0.1,0,0,0,DF
1013,César Tárrega,0.1,2024-2025,22,es ESP,Valencia,es La Liga,34,3026,33.6,34,0,3,0.1,0,0.1,0.1,0,0,0,DF
1014,Leonardo Spinazzola,0.1,2024-2025,31,it ITA,Napoli,it Serie A,27,1517,16.9,17,10,6,0.1,0.1,0.1,0.1,0,0,0,"DF,FW"
1015,Juan Foyth,0.1,2024-2025,26,ar ARG,Villarreal,es La Liga,19,1517,16.9,17,2,2,0.1,0,0.1,0.1,0,0,0,DF
1016,Yannick Gerhardt,0.1,2024-2025,30,de GER,Wolfsburg,de Bundesliga,29,1518,16.9,15,14,2,0.1,0.1,0.1,0.1,0,0,0,"MF,DF"
1017,William Saliba,0.1,2024-2025,23,fr FRA,Arsenal,eng Premier League,35,3039,33.8,35,0,0,0.1,0,0.1,0.1,0,0,0,DF
1018,Alessio Zerbin,0.1,2024-2025,25,it ITA,2 Teams,it Serie A,20,1520,16.9,17,3,17,0.1,0.1,0.1,0.1,0,0,0,DF
1019,Yassin Belkhdim,0.1,2024-2025,22,fr FRA,Angers,fr Ligue 1,29,1523,16.9,16,13,4,0.1,0.1,0.1,0.1,0,0,0,MF
1020,Fali Candé,0.1,2024-2025,26,gw GNB,Venezia,it Serie A,17,1530,17,17,0,0,0.1,0.1,0.1,0.1,0,0,0,DF
1021,Gabriele Zappa,0.1,2024-2025,24,it ITA,Cagliari,it Serie A,37,3060,34,35,2,0,0.1,0,0.1,0.1,0,0,0,DF
1022,Andrei Ratiu,0.1,2024-2025,26,ro ROU,Rayo Vallecano,es La Liga,35,3065,34.1,34,1,1,0.1,0.1,0.1,0.1,0,0,0,DF
1023,Nicolò Fagioli,0.1,2024-2025,23,it ITA,2 Teams,it Serie A,32,1533,17,15,17,6,0.1,0.1,0.2,0.1,0,0,0,MF
1024,András Schäfer,0.1,2024-2025,25,hu HUN,Union Berlin,de Bundesliga,26,1534,17,17,9,7,0.1,0.1,0.1,0.1,0,0,0,MF
1025,Patrizio Masini,0.1,2024-2025,23,it ITA,Genoa,it Serie A,26,1538,17.1,16,10,11,0.1,0,0.1,0.1,0,0,0,MF
1026,Karol Linetty,0.1,2024-2025,29,pl POL,Torino,it Serie A,28,1540,17.1,18,10,8,0.1,0,0.1,0.1,0,0,0,MF
1027,Morten Frendrup,0.1,2024-2025,23,dk DEN,Genoa,it Serie A,35,3103,34.5,35,0,1,0.1,0,0.1,0.1,0,0,0,MF
1028,Saúl Ñíguez,0.1,2024-2025,29,es ESP,Sevilla,es La Liga,24,1553,17.3,17,7,2,0.1,0.3,0.4,0.1,0,0,0,MF
1029,Lautaro Valenti,0.1,2024-2025,25,ar ARG,Parma,it Serie A,20,1556,17.3,18,2,10,0.1,0,0.1,0.1,0,0,0,DF
1030,Lutsharel Geertruida,0.1,2024-2025,24,nl NED,RB Leipzig,de Bundesliga,24,1557,17.3,17,7,7,0.1,0,0.1,0.1,0,0,0,DF
1031,Yukinari Sugawara,0.1,2024-2025,24,jp JPN,Southampton,eng Premier League,30,1557,17.3,16,14,5,0.1,0.1,0.1,0.1,0,0,0,"DF,MF"
1032,Alphonso Davies,0.1,2024-2025,23,ca CAN,Bayern Munich,de Bundesliga,19,1560,17.3,17,2,2,0.1,0.1,0.2,0.1,0,0,0,DF
1033,Gianluca Mancini,0.1,2024-2025,28,it ITA,Roma,it Serie A,37,3143,34.9,36,1,0,0.1,0,0.1,0.1,0,0,0,DF
1034,Levi Colwill,0.1,2024-2025,21,eng ENG,Chelsea,eng Premier League,35,3149,35,35,0,2,0.1,0,0.1,0.1,0,0,0,DF
1035,Aaron Wan-Bissaka,0.1,2024-2025,26,cd COD,West Ham,eng Premier League,36,3154,35,35,1,1,0.1,0.1,0.2,0.1,0,0,0,DF
1036,Jackson Tchatchoua,0.1,2024-2025,22,cm CMR,Hellas Verona,it Serie A,36,3167,35.2,36,0,0,0.1,0.1,0.1,0.1,0,0,0,"DF,MF"
1037,Duje ?aleta-Car,0.1,2024-2025,27,hr CRO,Lyon,fr Ligue 1,19,1584,17.6,17,2,12,0.1,0,0.1,0.1,0,0,0,DF
1038,Angeliño,0.1,2024-2025,27,es ESP,Roma,it Serie A,38,3177,35.3,36,2,0,0.1,0,0.1,0.1,0,0,0,DF
1039,Quentin Merlin,0.1,2024-2025,22,fr FRA,Marseille,fr Ligue 1,27,1589,17.7,21,6,1,0.1,0.2,0.2,0.1,0,0,0,DF
1040,Cristiano Biraghi,0.1,2024-2025,31,it ITA,2 Teams,it Serie A,23,1591,17.7,18,5,5,0.1,0,0.1,0.1,0,0,0,DF
1041,Kevin Kampl,0.1,2024-2025,33,si SVN,RB Leipzig,de Bundesliga,26,1593,17.7,18,8,2,0.1,0,0.1,0.1,0,0,0,MF
1042,Murillo,0.1,2024-2025,22,br BRA,Nott'ham Forest,eng Premier League,36,3188,35.4,36,0,0,0.1,0,0.1,0.1,0,0,0,DF
1043,Valentin Gendrey,0.1,2024-2025,24,fr FRA,2 Teams,2 Comps,24,1594,17.7,16,8,2,0.1,0.1,0.1,0.1,0,0,0,DF
1044,Jakov Medi?,0.1,2024-2025,25,hr CRO,Bochum,de Bundesliga,23,1603,17.8,17,6,10,0.1,0,0.1,0.1,0,0,0,DF
1045,Antonio Raillo,0.1,2024-2025,32,es ESP,Mallorca,es La Liga,36,3207,35.6,36,0,0,0.1,0,0.1,0.1,0,0,0,DF
1046,Adri Embarba,0.1,2024-2025,32,es ESP,Rayo Vallecano,es La Liga,35,1607,17.9,18,17,3,0.1,0.1,0.1,0.1,0,0,0,"FW,MF"
1047,Emmanuel Gyasi,0.1,2024-2025,30,gh GHA,Empoli,it Serie A,37,3217,35.7,37,0,0,0.1,0,0.1,0.1,0,0,0,"DF,FW"
1048,Marc Casado,0.1,2024-2025,20,es ESP,Barcelona,es La Liga,23,1611,17.9,20,3,7,0.1,0.2,0.2,0.1,0,0,0,MF
1049,Marcel Sabitzer,0.1,2024-2025,30,at AUT,Dortmund,de Bundesliga,26,1616,18,18,8,1,0.1,0,0.1,0.1,0,0,0,MF
1050,Darko Brašanac,0.1,2024-2025,32,rs SRB,Leganés,es La Liga,30,1617,18,15,15,5,0.1,0.1,0.2,0.1,0,0,0,MF
1051,Jacob Ramsey,0.1,2024-2025,23,eng ENG,Aston Villa,eng Premier League,29,1623,18,19,10,0,0.1,0.2,0.2,0.1,0,0,0,"FW,MF"
1052,Enzo Boyomo,0.1,2024-2025,22,cm CMR,2 Teams,es La Liga,37,3257,36.2,36,1,0,0.1,0,0.1,0.1,0,0,0,DF
1053,Francesco Zampano,0.1,2024-2025,30,it ITA,Venezia,it Serie A,24,1639,18.2,17,7,11,0.1,0.1,0.2,0.1,0,0,0,DF
1054,Alieu Fadera,0.1,2024-2025,22,gm GAM,Como,it Serie A,28,1644,18.3,20,8,6,0.1,0.2,0.2,0.1,0,0,0,"FW,DF"
1055,Gabriel Osho,0.1,2024-2025,25,ng NGA,Auxerre,fr Ligue 1,20,1654,18.4,20,0,7,0.1,0,0.1,0.1,0,0,0,DF
