Rk,Player,Tkl/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Tkl/90,TklW,Def 3rd,Mid 3rd,Att 3rd,Challenges Tkl,ChallengesAtt,Challenges Tkl%,Challenges Lost,Blocks,Sh Blocks,Pass Blocks,Int,Tkl+Int,Clr,Err,Pos
19,Tyler Adams,3.8,2024-2025,25,us USA,Bournemouth,eng Premier League,28,1965,21.8,21,7,1,0,0.1,0.1,0,0,0,0,3.8,2.3,1.2,2.2,0.4,1.8,3.3,54.2,1.5,1.5,0.5,1.1,1.5,5.3,1.9,0,MF
20,Hamza Rafia,3.7,2024-2025,25,tn TUN,Lecce,it Serie A,18,1058,11.8,14,4,16,0,0,0,0,0,0,0,3.7,2.3,1.2,2.1,0.4,1.3,2.7,46.9,1.4,0.6,0.2,0.4,0.3,4.1,1.5,0.1,MF
21,Nicolas Höfler,3.7,2024-2025,34,de GER,Freiburg,de Bundesliga,20,794,8.8,7,13,14,0,0,0,0,0,0,0,3.7,2.6,1.5,2,0.2,2.3,3.5,64.5,1.2,0.8,0.1,0.7,1.6,5.3,3.2,0.1,MF
22,Jon Aramburu,3.7,2024-2025,22,ve VEN,Real Sociedad,es La Liga,35,2460,27.3,28,7,2,0,0,0.1,0,0,0,0,3.7,2.6,2.2,1.1,0.4,2.4,3.7,66,1.2,1.5,0.3,1.2,1.1,4.8,3.6,0,DF
23,Diego Gómez,3.7,2024-2025,21,py PAR,Brighton,eng Premier League,16,516,5.7,4,12,1,0.2,0,0.2,0.2,0,0,0,3.7,2.3,1.9,1.4,0.3,2.1,3.8,54.5,1.7,2.3,0,2.3,1.4,5.1,1.7,0.2,MF
24,Noussair Mazraoui,3.6,2024-2025,26,ma MAR,Manchester Utd,eng Premier League,37,2838,31.5,34,3,0,0,0,0,0,0,0,0,3.6,2.2,1.8,1.3,0.5,1.9,3,62.8,1.1,1.1,0.3,0.9,1.1,4.7,3,0,DF
25,John Joe,3.6,2024-2025,20,ie IRL,2 Teams,2 Comps,17,593,6.6,5,12,9,0,0,0,0,0,0,0,3.6,2.3,1.7,1.5,0.5,1.1,2.9,36.8,1.8,1.8,0.5,1.4,0.9,4.6,1.5,0,"MF,FW"
26,Stefan Posch,3.6,2024-2025,27,at AUT,2 Teams,it Serie A,19,1101,12.2,11,8,6,0,0,0,0,0,0,0,3.6,2.1,1.6,1.4,0.7,1.9,2.8,67.6,0.9,2,0.4,1.6,0.7,4.3,2.9,0,DF
27,Jean-Kevin Duverne,3.5,2024-2025,27,ht HAI,Nantes,fr Ligue 1,9,537,6,7,2,6,0,0,0,0,0,0,0,3.5,2,2.2,0.7,0.7,2.5,4.5,55.6,2,1.7,0.5,1.2,1.3,4.9,3.9,0,DF
28,Carlos Benavídez,3.5,2024-2025,26,uy URU,Alavés,es La Liga,18,487,5.4,6,12,12,0.2,0.2,0.4,0.2,0,0,0,3.5,2.6,1.8,1.1,0.6,1.1,2,54.5,0.9,0.9,0.4,0.6,1.5,5,2.6,0.2,MF
29,João Gomes,3.5,2024-2025,23,br BRA,Wolves,eng Premier League,36,2974,33,35,1,0,0.1,0,0.1,0.1,0,0,0,3.5,2.1,1.7,1.6,0.2,1.5,3.3,43.6,1.9,1.3,0.1,1.1,0.8,4.3,1,0,MF
30,Destiny Udogie,3.5,2024-2025,21,it ITA,Tottenham,eng Premier League,25,1924,21.4,24,1,5,0,0,0,0,0,0,0,3.5,2.2,2,1.2,0.3,1.5,2.2,68.8,0.7,1.9,0.3,1.6,1,4.5,1.7,0,DF
31,Alieu Fadera,3.5,2024-2025,22,gm GAM,Como,it Serie A,28,1644,18.3,20,8,6,0.1,0.2,0.2,0.1,0,0,0,3.5,2.6,1.4,1.5,0.7,1.1,2.5,44.4,1.4,1,0.1,0.9,0.7,4.2,0.5,0,"FW,DF"
32,Rémy Cabella,3.5,2024-2025,34,fr FRA,Lille,fr Ligue 1,23,1011,11.2,12,11,4,0.1,0.2,0.3,0.1,0,0,0,3.5,1.7,1.4,1.2,0.9,1.7,2.9,57.6,1.2,0.9,0.1,0.8,0.7,4.2,0.4,0,"FW,MF"
33,Andrey Santos,3.5,2024-2025,20,br BRA,Strasbourg,fr Ligue 1,32,2855,31.7,32,0,0,0.3,0.1,0.4,0.3,0,0,0,3.5,2.3,1.5,1.6,0.4,1.6,2.7,58.6,1.1,1.5,0.4,1,1,4.5,2.1,0,MF
34,Benjamin André,3.4,2024-2025,33,fr FRA,Lille,fr Ligue 1,30,2692,29.9,30,0,0,0,0.1,0.1,0,0,0,0,3.4,1.9,1,2,0.4,1.8,3.2,56.3,1.4,1.4,0.2,1.2,1.6,5,1.9,0,MF
35,Eduardo Camavinga,3.4,2024-2025,21,fr FRA,Real Madrid,es La Liga,19,1102,12.2,11,8,1,0.1,0.2,0.2,0.1,0,0,0,3.4,2.1,1.9,1.3,0.2,1.6,2.7,57.6,1.1,2,0.7,1.3,1.5,4.9,1.9,0,"MF,DF"
36,Daniel Muñoz,3.4,2024-2025,28,co COL,Crystal Palace,eng Premier League,37,3228,35.9,37,0,0,0.1,0.1,0.3,0.1,0,0,0,3.4,2.2,1.6,1.1,0.7,1.5,2.7,56.7,1.2,1.1,0.2,0.9,1.2,4.7,3,0,DF
37,Amadou Koné,3.4,2024-2025,19,ml MLI,Reims,fr Ligue 1,24,1293,14.4,17,7,3,0,0,0,0,0,0,0,3.4,2.2,2.2,1.1,0.1,1.5,2.4,62.9,0.9,1.3,0.3,1,1.3,4.7,2.6,0.1,MF
38,Rabby Nzingoula,3.4,2024-2025,18,cg CGO,2 Teams,fr Ligue 1,27,1689,18.8,20,7,2,0.1,0,0.1,0.1,0,0,0,3.4,2.2,1.4,1.7,0.4,1.4,3.1,46.6,1.7,1.4,0.3,1.2,1.5,5,1.2,0,MF
39,Mikel Jauregizar,3.4,2024-2025,20,es ESP,Athletic Club,es La Liga,34,2244,24.9,25,9,2,0.1,0,0.1,0.1,0,0,0,3.4,1.9,1,1.8,0.6,1.6,3.3,49.4,1.7,1,0.2,0.8,1.2,4.5,1.4,0.1,MF
40,Mario Lemina,3.4,2024-2025,30,ga GAB,Wolves,eng Premier League,17,1364,15.2,15,2,0,0.1,0.2,0.3,0.1,0,0,0,3.4,2,1.8,1.3,0.3,1.3,1.9,69,0.6,0.8,0.5,0.3,1.8,5.1,3.3,0.2,"MF,DF"
41,Tom Bischof,3.3,2024-2025,19,de GER,Hoffenheim,de Bundesliga,31,2559,28.4,30,1,0,0.2,0.1,0.2,0.2,0,0,0,3.3,1.9,1.3,1.6,0.5,1.4,2.7,51.9,1.3,2.3,0.4,1.9,1.1,4.4,1.9,0,"MF,FW"
42,Kostas Tsimikas,3.3,2024-2025,28,gr GRE,Liverpool,eng Premier League,18,837,9.3,9,9,16,0,0.1,0.1,0,0,0,0,3.3,2.2,1.6,1.2,0.5,1.5,2.5,60.9,1,0.5,0.2,0.3,1.2,4.5,2.2,0,DF
43,Vanderson,3.3,2024-2025,23,br BRA,Monaco,fr Ligue 1,29,2064,22.9,23,6,2,0,0.1,0.2,0,0,0,0,3.3,2.1,1.6,1.3,0.4,2,2.8,70.3,0.8,1.9,0.3,1.6,1.7,5,2.8,0.1,DF
44,André,3.3,2024-2025,23,br BRA,Wolves,eng Premier League,33,2472,27.5,31,2,2,0,0,0,0,0,0,0,3.3,2,1.5,1.5,0.3,1.3,2.3,58.7,0.9,1.5,0.3,1.2,1.3,4.7,1.1,0,MF
45,Wilfred Ndidi,3.3,2024-2025,27,ng NGA,Leicester City,eng Premier League,28,2324,25.8,28,0,0,0,0.2,0.2,0,0,0,0,3.3,2,1.7,1.2,0.3,1.2,2.4,49.2,1.2,1.8,0.7,1.1,1.2,4.5,3.1,0,MF
46,Alexis Mac Allister,3.3,2024-2025,25,ar ARG,Liverpool,eng Premier League,35,2599,28.9,30,5,0,0.2,0.2,0.3,0.2,0,0,0,3.3,2,1,1.8,0.6,1.9,3.6,52.9,1.7,2.1,0.2,1.9,0.8,4.1,1,0,MF
47,Ismaily,3.3,2024-2025,34,br BRA,Lille,fr Ligue 1,16,904,10,10,6,5,0,0.1,0.1,0,0,0,0,3.3,1.7,1.7,1.2,0.4,1.7,2.6,65.4,0.9,1.5,0.1,1.4,1.3,4.6,4.9,0,DF
48,Nathaniel Brown,3.3,2024-2025,21,de GER,Eint Frankfurt,de Bundesliga,26,1947,21.6,22,4,2,0.1,0.3,0.4,0.1,0,0,0,3.3,1.9,1.8,0.8,0.6,2,2.5,80,0.5,1.4,0,1.4,0.7,4,2.5,0,"DF,MF"
49,Antoine Mendy,3.3,2024-2025,20,sn SEN,Nice,fr Ligue 1,18,825,9.2,8,10,10,0,0,0,0,0,0,0,3.3,2.3,1.7,1.5,0,2.1,3.2,65.5,1.1,1,0.5,0.4,0.9,4.1,3.2,0.1,DF
50,Jesper Lindstrøm,3.3,2024-2025,24,dk DEN,Everton,eng Premier League,25,1239,13.8,15,10,3,0,0.1,0.1,0,0,0,0,3.3,1.8,1.7,1.4,0.1,1.4,4,34.5,2.6,1.1,0.2,0.9,0.9,4.1,1.2,0,FW
51,Abdul Fatawu Issahaku,3.3,2024-2025,20,gh GHA,Leicester City,eng Premier League,11,579,6.4,6,5,0,0,0.3,0.3,0,0,0,0,3.3,2.3,2,0.3,0.9,1.7,3,57.9,1.2,1.1,0,1.1,0.6,3.9,1.9,0,FW
52,Devyne Rensch,3.3,2024-2025,21,nl NED,Roma,it Serie A,14,469,5.2,5,9,1,0,0.2,0.2,0,0,0,0,3.3,2.5,1.5,1.5,0.2,1.7,1.9,90,0.2,1,0.6,0.4,1.3,4.6,2.3,0.2,DF
53,Viti,3.2,2024-2025,26,es ESP,Las Palmas,es La Liga,29,1982,22,23,6,2,0,0.1,0.1,0,0,0,0,3.2,2.1,2,1,0.3,1.4,2,68.9,0.6,1.3,0.3,1,1.2,4.5,2.8,0,DF
54,Ainsley Maitland-Niles,3.2,2024-2025,26,eng ENG,Lyon,fr Ligue 1,32,1985,22.1,20,12,2,0,0.2,0.2,0,0,0,0,3.2,2,1.4,1.2,0.7,2.2,3.4,63.2,1.3,1.3,0.2,1.1,1.1,4.4,2.8,0.3,DF
55,Alex Scott,3.2,2024-2025,20,eng ENG,Bournemouth,eng Premier League,20,755,8.4,8,12,1,0,0,0,0,0,0,0,3.2,1.7,1.3,1,1,2.3,5,45.2,2.7,2,0.5,1.5,1.2,4.4,1.8,0,MF
56,Cristian Cásseres Jr.,3.2,2024-2025,24,ve VEN,Toulouse,fr Ligue 1,32,2696,30,31,1,0,0,0.1,0.1,0,0,0,0,3.2,2,1.4,1.4,0.4,1.5,2.9,52.3,1.4,1.2,0.3,0.9,1.4,4.6,1.2,0,MF
57,Mario Martín,3.2,2024-2025,20,es ESP,Valladolid,es La Liga,30,1748,19.4,20,10,3,0,0.1,0.1,0,0,0,0,3.2,1.6,1.6,1.4,0.2,1.1,2.5,42.9,1.4,1.6,0.4,1.3,1.1,4.3,2.4,0.4,MF
58,Krépin Diatta,3.2,2024-2025,25,sn SEN,Monaco,fr Ligue 1,19,508,5.6,3,16,5,0,0,0,0,0,0,0,3.2,2.1,2.3,0.4,0.5,2.5,4.3,58.3,1.8,0.9,0.2,0.7,1.6,4.8,2.1,0.4,"DF,FW"
59,Hernani,3.2,2024-2025,30,br BRA,Parma,it Serie A,25,1327,14.7,15,10,2,0.2,0.2,0.4,0,0.2,0.2,0,3.2,1.8,1.7,1.2,0.3,1.8,3.4,54,1.6,1.8,0.4,1.4,1.3,4.5,0.8,0.1,MF
60,Cheick Doucouré,3.2,2024-2025,24,ml MLI,Crystal Palace,eng Premier League,13,452,5,4,9,4,0,0,0,0,0,0,0,3.2,1.6,1.2,1.6,0.4,1,2.2,45.5,1.2,0.8,0,0.8,2.2,5.4,2,0.2,MF
61,Valentín Barco,3.2,2024-2025,20,ar ARG,3 Teams,3 Comps,21,1445,16.1,17,4,8,0,0.1,0.1,0,0,0,0,3.2,1.9,2,0.8,0.4,2.1,2.8,75.6,0.7,0.5,0.2,0.3,0.9,4.1,2.1,0.1,"DF,MF"
62,Marcos Senesi,3.2,2024-2025,27,ar ARG,Bournemouth,eng Premier League,17,1106,12.3,13,4,4,0,0,0,0,0,0,0,3.2,1.7,1.9,1.1,0.2,1.1,2.5,45.2,1.4,1.3,0.6,0.7,1.1,4.3,4.7,0,DF
63,Omar El Hilali,3.2,2024-2025,20,ma MAR,Espanyol,es La Liga,36,3153,35,36,0,0,0,0.1,0.1,0,0,0,0,3.2,2.3,2.3,0.7,0.2,1.8,2.7,67.4,0.9,1.5,0.4,1.1,1.3,4.5,4.1,0.1,DF
64,Thierry Correia,3.2,2024-2025,25,pt POR,Valencia,es La Liga,11,768,8.5,9,2,0,0,0,0,0,0,0,0,3.2,2.1,2.2,0.6,0.4,1.5,2.7,56.5,1.2,1.2,0.1,1.1,0.5,3.6,2.1,0,DF
65,Mahamadou Diawara,3.2,2024-2025,19,fr FRA,2 Teams,fr Ligue 1,17,598,6.6,6,11,4,0,0.2,0.2,0,0,0,0,3.2,1.8,1.5,1.4,0.3,1.4,2.4,56.3,1.1,2.3,0.9,1.4,2,5.1,1.7,0.2,MF
66,Patrizio Masini,3.2,2024-2025,23,it ITA,Genoa,it Serie A,26,1538,17.1,16,10,11,0.1,0,0.1,0.1,0,0,0,3.2,1.7,1.1,1.5,0.6,1.1,2.3,47.5,1.2,1.5,0.5,1.1,0.9,4,2.2,0,MF
67,Victor Bernth Kristiansen,3.2,2024-2025,21,dk DEN,Leicester City,eng Premier League,30,2482,27.6,29,1,5,0,0,0,0,0,0,0,3.2,1.8,2,0.9,0.2,1.8,3.3,53.8,1.5,1.4,0.5,0.8,1.5,4.7,2.7,0.1,DF
68,Alessio Zerbin,3.1,2024-2025,25,it ITA,2 Teams,it Serie A,20,1520,16.9,17,3,17,0.1,0.1,0.1,0.1,0,0,0,3.1,1.7,1.9,0.7,0.5,1.8,3.1,56.6,1.4,1.7,0.2,1.5,0.9,4,1.5,0.1,DF
69,Tom Louchet,3.1,2024-2025,21,fr FRA,Nice,fr Ligue 1,22,775,8.6,7,15,8,0.1,0,0.1,0.1,0,0,0,3.1,2,2,0.6,0.6,2,2.7,73.9,0.7,1.4,0.5,0.9,2.1,5.2,2.3,0,"DF,MF"
70,Yves Bissouma,3.1,2024-2025,27,ml MLI,Tottenham,eng Premier League,28,1408,15.6,16,12,6,0.1,0,0.1,0.1,0,0,0,3.1,2,1.3,1.6,0.3,1.2,2.2,55.9,1,0.7,0.4,0.3,1.2,4.3,2.6,0.3,MF
71,Facundo Buonanotte,3.1,2024-2025,19,ar ARG,Leicester City,eng Premier League,31,1523,16.9,14,17,3,0.3,0.1,0.4,0.3,0,0,0,3.1,1.9,1,1.3,0.8,1.2,4,31.3,2.7,2,0.4,1.7,0.7,3.8,0.8,0,"FW,MF"
72,Yassin Belkhdim,3.1,2024-2025,22,fr FRA,Angers,fr Ligue 1,29,1523,16.9,16,13,4,0.1,0.1,0.1,0.1,0,0,0,3.1,1.6,1.5,1.2,0.4,1.6,3.4,46.6,1.8,1.4,0.4,1,1.2,4.4,2.4,0.1,MF
73,Glen Kamara,3.1,2024-2025,28,fi FIN,Rennes,fr Ligue 1,13,662,7.4,8,5,3,0,0.1,0.1,0,0,0,0,3.1,1.5,1.4,1.5,0.3,1.5,2.3,64.7,0.8,1,0,1,1,4.1,1,0,MF
74,Neco Williams,3.1,2024-2025,23,wls WAL,Nott'ham Forest,eng Premier League,35,2594,28.8,28,7,3,0,0.1,0.1,0,0,0,0,3.1,2,2.2,0.7,0.3,1.8,3,61.6,1.1,1.5,0.3,1.1,1.1,4.2,4.8,0.1,DF
75,Junior Mwanga,3.1,2024-2025,21,fr FRA,2 Teams,fr Ligue 1,19,1248,13.9,13,6,9,0.1,0.1,0.2,0.1,0,0,0,3.1,1.8,1.4,1.4,0.3,1.2,2,57.1,0.9,0.9,0.2,0.6,0.7,3.8,1.4,0.1,MF
76,Adrien Thomasson,3.1,2024-2025,30,fr FRA,Lens,fr Ligue 1,33,2615,29.1,31,2,0,0.1,0.2,0.3,0.1,0,0,0,3.1,1.6,1.4,0.9,0.8,1.8,3.3,54.7,1.5,1.7,0.1,1.5,0.7,3.8,1,0.1,MF
77,Maxence Caqueret,3.1,2024-2025,24,fr FRA,2 Teams,2 Comps,27,1660,18.4,21,6,6,0.1,0.2,0.3,0.1,0,0,0,3.1,1.7,1,1.6,0.5,1.3,3.3,40,2,1.5,0.2,1.3,0.8,3.8,0.3,0.1,MF
78,Benjamin Henrichs,3.1,2024-2025,27,de GER,RB Leipzig,de Bundesliga,15,935,10.4,10,5,0,0,0.2,0.2,0,0,0,0,3.1,1.5,1.7,1,0.4,1.3,2.6,51.9,1.3,2.1,0.3,1.8,1.4,4.5,3.2,0,DF
79,João Neves,3.1,2024-2025,19,pt POR,Paris S-G,fr Ligue 1,29,1844,20.5,22,7,4,0.1,0.4,0.5,0.1,0,0,0,3.1,1.5,1,1.3,0.8,1.3,2.2,60,0.9,1.4,0.4,1,1.1,4.2,1.1,0,"MF,DF"
80,Moisés Caicedo,3.1,2024-2025,22,ec ECU,Chelsea,eng Premier League,38,3351,37.2,38,0,0,0,0.1,0.1,0,0,0,0,3.1,2,1.2,1.5,0.4,1.5,2.3,62.8,0.9,1.3,0.3,1,1.3,4.4,1.6,0,"MF,DF"
81,Amadou Onana,3.1,2024-2025,22,be BEL,Aston Villa,eng Premier League,26,1617,18,20,6,2,0.2,0,0.2,0.2,0,0,0,3.1,1.7,1.3,1.4,0.3,0.9,1.6,55.2,0.7,0.9,0.4,0.5,1.4,4.5,2.3,0.2,MF
82,Samu Costa,3.1,2024-2025,23,pt POR,Mallorca,es La Liga,32,2649,29.4,31,1,0,0,0.1,0.1,0,0,0,0,3.1,1.5,1.5,1.4,0.1,1.2,2.7,44.3,1.5,1.6,0.5,1.1,1.1,4.1,2.9,0,MF
83,András Schäfer,3.1,2024-2025,25,hu HUN,Union Berlin,de Bundesliga,26,1534,17,17,9,7,0.1,0.1,0.1,0.1,0,0,0,3.1,1.5,1.3,1.4,0.3,1.5,2.4,61,0.9,1.9,0.4,1.6,1.3,4.3,2.1,0,MF
84,Kike Pérez,3,2024-2025,27,es ESP,2 Teams,2 Comps,35,2305,25.6,27,8,1,0.1,0,0.1,0.1,0,0,0,3,2,1.3,1.2,0.5,1.3,2.7,47.1,1.4,1.2,0.2,0.9,0.7,3.7,1.3,0,MF
85,Sean Longstaff,3,2024-2025,26,eng ENG,Newcastle Utd,eng Premier League,25,798,8.9,8,17,13,0,0,0,0,0,0,0,3,1.8,1.1,1,0.9,2,3,66.7,1,1.9,0.6,1.4,0.8,3.8,0.9,0,MF
86,Yehor Yarmoliuk,3,2024-2025,20,ua UKR,Brentford,eng Premier League,31,1450,16.1,15,16,7,0,0,0,0,0,0,0,3,1.7,1.3,1.3,0.4,1.7,3.4,50.9,1.7,1.6,0.6,1.1,0.8,3.8,2,0,MF
87,Dani Ceballos,3,2024-2025,27,es ESP,Real Madrid,es La Liga,23,1215,13.5,15,8,6,0,0,0,0,0,0,0,3,1.6,1.3,1.3,0.4,1.5,3,50,1.5,1.2,0.3,0.9,1,4.1,0.7,0.1,MF
88,Sacha Boey,3,2024-2025,23,fr FRA,Bayern Munich,de Bundesliga,13,593,6.6,6,7,9,0,0.3,0.3,0,0,0,0,3,0.8,0.9,0.9,1.2,2,2.7,72.2,0.8,0.9,0,0.9,0.3,3.3,2.1,0,DF
89,Elliot Anderson,3,2024-2025,21,eng ENG,Nott'ham Forest,eng Premier League,37,2728,30.3,33,4,0,0.1,0.2,0.3,0.1,0,0,0,3,1.8,1.8,1,0.3,1.6,3.7,43.2,2.1,1.6,0.3,1.3,1,4.1,2.5,0.1,MF
90,Kévin Danois,3,2024-2025,20,fr FRA,Auxerre,fr Ligue 1,22,1460,16.2,16,6,1,0,0,0,0,0,0,0,3,1.8,1.2,1.4,0.4,1.2,2.8,43.5,1.6,1,0.2,0.9,1.2,4.3,1.2,0,MF
91,Justin Devenny,3,2024-2025,20,nir NIR,Crystal Palace,eng Premier League,23,507,5.6,4,19,7,0.2,0.2,0.4,0.2,0,0,0,3,2.1,1.2,1.6,0.2,1.4,3.4,42.1,2,1.1,0.2,0.9,0,3,2,0,MF
92,James Hill,3,2024-2025,22,eng ENG,Bournemouth,eng Premier League,10,448,5,6,4,21,0,0.2,0.2,0,0,0,0,3,1.6,1.2,1.2,0.6,0.6,2.2,27.3,1.6,1,0,1,1.8,4.8,6.2,0,DF
93,Dennis Appiah,3,2024-2025,32,fr FRA,Saint-Étienne,fr Ligue 1,29,2128,23.6,22,7,2,0,0,0,0,0,0,0,3,1.8,1.8,0.9,0.3,1.7,3,57.7,1.3,1.5,0.3,1.2,1.2,4.2,3.8,0.1,DF
94,Jon Moncayola,3,2024-2025,26,es ESP,Osasuna,es La Liga,32,2099,23.3,26,6,1,0,0,0,0,0,0,0,3,1.8,1.2,1.4,0.3,1.3,2.6,51.7,1.2,1.5,0.1,1.3,0.5,3.5,0.9,0,MF
95,Luca Kerber,3,2024-2025,22,de GER,Heidenheim,de Bundesliga,23,783,8.7,7,16,9,0.2,0,0.2,0.2,0,0,0,3,1.8,2,0.9,0.1,1.8,3.6,51.6,1.7,1.6,0.5,1.1,0.6,3.6,2.9,0.1,"MF,DF"
96,Johann Lepenant,3,2024-2025,21,fr FRA,Nantes,fr Ligue 1,29,2048,22.8,23,6,1,0.1,0,0.1,0.1,0,0,0,3,1.5,1.3,1.2,0.5,1.4,3.1,45.1,1.7,1.5,0.1,1.4,0.8,3.8,1.1,0,MF
97,Santi Comesaña,3,2024-2025,27,es ESP,Villarreal,es La Liga,35,2560,28.4,30,5,2,0.1,0.1,0.2,0.1,0,0,0,3,1.7,1.5,1.1,0.3,1.5,2.7,55.3,1.2,2,0.8,1.2,0.7,3.7,2,0,MF
98,Lucien Agoume,3,2024-2025,22,fr FRA,Sevilla,es La Liga,35,2114,23.5,24,11,1,0,0.1,0.2,0,0,0,0,3,1.4,1,1.6,0.4,1.1,1.7,69.2,0.5,1.3,0.5,0.8,1.7,4.7,1.8,0,MF
