Rk,Player,Tkl/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Tkl/90,TklW,Def 3rd,Mid 3rd,Att 3rd,Challenges Tkl,ChallengesAtt,Challenges Tkl%,Challenges Lost,Blocks,Sh Blocks,Pass Blocks,Int,Tkl+Int,Clr,Err,Pos
1,Mats Wieffer,5.1,2024-2025,24,nl NED,Brighton,eng Premier League,25,1015,11.3,10,15,3,0.1,0.3,0.4,0.1,0,0,0,5.1,3,2.4,2.4,0.4,2.8,4.2,68.1,1.3,1.6,0.2,1.4,1.5,6.7,2.5,0.3,"DF,MF"
2,Casemiro,5,2024-2025,32,br BRA,Manchester Utd,eng Premier League,24,1494,16.6,18,6,14,0.1,0,0.1,0.1,0,0,0,5,3,3,1.4,0.6,2.7,4.5,60.8,1.7,2.3,0.6,1.7,0.8,5.8,3.1,0.2,MF
3,Lars Ritzka,4.8,2024-2025,26,de GER,St. Pauli,de Bundesliga,21,922,10.2,11,10,8,0.1,0,0.1,0.1,0,0,0,4.8,2.8,2.7,1.6,0.5,2.4,4,61,1.6,1.6,0.2,1.4,1.1,5.9,4,0,"DF,MF"
4,Tim Iroegbunam,4.5,2024-2025,21,eng ENG,Everton,eng Premier League,18,574,6.4,5,13,4,0,0.2,0.2,0,0,0,0,4.5,2.2,2.2,1.6,0.8,2.2,3.6,60.9,1.4,2.8,0.6,2.2,2.5,7.1,1.9,0.2,MF
5,Luck Zogbé,4.5,2024-2025,19,ci CIV,Brest,fr Ligue 1,13,638,7.1,7,6,17,0,0,0,0,0,0,0,4.5,2.5,2.4,1.6,0.6,2.5,3.7,69.2,1.1,1.6,0.3,1.3,2,6.5,3.1,0.1,DF
6,Pierrick Capelle,4.5,2024-2025,37,fr FRA,Angers,fr Ligue 1,16,483,5.4,3,13,10,0,0,0,0,0,0,0,4.5,3.2,1.9,1.7,0.9,1.7,3.4,50,1.7,0.7,0.2,0.6,2,6.5,0.9,0.2,MF
7,Alfonso Espino,4.4,2024-2025,32,uy URU,Rayo Vallecano,es La Liga,16,833,9.3,9,7,13,0,0.1,0.1,0,0,0,0,4.4,2.6,3.3,0.9,0.2,2.8,5.1,55.3,2.3,2.1,0.6,1.4,1.3,5.7,3.5,0.1,DF
8,Paul Joly,4.4,2024-2025,24,fr FRA,Auxerre,fr Ligue 1,26,1009,11.2,10,16,2,0,0.1,0.1,0,0,0,0,4.4,2.9,2.7,1.5,0.2,2.4,4,60,1.6,1.7,0.1,1.6,2.2,6.6,2.9,0.4,DF
9,Ibrahim Sangaré,4.3,2024-2025,26,ci CIV,Nott'ham Forest,eng Premier League,13,590,6.6,7,6,5,0,0.2,0.2,0,0,0,0,4.3,2.1,1.2,2.6,0.5,1.2,2.6,47.1,1.4,1.5,0.6,0.9,0.9,5.2,2,0.2,MF
10,Louis Mouton,4.2,2024-2025,22,fr FRA,Saint-Étienne,fr Ligue 1,24,1045,11.6,12,12,8,0,0.1,0.1,0,0,0,0,4.2,2.2,1.2,2.2,0.9,1.9,3.2,59.5,1.3,1.5,0.3,1.2,0.9,5.1,1.6,0,MF
11,Ryan Sessegnon,4.2,2024-2025,24,eng ENG,Fulham,eng Premier League,16,580,6.4,7,9,16,0.6,0.3,0.9,0.6,0,0,0,4.2,2,1.7,1.7,0.8,1.4,3.1,45,1.7,2,0.2,1.9,0.5,4.7,2.8,0,"FW,DF"
12,Soungoutou Magassa,4.1,2024-2025,20,fr FRA,Monaco,fr Ligue 1,21,1025,11.4,12,9,4,0,0.1,0.1,0,0,0,0,4.1,2.2,1.2,2.4,0.5,2.2,4,54.3,1.8,1.4,0.3,1.1,1.8,6,1.7,0.1,MF
13,José Gragera,4,2024-2025,23,es ESP,Espanyol,es La Liga,10,569,6.3,7,3,3,0,0,0,0,0,0,0,4,2.5,1.7,2.2,0,1.4,2.7,52.9,1.3,1.4,0.2,1.3,0.8,4.7,2.1,0,MF
14,Nicolás Domínguez,3.9,2024-2025,26,ar ARG,Nott'ham Forest,eng Premier League,34,1963,21.8,23,11,3,0,0,0,0,0,0,0,3.9,2.1,1.8,1.6,0.5,1.7,3.5,47.4,1.8,1.7,0.6,1.2,1.3,5.3,2.5,0,"MF,FW"
15,Welington,3.9,2024-2025,23,br BRA,Southampton,eng Premier League,10,482,5.4,6,4,3,0,0,0,0,0,0,0,3.9,1.7,2.8,0.9,0.2,2.2,3.5,63.2,1.3,0.9,0.2,0.7,1.3,5.2,6.7,0,DF
16,Ayyoub Bouaddi,3.9,2024-2025,16,fr FRA,Lille,fr Ligue 1,24,1151,12.8,11,13,10,0,0.1,0.1,0,0,0,0,3.9,2.4,1.6,1.6,0.6,1.5,2.5,59.4,1,0.9,0.2,0.7,0.8,4.7,0.9,0.1,MF
17,Idrissa Gana Gueye,3.9,2024-2025,34,sn SEN,Everton,eng Premier League,37,3063,34,35,2,0,0,0.1,0.1,0,0,0,0,3.9,2.4,1.8,1.6,0.5,1.7,2.9,58.6,1.2,1.4,0.3,1.1,1.4,5.3,1.1,0,MF
18,Manuel Ugarte,3.9,2024-2025,23,uy URU,Manchester Utd,eng Premier League,29,1785,19.8,22,7,3,0.1,0.1,0.2,0.1,0,0,0,3.9,2.5,1.7,1.7,0.5,1.5,3.4,44.1,1.9,1.7,0.2,1.5,1.4,5.2,0.9,0.1,MF
