Rk,Player,xG/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,xG/90,npxG,xAG,xG+xAG,xA,npxG+xAG,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Pos
601,Ramón Terrats,0.1,2024-2025,23,es ESP,2 Teams,es La Liga,26,1350,15,16,10,5,0.3,0.1,0.3,0.3,0,0,0,0.1,0.1,0.2,0.3,0.1,0.3,0.1,0.1,-0.1,0.11,1.4,0.19,0.5,0.5,38.1,21.5,0.1,"MF,FW"
602,Joelinton,0.1,2024-2025,27,br BRA,Newcastle Utd,eng Premier League,29,2393,26.6,29,0,0,0.2,0.1,0.3,0.2,0,0,0,0.1,0.1,0.1,0.2,0.1,0.2,0,0,0,0.09,1.7,0.09,0.31,0.5,28.9,14,0,"MF,FW"
603,Leonardo Bittencourt,0.1,2024-2025,30,de GER,Werder Bremen,de Bundesliga,27,982,10.9,10,17,4,0.2,0.1,0.3,0.2,0,0,0,0.1,0.1,0.1,0.3,0.2,0.3,0,0,-0.1,0.06,2.5,0.07,0.22,0.8,33.3,21.6,0.1,MF
604,Przemys?aw Frankowski,0.1,2024-2025,29,pl POL,Lens,fr Ligue 1,18,1387,15.4,16,2,2,0.3,0.1,0.4,0.1,0.1,0.1,0,0.1,0,0.2,0.3,0.2,0.2,0.1,0.1,0,0.05,0.9,0.14,0.4,0.3,35.7,21.9,0.1,DF
605,Carlos Augusto,0.1,2024-2025,25,br BRA,Inter,it Serie A,29,1691,18.8,15,14,3,0.2,0.1,0.3,0.2,0,0,0,0.1,0.1,0.1,0.2,0.1,0.2,0,0,0,0.12,1.3,0.13,0.5,0.3,25,11.1,0,DF
606,Ulisses Garcia,0.1,2024-2025,28,ch SUI,Marseille,fr Ligue 1,20,930,10.3,10,10,6,0.2,0.2,0.4,0.2,0,0,0,0.1,0.1,0.1,0.3,0.1,0.3,0,0,0.1,0.19,0.8,0.25,1,0.2,25,14.2,0,DF
607,Téji Savanier,0.1,2024-2025,32,fr FRA,Montpellier,fr Ligue 1,31,2363,26.3,27,4,1,0.1,0.2,0.3,0,0.1,0.1,0,0.1,0.1,0.3,0.4,0.3,0.3,-0.1,-0.1,-0.1,0.05,1.7,0,0,0.5,31.1,26.9,0.5,MF
608,Arne Maier,0.1,2024-2025,25,de GER,Augsburg,de Bundesliga,28,938,10.4,7,21,4,0,0,0,0,0,0,0,0.1,0.1,0.1,0.3,0.2,0.3,-0.1,-0.1,-0.1,0.08,1.7,0,0,0.6,33.3,24.3,0.3,MF
609,João Neves,0.1,2024-2025,19,pt POR,Paris S-G,fr Ligue 1,29,1844,20.5,22,7,4,0.1,0.4,0.5,0.1,0,0,0,0.1,0.1,0.2,0.3,0.2,0.3,0,0,0.2,0.11,1.4,0.11,0.27,0.5,39.3,13.7,0,"MF,DF"
610,Rassoul Ndiaye,0.1,2024-2025,22,sn SEN,Le Havre,fr Ligue 1,27,1061,11.8,11,16,6,0.1,0,0.1,0.1,0,0,0,0.1,0.1,0.1,0.2,0.1,0.2,-0.1,-0.1,-0.1,0.1,1.5,0.06,0.2,0.4,27.8,18.1,0,MF
611,Abdoulaye Doucouré,0.1,2024-2025,31,ml MLI,Everton,eng Premier League,33,2564,28.5,31,2,1,0.1,0.1,0.2,0.1,0,0,0,0.1,0.1,0.1,0.2,0,0.2,0,0,0,0.13,1.1,0.1,0.33,0.3,29,14,0,MF
612,Nikola Vlaši?,0.1,2024-2025,26,hr CRO,Torino,it Serie A,30,2117,23.5,23,7,1,0.2,0.2,0.4,0.1,0.1,0.1,0,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0,0.1,0.06,1.3,0.1,0.3,0.4,33.3,22.2,0,"MF,FW"
613,Zinedine Ferhat,0.1,2024-2025,31,dz ALG,Angers,fr Ligue 1,24,849,9.4,8,16,2,0.2,0,0.2,0.2,0,0,0,0.1,0.1,0.3,0.4,0.2,0.4,0.1,0.1,-0.3,0.11,1.3,0.17,0.4,0.5,41.7,20.4,0.2,"FW,MF"
614,Yangel Herrera,0.1,2024-2025,26,ve VEN,Girona,es La Liga,29,2257,25.1,27,2,1,0.2,0.1,0.3,0.2,0,0,0,0.1,0.1,0.1,0.2,0.1,0.2,0,0,0.1,0.09,1.6,0.1,0.29,0.6,35.9,16.9,0,MF
615,Luis Henrique,0.1,2024-2025,22,br BRA,Marseille,fr Ligue 1,33,2613,29,29,4,1,0.2,0.2,0.5,0.2,0,0,0,0.1,0.1,0.1,0.3,0.2,0.3,0.1,0.1,0.1,0.14,1,0.23,0.5,0.5,46.7,14.6,0,"DF,FW"
616,Juan Foyth,0.1,2024-2025,26,ar ARG,Villarreal,es La Liga,19,1517,16.9,17,2,2,0.1,0,0.1,0.1,0,0,0,0.1,0.1,0,0.2,0.1,0.2,-0.1,-0.1,0,0.14,1,0.06,0.2,0.3,29.4,11.8,0,DF
617,Fabian Rieder,0.1,2024-2025,22,ch SUI,Stuttgart,de Bundesliga,21,867,9.6,8,13,11,0.1,0.3,0.4,0.1,0,0,0,0.1,0.1,0.2,0.4,0.3,0.4,0,0,0.1,0.07,2.1,0.05,0.14,0.7,35,22.1,0.6,"MF,FW"
618,Nicolás Tagliafico,0.1,2024-2025,31,ar ARG,Lyon,fr Ligue 1,24,1902,21.1,22,2,3,0.1,0,0.2,0.1,0,0,0,0.1,0.1,0,0.2,0.1,0.2,0,0,0,0.11,1.3,0.11,0.43,0.3,25,14.2,0,DF
619,Elif Elmas,0.1,2024-2025,24,mk MKD,2 Teams,2 Comps,15,1065,11.8,12,3,11,0.3,0,0.3,0.3,0,0,0,0.1,0.1,0,0.2,0.1,0.2,0.2,0.2,0,0.08,1.8,0.19,0.44,0.8,42.9,18.5,0,"FW,MF"
620,Issiaga Sylla,0.1,2024-2025,30,gn GUI,Montpellier,fr Ligue 1,19,1156,12.8,15,4,1,0.1,0,0.1,0.1,0,0,0,0.1,0.1,0,0.2,0.1,0.2,-0.1,-0.1,0,0.17,0.9,0.09,0.5,0.2,18.2,13.2,0,DF
621,Alex Iwobi,0.1,2024-2025,28,ng NGA,Fulham,eng Premier League,38,2981,33.1,35,3,0,0.3,0.2,0.5,0.3,0,0,0,0.1,0.1,0.2,0.4,0.2,0.4,0.1,0.1,0,0.07,2.1,0.13,0.31,0.9,42.6,18.3,0,"FW,MF"
622,Stoichkov,0.1,2024-2025,30,es ESP,Alavés,es La Liga,16,699,7.8,6,10,4,0,0.1,0.1,0,0,0,0,0.1,0.1,0.2,0.3,0.1,0.3,-0.1,-0.1,0,0.06,2.3,0,0,0.4,16.7,19.8,0.1,"MF,FW"
623,Santiago Pierotti,0.1,2024-2025,23,ar ARG,Lecce,it Serie A,36,1937,21.5,22,14,1,0.2,0.1,0.3,0.2,0,0,0,0.1,0.1,0.1,0.3,0.1,0.3,0,0,0,0.1,1.5,0.13,0.57,0.3,21.9,15.1,0,FW
624,Amine Harit,0.1,2024-2025,27,ma MAR,Marseille,fr Ligue 1,13,519,5.8,8,5,6,0.3,0.7,1,0.3,0,0,0,0.1,0.1,0.4,0.6,0.3,0.6,0.2,0.2,0.3,0.1,1.4,0.25,0.4,0.9,62.5,19.1,0.2,MF
625,Yann Aurel Bisseck,0.1,2024-2025,23,de GER,Inter,it Serie A,27,1643,18.3,17,10,8,0.2,0.1,0.3,0.2,0,0,0,0.1,0.1,0,0.2,0.1,0.2,0,0,0.1,0.12,1.2,0.14,0.6,0.3,23.8,11.2,0,DF
626,Hugo Álvarez,0.1,2024-2025,21,es ESP,Celta Vigo,es La Liga,26,1572,17.5,16,10,8,0.2,0.2,0.4,0.2,0,0,0,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.1,1.4,0.16,0.44,0.5,36,16.2,0.1,"MF,DF"
627,Andreas Skov Olsen,0.1,2024-2025,24,dk DEN,Wolfsburg,de Bundesliga,12,535,5.9,4,8,4,0.2,0.2,0.3,0.2,0,0,0,0.1,0.1,0.3,0.5,0.2,0.5,0,0,-0.2,0.12,1.2,0.14,1,0.2,14.3,14.2,0,"FW,MF"
628,Jack Grealish,0.1,2024-2025,28,eng ENG,Manchester City,eng Premier League,20,721,8,7,13,12,0.1,0.1,0.2,0.1,0,0,0,0.1,0.1,0.2,0.4,0.2,0.4,0,0,-0.1,0.08,1.9,0.07,0.2,0.6,33.3,16.3,0,"FW,MF"
629,Denis Suárez,0.1,2024-2025,30,es ESP,Villarreal,es La Liga,21,608,6.8,7,14,10,0.1,0.1,0.3,0.1,0,0,0,0.1,0.1,0.2,0.4,0.3,0.4,0,0,-0.1,0.09,1.5,0.1,0.33,0.4,30,15.5,0,MF
630,Roberto Navarro,0.1,2024-2025,22,es ESP,Mallorca,es La Liga,23,1278,14.2,15,8,2,0.1,0,0.1,0.1,0,0,0,0.1,0.1,0.1,0.3,0.1,0.3,-0.1,-0.1,-0.1,0.11,1.3,0.06,0.17,0.4,33.3,16.2,0,"MF,FW"
631,Mahdi Camara,0.1,2024-2025,26,fr FRA,Brest,fr Ligue 1,34,2659,29.5,31,3,0,0.2,0.1,0.3,0.2,0,0,0,0.1,0.1,0.1,0.2,0.1,0.2,0,0,0,0.08,1.7,0.1,0.26,0.6,38.8,16.6,0,"MF,FW"
632,Óscar Rodríguez Arnaiz,0.1,2024-2025,26,es ESP,Leganés,es La Liga,29,1330,14.8,12,17,5,0.1,0.3,0.3,0.1,0,0,0,0.1,0.1,0.1,0.3,0.1,0.3,-0.1,-0.1,0.1,0.06,2.2,0.03,0.17,0.4,18.2,25.1,0.6,"MF,FW"
633,Walid Cheddira,0.1,2024-2025,26,ma MAR,2 Teams,2 Comps,23,652,7.2,5,18,13,0.1,0.1,0.3,0.1,0,0,0,0.1,0.1,0.2,0.3,0.1,0.3,0,0,0,0.08,1.8,0.08,0.25,0.6,30.8,12.7,0,FW
634,Matúš Bero,0.1,2024-2025,28,sk SVK,Bochum,de Bundesliga,30,2565,28.5,29,1,0,0.2,0.1,0.2,0.2,0,0,0,0.1,0.1,0.1,0.3,0.1,0.2,0,0.1,-0.1,0.1,1.1,0.16,0.42,0.4,38.7,17,0,MF
635,Pedro Neto,0.1,2024-2025,24,pt POR,Chelsea,eng Premier League,35,2269,25.2,24,11,1,0.2,0.2,0.4,0.2,0,0,0,0.1,0.1,0.3,0.4,0.2,0.4,0,0,0,0.06,2.3,0.07,0.24,0.7,28.8,18.2,0,FW
636,Andre-Frank Zambo Anguissa,0.1,2024-2025,28,cm CMR,Napoli,it Serie A,35,2852,31.7,32,3,0,0.2,0.1,0.3,0.2,0,0,0,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0,0.1,1.4,0.14,0.5,0.4,27.3,16.7,0,MF
637,Christian Nørgaard,0.1,2024-2025,30,dk DEN,Brentford,eng Premier League,34,2819,31.3,34,0,0,0.2,0.1,0.3,0.2,0,0,0,0.1,0.1,0,0.2,0,0.2,0,0,0.1,0.11,1.2,0.13,0.33,0.5,38.5,14.3,0,MF
638,Federico Dimarco,0.1,2024-2025,26,it ITA,Inter,it Serie A,33,2177,24.2,29,4,2,0.2,0.3,0.5,0.2,0,0,0,0.1,0.1,0.3,0.4,0.2,0.4,0,0,0,0.06,2.3,0.07,0.19,0.9,37.5,20.1,0.3,"DF,FW"
639,Daniel Muñoz,0.1,2024-2025,28,co COL,Crystal Palace,eng Premier League,37,3228,35.9,37,0,0,0.1,0.1,0.3,0.1,0,0,0,0.1,0.1,0.2,0.3,0.1,0.3,0,0,0,0.13,1,0.11,0.29,0.4,37.8,12.7,0,DF
640,László Bénes,0.1,2024-2025,26,sk SVK,Union Berlin,de Bundesliga,23,589,6.5,3,20,7,0.3,0.2,0.5,0.3,0,0,0,0.1,0.1,0.1,0.3,0.2,0.3,0.2,0.2,0,0.05,2.9,0.11,0.29,1.1,36.8,22.1,0.3,"MF,FW"
641,Sebastiaan Bornauw,0.1,2024-2025,25,be BEL,Wolfsburg,de Bundesliga,15,788,8.8,8,7,4,0.2,0.1,0.3,0.2,0,0,0,0.1,0.1,0.1,0.2,0,0.2,0.1,0.1,0.1,0.15,0.9,0.25,0.67,0.3,37.5,7.6,0,DF
642,Pape Gueye,0.1,2024-2025,25,sn SEN,Villarreal,es La Liga,34,2224,24.7,26,8,0,0.2,0,0.2,0.2,0,0,0,0.1,0.1,0,0.2,0.1,0.2,0,0,0,0.06,2.2,0.07,0.24,0.7,30.9,18.5,0,MF
643,Leon Bailey,0.1,2024-2025,26,jm JAM,Aston Villa,eng Premier League,24,1139,12.7,14,10,5,0.1,0.2,0.2,0.1,0,0,0,0.1,0.1,0.1,0.3,0.2,0.3,-0.1,-0.1,0,0.06,2.2,0.04,0.17,0.5,21.4,17.3,0.2,"FW,MF"
644,Christantus Uche,0.1,2024-2025,21,ng NGA,Getafe,es La Liga,33,2486,27.6,30,3,0,0.1,0.2,0.4,0.1,0,0,0,0.1,0.1,0.1,0.2,0.1,0.2,0,0,0.1,0.08,1.8,0.08,0.29,0.5,28,17.1,0,"FW,MF"
645,Romano Schmid,0.1,2024-2025,24,at AUT,Werder Bremen,de Bundesliga,32,2834,31.5,32,0,0,0.2,0.1,0.3,0.1,0,0,0,0.1,0.1,0.2,0.3,0.3,0.3,0,0,-0.1,0.07,1.5,0.09,0.31,0.4,27.7,18.1,0.1,MF
646,Takefusa Kubo,0.1,2024-2025,23,jp JPN,Real Sociedad,es La Liga,36,2372,26.4,27,9,1,0.2,0,0.2,0.2,0,0,0,0.1,0.1,0.2,0.3,0.1,0.3,0.1,0.1,-0.2,0.08,1.6,0.12,0.36,0.5,32.6,16.1,0,"MF,FW"
647,Nordi Mukiele,0.1,2024-2025,26,fr FRA,Leverkusen,de Bundesliga,15,899,10,10,5,12,0.1,0,0.1,0.1,0,0,0,0.1,0.1,0.1,0.2,0.1,0.2,0,0,-0.1,0.2,0.7,0.14,0.33,0.3,42.9,15.8,0,DF
648,Justin Devenny,0.1,2024-2025,20,nir NIR,Crystal Palace,eng Premier League,23,507,5.6,4,19,7,0.2,0.2,0.4,0.2,0,0,0,0.1,0.1,0.1,0.2,0.1,0.2,0,0,0.1,0.08,1.8,0.1,0.17,1.1,60,21.1,0.2,MF
649,Joe Willock,0.1,2024-2025,24,eng ENG,Newcastle Utd,eng Premier League,32,1086,12.1,11,21,1,0,0.2,0.2,0,0,0,0,0.1,0.1,0.2,0.3,0.1,0.3,-0.1,-0.1,0,0.09,1.5,0,0,0.2,16.7,15.1,0,"MF,FW"
650,Marcos Alonso,0.1,2024-2025,33,es ESP,Celta Vigo,es La Liga,31,2647,29.4,29,2,0,0.1,0,0.1,0,0.1,0.1,0,0.1,0.1,0,0.2,0.1,0.1,0,-0.1,0,0.05,1.1,0,0,0.3,32.3,20.3,0.2,DF
