Rk,Player,Tkl/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Tkl/90,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Pos
801,Aurélio Buta,1.7,2024-2025,27,pt POR,Reims,fr Ligue 1,27,1970,21.9,24,3,4,0,0,0,0,0,0,0,1.7,1.1,1,0.5,0.2,1,1.9,50,1,0.9,0.2,0.6,1,2.7,2.7,0,DF
802,Axel Witsel,1.7,2024-2025,35,be BEL,Atlético Madrid,es La Liga,14,852,9.5,9,5,24,0,0.1,0.1,0,0,0,0,1.7,1.3,0.4,1.1,0.2,1.3,1.5,85.7,0.2,1.6,0.8,0.7,1.2,2.9,3.6,0.1,DF
803,Giangiacomo Magnani,1.7,2024-2025,28,it ITA,Hellas Verona,it Serie A,17,1065,11.8,11,6,4,0.1,0,0.1,0.1,0,0,0,1.7,1.3,1.2,0.5,0,0.6,0.6,100,0,1.4,0.8,0.6,1.4,3.1,6.2,0.1,DF
804,Kirian Rodríguez,1.7,2024-2025,28,es ESP,Las Palmas,es La Liga,21,1758,19.5,21,0,0,0,0.2,0.2,0,0,0,0,1.7,0.9,0.6,0.9,0.2,1.1,2.2,51.2,1.1,1.1,0.2,0.9,0.5,2.2,1.1,0,MF
805,Declan Rice,1.7,2024-2025,25,eng ENG,Arsenal,eng Premier League,35,2825,31.4,33,2,1,0.1,0.2,0.4,0.1,0,0,0,1.7,0.8,0.7,0.8,0.2,0.5,1.3,41.5,0.8,0.9,0.4,0.4,0.8,2.5,1.6,0,MF
806,Pedro Chirivella,1.7,2024-2025,27,es ESP,Nantes,fr Ligue 1,30,2348,26.1,28,2,1,0,0.1,0.1,0,0,0,0,1.7,1.1,0.9,0.6,0.2,0.7,1.6,45.2,0.9,1,0.2,0.8,0.7,2.4,1.7,0,MF
807,Iker Losada,1.7,2024-2025,22,es ESP,2 Teams,es La Liga,22,694,7.7,7,15,16,0.1,0,0.1,0.1,0,0,0,1.7,1.3,0.3,0.6,0.8,0.8,1.9,40,1.2,0.8,0.1,0.6,0.5,2.2,1.3,0,"FW,MF"
808,Abdoulaye Doucouré,1.7,2024-2025,31,ml MLI,Everton,eng Premier League,33,2564,28.5,31,2,1,0.1,0.1,0.2,0.1,0,0,0,1.7,1,0.7,0.7,0.2,0.5,1.5,32.6,1,1.1,0.2,0.9,0.4,2,0.7,0,MF
809,Magnus Kofod Andersen,1.7,2024-2025,25,dk DEN,Venezia,it Serie A,14,695,7.7,7,7,4,0.1,0.1,0.3,0.1,0,0,0,1.7,0.5,0.4,1.2,0.1,0.5,1.3,40,0.8,0.9,0.3,0.6,0.8,2.5,1.6,0,MF
810,Abde Ezzalzouli,1.7,2024-2025,22,ma MAR,Betis,es La Liga,32,1984,22,23,9,1,0.1,0.1,0.2,0.1,0,0,0,1.7,1.1,0.8,0.7,0.2,0.7,1.2,55.6,0.5,1,0.1,0.9,0.3,2,0.9,0,"FW,MF"
811,Brendan Chardonnet,1.7,2024-2025,29,fr FRA,Brest,fr Ligue 1,27,2416,26.8,27,0,4,0,0,0,0,0,0,0,1.7,1.2,1,0.5,0.1,0.9,1.5,62.5,0.6,1.7,1,0.6,1.1,2.8,6.3,0.1,DF
