,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,,,Short,,,Medium,,,Long,,,
Rk,Player,Cmp/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp/90,Att,Cmp%,KP,03-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Pos
801,Adam Wharton,37.4,2024-2025,20,eng ENG,Crystal Palace,eng Premier League,20,1318,14.6,16,4,1,0,0.1,0.1,0,0,0,0,37.4,49.5,75.6,1.8,5.3,1.2,0.3,7.3,701.4,258.1,14.2,17.2,82.5,17.6,22,80.1,4.8,7.3,65.4,MF
802,Aurélio Buta,37.4,2024-2025,27,pt POR,Reims,fr Ligue 1,27,1970,21.9,24,3,4,0,0,0,0,0,0,0,37.4,45.3,82.6,0.5,2.6,0.5,0.2,3.8,557.1,191.6,20.5,23,89.1,14.1,16.9,83.5,1.6,2.9,56.3,DF
803,Cristian Cásseres Jr.,37.4,2024-2025,24,ve VEN,Toulouse,fr Ligue 1,32,2696,30,31,1,0,0,0.1,0.1,0,0,0,0,37.4,47.4,78.8,0.9,3,0.8,0.2,4.3,657.5,181.2,16,19,84.2,17.6,20,88.1,3.1,6.2,49.7,MF
804,Catena,37.3,2024-2025,29,es ESP,Osasuna,es La Liga,35,3074,34.2,35,0,1,0,0.1,0.1,0,0,0,0,37.3,44.5,83.8,0.3,2,0.1,0,2.6,812.4,322.7,8.4,9.2,91.4,23.4,24.9,93.8,5.3,9.6,55.7,DF
805,Khalil Fayad,37.3,2024-2025,20,fr FRA,Montpellier,fr Ligue 1,20,1028,11.4,10,10,1,0,0,0,0,0,0,0,37.3,45,82.9,0.6,3.1,0.4,0.2,4.4,628,153.8,17.9,19.8,90.7,14.8,17.2,86.2,3.3,5.3,63.3,"MF,FW"
806,Christian Kabasele,37.3,2024-2025,33,be BEL,Udinese,it Serie A,16,1161,12.9,12,4,22,0.2,0,0.2,0.2,0,0,0,37.3,43.7,85.3,0.5,3.4,0.1,0,3.4,723.9,255.2,12.8,14,91.7,18.3,20.5,89.4,5.4,7.9,68.6,DF
807,Manolis Saliakas,37.3,2024-2025,27,gr GRE,St. Pauli,de Bundesliga,30,2314,25.7,26,4,1,0.1,0,0.1,0.1,0,0,0,37.3,51.9,71.8,1,3,1.2,0.5,3.6,699,275,14.7,16.8,87.5,17.4,22.6,77.1,4.4,10,43.6,"MF,DF"
808,Julian Brandt,37.2,2024-2025,28,de GER,Dortmund,de Bundesliga,30,2303,25.6,28,2,0,0.2,0.4,0.6,0.2,0,0,0,37.2,47.2,78.8,2.4,3.7,1.9,0.2,5.8,571.8,152.8,20,23.1,86.5,13,16,81.2,2.6,4.6,57.3,MF
809,James Justin,37.2,2024-2025,26,eng ENG,Leicester City,eng Premier League,36,2912,32.4,34,2,1,0.1,0.1,0.1,0.1,0,0,0,37.2,47.6,78.2,0.4,2.3,0.7,0.2,2.8,575,183,19.3,22.2,87,15.4,18.1,84.8,1.5,4.2,35.3,DF
