Rk,Player,Gls/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls/90,Ast,G+A,G-PK,PK,PKatt,PKm,Pos
1801,Renato Veiga,0,2024-2025,21,pt POR,2 Teams,2 Comps,20,1274,14.2,13,7,14,0,0.1,0.1,0,0,0,0,"DF,MF"
1802,John Joe,0,2024-2025,20,ie IRL,2 Teams,2 Comps,17,593,6.6,5,12,9,0,0,0,0,0,0,0,"MF,FW"
1803,Dante,0,2024-2025,40,br BRA,Nice,fr Ligue 1,25,1964,21.8,21,4,1,0,0,0,0,0,0,0,DF
1804,Vladimír Coufal,0,2024-2025,31,cz CZE,West Ham,eng Premier League,22,1067,11.9,11,11,11,0,0,0,0,0,0,0,DF
1805,Jean-Daniel Akpa-Akpro,0,2024-2025,31,ci CIV,Monza,it Serie A,14,966,10.7,12,2,0,0,0,0,0,0,0,0,MF
1806,Dennis Appiah,0,2024-2025,32,fr FRA,Saint-Étienne,fr Ligue 1,29,2128,23.6,22,7,2,0,0,0,0,0,0,0,DF
1807,Cheikh Niasse,0,2024-2025,24,sn SEN,Hellas Verona,it Serie A,11,755,8.4,8,3,2,0,0,0,0,0,0,0,MF
1808,Nikola Moro,0,2024-2025,26,hr CRO,Bologna,it Serie A,22,1208,13.4,15,7,16,0,0.1,0.1,0,0,0,0,MF
1809,Malick Thiaw,0,2024-2025,22,de GER,Milan,it Serie A,22,1806,20.1,19,3,12,0,0,0,0,0,0,0,DF
1810,Florian Grillitsch,0,2024-2025,28,at AUT,2 Teams,2 Comps,21,1224,13.6,15,6,1,0,0,0,0,0,0,0,MF
,,,,,,,,,,,,,,,,,,,,,
