Rk,Player,Tkl/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Tkl/90,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Pos
1201,Tommaso Baldanzi,1.3,2024-2025,21,it ITA,Roma,it Serie A,31,832,9.2,5,26,7,0.1,0.1,0.2,0.1,0,0,0,1.3,0.4,0.5,0.4,0.3,0.4,1.3,33.3,0.9,0.4,0,0.4,0.6,1.9,0.9,0,"MF,FW"
1202,Jesus Rodríguez,1.3,2024-2025,18,es ESP,Betis,es La Liga,21,1111,12.3,15,6,3,0.2,0,0.2,0.2,0,0,0,1.3,1.1,0.5,0.5,0.3,0.4,1.5,27.8,1.1,1.3,0,1.3,0.5,1.8,0.2,0,FW
1203,Darko Lazovi?,1.3,2024-2025,33,rs SRB,Hellas Verona,it Serie A,27,1459,16.2,17,10,11,0.1,0.2,0.3,0.1,0.1,0.1,0,1.3,0.6,0.3,0.9,0.1,0.7,1.7,39.3,1,1.2,0.2,1,0.7,2,2.4,0,"DF,MF"
1204,Jay Idzes,1.3,2024-2025,24,id IDN,Venezia,it Serie A,35,3127,34.7,35,0,0,0,0,0,0,0,0,0,1.3,0.8,0.7,0.5,0.1,0.5,0.9,51.5,0.5,1.5,0.9,0.6,0.9,2.2,4.5,0,DF
1205,Mostafa Mohamed,1.3,2024-2025,26,eg EGY,Nantes,fr Ligue 1,30,1252,13.9,11,19,0,0.4,0,0.4,0.4,0,0,0,1.3,0.6,0.4,0.6,0.3,0.3,0.9,33.3,0.6,0.7,0.1,0.6,0.7,2,1.9,0,FW
1206,Florian Tardieu,1.3,2024-2025,32,fr FRA,Saint-Étienne,fr Ligue 1,24,1252,13.9,13,11,7,0.1,0.3,0.4,0.1,0,0,0,1.3,1,0.4,0.6,0.2,0.4,1.2,35.3,0.8,1.3,0.4,0.9,1.1,2.4,1.5,0,MF
1207,Steven Skrzybski,1.3,2024-2025,31,de GER,Holstein Kiel,de Bundesliga,24,1323,14.7,15,9,0,0.4,0.2,0.6,0.3,0.1,0.1,0,1.3,0.4,0.5,0.4,0.4,0.5,1.6,29.2,1.2,1.1,0,1.1,0.7,2,0.7,0,"MF,FW"
1208,Tammy Abraham,1.3,2024-2025,26,eng ENG,2 Teams,it Serie A,29,1184,13.2,12,17,7,0.2,0.3,0.5,0.2,0.1,0.2,0.1,1.3,0.8,0.2,0.8,0.4,0.5,0.7,66.7,0.2,1,0,1,0.2,1.4,1.2,0,FW
1209,Lassine Sinayoko,1.3,2024-2025,24,ml MLI,Auxerre,fr Ligue 1,34,2299,25.5,25,9,0,0.2,0.3,0.5,0.2,0,0,0,1.3,0.8,0.4,0.5,0.4,0.4,0.9,47.8,0.5,0.6,0.1,0.5,0.5,1.8,1.5,0,"FW,MF"
1210,Bryan Mbeumo,1.3,2024-2025,24,cm CMR,Brentford,eng Premier League,38,3414,37.9,38,0,0,0.5,0.2,0.7,0.4,0.1,0.2,0,1.3,0.8,0.5,0.4,0.4,0.6,0.9,60,0.4,0.7,0.1,0.6,0.4,1.7,1.4,0,FW
