Rk,Player,Gls/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls/90,Ast,G+A,G-PK,PK,PKatt,PKm,Pos
1,Alexander Sørloth,1.1,2024-2025,28,no NOR,Atlético Madrid,es La Liga,35,1566,17.4,15,20,2,1.1,0.1,1.3,1.1,0.1,0.1,0,FW
2,Patrik Schick,1.1,2024-2025,28,cz CZE,Leverkusen,de Bundesliga,31,1684,18.7,19,12,2,1.1,0,1.1,1.1,0.1,0.1,0,FW
3,Ousmane Dembélé,1.1,2024-2025,27,fr FRA,Paris S-G,fr Ligue 1,29,1730,19.2,20,9,1,1.1,0.3,1.4,1,0.1,0.1,0,FW
4,Jáder Durán,1,2024-2025,20,co COL,Aston Villa,eng Premier League,20,638,7.1,4,16,1,1,0,1,1,0,0,0,FW
5,Harry Kane,1,2024-2025,31,eng ENG,Bayern Munich,de Bundesliga,31,2381,26.5,28,3,0,1,0.3,1.3,0.6,0.3,0.3,0,FW
6,Kylian Mbappé,1,2024-2025,25,fr FRA,Real Madrid,es La Liga,34,2907,32.3,34,0,0,1,0.1,1.1,0.7,0.2,0.3,0.1,FW
7,Mika Biereth,1,2024-2025,21,dk DEN,Monaco,fr Ligue 1,16,1228,13.6,16,0,1,1,0.1,1.1,0.9,0.1,0.1,0.1,FW
8,Mateo Retegui,0.9,2024-2025,25,it ITA,Atalanta,it Serie A,36,2383,26.5,32,4,0,0.9,0.3,1.2,0.8,0.2,0.2,0,FW
9,Cristhian Stuani,0.9,2024-2025,37,uy URU,Girona,es La Liga,32,1078,12,6,26,6,0.9,0.2,1.1,0.7,0.3,0.3,0,FW
10,Robert Lewandowski,0.9,2024-2025,35,pl POL,Barcelona,es La Liga,34,2667,29.6,32,2,2,0.9,0.1,1,0.8,0.1,0.1,0,FW
11,Ayoze Pérez,0.9,2024-2025,31,es ESP,Villarreal,es La Liga,30,1970,21.9,22,8,0,0.9,0.1,1,0.9,0,0,0,FW
12,Gonçalo Ramos,0.8,2024-2025,23,pt POR,Paris S-G,fr Ligue 1,22,1066,11.8,12,10,0,0.8,0.3,1.1,0.7,0.2,0.3,0.1,FW
13,Oihan Sancet,0.8,2024-2025,24,es ESP,Athletic Club,es La Liga,29,1620,18,19,10,1,0.8,0.1,0.9,0.7,0.2,0.2,0,MF
14,Pedro,0.8,2024-2025,37,es ESP,Lazio,it Serie A,30,1102,12.2,6,24,6,0.8,0.1,0.9,0.7,0.2,0.2,0,"FW,MF"
15,Ferrán Torres,0.8,2024-2025,24,es ESP,Barcelona,es La Liga,27,1106,12.3,12,15,2,0.8,0.5,1.3,0.8,0,0,0,"FW,MF"
16,Myron Boadu,0.8,2024-2025,23,nl NED,Bochum,de Bundesliga,19,1042,11.6,11,8,3,0.8,0.1,0.9,0.7,0.1,0.1,0,FW
17,Mohamed Salah,0.8,2024-2025,32,eg EGY,Liverpool,eng Premier League,38,3371,37.5,38,0,0,0.8,0.5,1.3,0.5,0.2,0.2,0,FW
18,Jonathan Burkardt,0.8,2024-2025,24,de GER,Mainz 05,de Bundesliga,29,2109,23.4,28,1,0,0.8,0.1,0.9,0.7,0.1,0.1,0,FW
19,Omar Marmoush,0.8,2024-2025,25,eg EGY,2 Teams,2 Comps,33,2623,29.1,31,2,0,0.8,0.3,1.1,0.7,0.1,0.1,0,"FW,MF"
20,Alexander Isak,0.8,2024-2025,24,se SWE,Newcastle Utd,eng Premier League,34,2756,30.6,34,0,0,0.8,0.2,0.9,0.6,0.1,0.1,0,FW
