,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,,,Short,,,Medium,,,Long,,,
Rk,Player,Cmp/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp/90,Att,Cmp%,KP,03-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Pos
1601,Morten Thorsby,16.7,2024-2025,28,no NOR,Genoa,it Serie A,30,1898,21.1,22,8,2,0,0,0,0,0,0,0,16.7,25.1,66.6,1.3,2.1,0.5,0,2.8,218.2,80.7,10.3,13.7,75.3,4.6,7.1,64.4,0.6,0.9,66.7,"MF,FW"
1602,Ola Solbakken,16.7,2024-2025,25,no NOR,Empoli,it Serie A,21,760,8.4,8,13,1,0,0,0,0,0,0,0,16.7,23.6,70.9,1.1,1.7,0.6,0.1,2.4,272.5,74.3,9.1,11.8,77,5.2,7.1,73.3,1.7,2.5,66.7,"MF,FW"
1603,Lucas Stassin,16.7,2024-2025,19,be BEL,Saint-Étienne,fr Ligue 1,28,1887,21,23,5,0,0.6,0.2,0.8,0.6,0,0,0,16.7,22.6,74,0.9,0.6,0.6,0,1.7,222,31.9,10.6,12.8,82.9,4.3,5.4,78.9,0.7,1.1,65.2,FW
1604,Yorbe Vertessen,16.7,2024-2025,23,be BEL,Union Berlin,de Bundesliga,17,718,8,7,10,1,0.1,0,0.1,0.1,0,0,0,16.7,25.2,66.2,1.9,0.8,1.8,0.3,2,248.1,71.1,9.2,12,76,5.1,7.1,71.9,1.3,3.5,35.7,"MF,FW"
1605,Ludovic Ajorque,16.7,2024-2025,30,fr FRA,Brest,fr Ligue 1,31,2495,27.7,29,2,0,0.5,0.1,0.5,0.5,0,0,0,16.7,24.2,68.9,1.3,1,0.4,0,1.5,251.2,35,9.2,12.8,71.8,5.3,7.1,74.2,1.3,1.7,72.9,FW
1606,Adam Armstrong,16.7,2024-2025,27,eng ENG,Southampton,eng Premier League,20,1248,13.9,15,5,4,0.1,0.1,0.3,0.1,0,0.1,0.1,16.7,20.8,80.2,0.6,0.7,0.6,0.1,1.5,239.4,32.2,10,11.4,87.3,5.8,6.9,85.3,0.4,0.9,46.2,"FW,MF"
1607,Arnaud Kalimuendo,16.7,2024-2025,22,fr FRA,Rennes,fr Ligue 1,33,2578,28.6,31,2,0,0.6,0.1,0.7,0.4,0.2,0.3,0.1,16.7,21.1,78.8,0.7,1.3,0.5,0,2.5,247.2,43.5,8.9,10.6,83.3,5.2,6.2,83.8,1.2,1.4,82.5,"FW,MF"
1608,Mateo Retegui,16.6,2024-2025,25,it ITA,Atalanta,it Serie A,36,2383,26.5,32,4,0,0.9,0.3,1.2,0.8,0.2,0.2,0,16.6,21.7,76.5,1.4,1.1,0.3,0,1.7,234.5,36.7,10,11.9,84.1,5.1,6.3,80.4,0.8,1.3,64.7,FW
1609,Lautaro Martínez,16.6,2024-2025,26,ar ARG,Inter,it Serie A,31,2564,28.5,31,0,1,0.4,0.1,0.5,0.4,0,0,0,16.6,22.3,74.4,1.3,1.4,0.8,0,2.4,263,56.5,9.3,11.4,81.5,5.3,7,76.8,1.4,2,73.2,FW
1610,Álvaro Morata,16.5,2024-2025,31,es ESP,Milan,it Serie A,16,1099,12.2,13,3,0,0.4,0,0.4,0.4,0,0,0,16.5,21.9,75.4,0.6,1.2,0.2,0,2.1,257.7,44.1,9.7,12.2,79.2,4.5,6.1,74.3,1.6,2.3,67.9,"FW,MF"
1611,Raúl Jiménez,16.5,2024-2025,33,mx MEX,Fulham,eng Premier League,38,2494,27.7,30,8,0,0.4,0.1,0.5,0.3,0.1,0.1,0,16.5,23.2,71.2,0.9,1.5,0.5,0.1,2.2,249.6,58.4,9.6,11.8,81.3,5,6.8,73.4,1.2,2,60,FW
