,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,,,Short,,,Medium,,,Long,,,
1410,Théo Sainte-Luce,22.7,2024-2025,25,fr FRA,Montpellier,fr Ligue 1,16,1018,11.3,11,5,4,0.1,0,0.1,0.1,0,0,0,22.7,30.7,74.1,0.7,1.2,0.7,0.4,1.9,331,135.6,13.1,15.3,85.5,7.7,10.8,71.3,1.1,2.5,42.9,DF
1411,Valentin Mihaila,22.7,2024-2025,24,ro ROU,Parma,it Serie A,21,1288,14.3,16,5,2,0,0.2,0.2,0,0,0,0,22.7,30.1,75.4,1.2,2,1.2,0.2,2.9,340.9,99.4,12.6,15.2,83.4,7.2,9.1,79.2,1.7,3.5,48,"FW,MF"
1412,Dodi Lukebakio,22.7,2024-2025,26,be BEL,Sevilla,es La Liga,38,3092,34.4,36,2,0,0.3,0.1,0.4,0.3,0,0,0,22.7,30.6,74.1,1.6,1.5,0.7,0.2,2.7,355.2,77.3,13.5,15.4,87.7,6.7,8.9,74.6,2,4.4,45,FW
1413,Ado Onaiwu,22.7,2024-2025,28,jp JPN,Auxerre,fr Ligue 1,31,957,10.6,9,22,2,0.4,0.1,0.5,0.4,0,0,0,22.7,30.9,73.3,0.9,2,0.8,0.4,3.1,299.9,76.5,13.4,17.1,78.6,6.6,8.4,78.7,0.8,1.2,69.2,"MF,FW"
1414,Fabio Miretti,22.6,2024-2025,20,it ITA,Genoa,it Serie A,25,1677,18.6,22,3,2,0.2,0.2,0.3,0.2,0,0,0,22.6,30.4,74.4,1.2,1.3,0.7,0.1,2.9,390.7,107.7,11.1,12.6,88,8.3,10.1,82,2.3,5.2,44.3,"MF,FW"
1415,Hwang Hee-chan,22.6,2024-2025,28,kr KOR,Wolves,eng Premier League,21,661,7.3,5,16,8,0.3,0,0.3,0.3,0,0,0,22.6,27.8,81.4,0.4,1,0.5,0.3,1.6,293,57.2,15,17.2,87.3,5.9,6.9,84.3,0.5,0.7,80,"MF,FW"
1416,Mathys Tel,22.6,2024-2025,19,fr FRA,2 Teams,2 Comps,21,1167,13,13,8,10,0.2,0.2,0.3,0.1,0.1,0.1,0,22.6,30.4,74.4,1.2,1.3,1.4,0.4,2.3,377.4,76.7,11.3,13.7,82.6,8.5,10.8,78.6,2.2,3.7,58.3,FW
1417,Darwin Machís,22.5,2024-2025,31,ve VEN,Valladolid,es La Liga,18,639,7.1,7,11,12,0,0.1,0.1,0,0,0,0,22.5,37.7,59.7,1.1,2.4,0.7,0.6,2.7,412,121.8,10.4,12.4,84.1,7.9,12.5,62.9,3.2,9.7,33.3,"MF,FW"
1418,Deniz Undav,22.5,2024-2025,28,de GER,Stuttgart,de Bundesliga,27,1726,19.2,20,7,0,0.5,0.2,0.6,0.5,0,0,0,22.5,30.7,73.2,1.4,2,1.4,0.1,3.7,328.2,90.8,13.2,16.2,81.7,7,9.5,74.2,1.4,2.4,56.5,"FW,MF"
1419,Wilson Odobert,22.4,2024-2025,19,fr FRA,Tottenham,eng Premier League,16,850,9.4,9,7,0,0.1,0,0.1,0.1,0,0,0,22.4,29,77.4,0.6,1.2,1.3,0.3,2.9,304.7,60,14.7,15.9,92.7,5.7,7.7,74,0.8,1.3,66.7,"FW,MF"
1420,Nico Williams,22.4,2024-2025,22,es ESP,Athletic Club,es La Liga,29,1996,22.2,22,7,0,0.2,0.2,0.5,0.2,0,0,0,22.4,31.8,70.5,1.8,1,1.3,0.4,3.1,351.6,81.2,12.8,15.2,83.7,7.2,9.6,74.8,1.8,4,44.3,FW
1421,Justin Kluivert,22.4,2024-2025,25,nl NED,Bournemouth,eng Premier League,34,2340,26,29,5,0,0.5,0.2,0.7,0.2,0.2,0.2,0,22.4,30.1,74.4,1.7,1.7,1.3,0.2,4,340.2,89.6,12.4,14.7,84.3,7.3,9.5,76.2,1.7,3.3,51.7,MF
1422,Diego López,22.4,2024-2025,22,es ESP,Valencia,es La Liga,38,2737,30.4,35,3,0,0.3,0.2,0.4,0.3,0,0,0,22.4,31,72.1,1.2,1.4,1.1,0.3,2.8,346.6,82.3,12.3,15,81.6,8.3,10.5,78.4,1.2,2,60.7,"MF,FW"
1423,Eren Dinkçi,22.3,2024-2025,22,de GER,Freiburg,de Bundesliga,23,1196,13.3,13,10,2,0,0.2,0.2,0,0,0,0,22.3,29.6,75.4,1.7,1.8,0.8,0.2,2.6,318.3,82,12,14.1,85,8.2,10,82,0.9,2,46.2,"MF,FW"
1424,Finn Porath,22.3,2024-2025,27,de GER,Holstein Kiel,de Bundesliga,31,1970,21.9,20,11,1,0.1,0.1,0.2,0.1,0,0,0,22.3,33.4,66.9,1,2.5,1,0.5,2.6,445.6,163,8.4,9.5,88.5,9.9,13.4,74.1,3.7,8.4,44.3,"DF,MF"
1425,Cody Gakpo,22.3,2024-2025,25,nl NED,Liverpool,eng Premier League,35,1935,21.5,23,12,0,0.5,0.2,0.7,0.5,0,0,0,22.3,29.5,75.7,1.8,1.1,1.3,0.4,2.4,319.5,77,13.9,16,86.9,6.9,10.5,66.2,0.9,1.7,52.8,FW
1426,Tomás Conechny,22.3,2024-2025,26,ar ARG,Alavés,es La Liga,22,847,9.4,9,13,9,0.1,0,0.1,0.1,0,0,0,22.3,35,63.8,0.7,1.5,1.2,0.9,2.4,351.2,110.2,11.9,16.5,72.3,8.7,12.8,68.3,1.1,3.1,34.5,"FW,MF"
1427,Riccardo Sottil,22.3,2024-2025,25,it ITA,2 Teams,it Serie A,24,956,10.6,9,15,12,0.1,0.1,0.2,0.1,0,0,0,22.3,31.3,71.2,1.4,0.7,1.4,0.6,2,343.5,59,12.4,14.9,83.5,8.8,12.1,73.4,0.8,2.7,31,"FW,MF"
1428,Iliman Ndiaye,22.3,2024-2025,24,sn SEN,Everton,eng Premier League,33,2430,27,29,4,0,0.3,0,0.3,0.3,0.1,0.1,0,22.3,27.3,81.8,0.7,1.6,0.5,0.2,2.2,334.7,69.4,12.9,14.9,86.8,7.4,8.5,87,1.4,2,69.1,FW
1429,João Pedro,22.3,2024-2025,22,br BRA,Brighton,eng Premier League,27,1948,21.6,23,4,0,0.5,0.3,0.7,0.2,0.2,0.2,0,22.3,30.5,72.9,1.4,1.9,1.7,0.2,3.6,316.3,81.6,13.9,17.6,78.7,6.1,8.2,75.1,1.3,2,65.9,"FW,MF"
1430,Crysencio Summerville,22.2,2024-2025,22,nl NED,West Ham,eng Premier League,19,786,8.7,7,12,1,0.1,0.1,0.2,0.1,0,0,0,22.2,29.1,76.4,1.9,1.5,1.4,0.6,2.1,329.9,73.3,14.3,16.9,84.5,6.3,7.1,88.7,1.3,2.5,50,"FW,MF"
1431,Jordan Ayew,22.2,2024-2025,32,gh GHA,2 Teams,eng Premier League,31,1659,18.4,19,12,6,0.3,0,0.3,0.2,0.1,0.1,0,22.2,29.8,74.4,0.9,1.4,0.8,0.4,2.5,331.4,66.2,12,13.8,87.1,7.7,10.3,75.1,1.4,3.3,41.7,"FW,MF"
1432,Peque,22.1,2024-2025,21,es ESP,Sevilla,es La Liga,26,1134,12.6,14,12,11,0.1,0.1,0.2,0.1,0,0,0,22.1,27.7,79.9,1,2,0.5,0.1,2.8,328.4,67.6,13.1,15.2,85.9,6.8,8.3,81.9,1.3,2.1,65.4,"MF,FW"
1433,Jamie Leweling,22.1,2024-2025,23,de GER,Stuttgart,de Bundesliga,27,1663,18.5,22,5,0,0.1,0.1,0.2,0.1,0,0,0,22.1,31.4,70.5,1.4,1.4,1.4,0.5,2.8,317,75.8,13.6,16.3,83.1,7.4,9.7,76.1,0.8,2.5,29.8,"MF,FW"
1434,Ezequiel Ávila,22.1,2024-2025,30,ar ARG,Betis,es La Liga,19,677,7.5,6,13,5,0.3,0,0.3,0.3,0,0,0,22.1,31.6,69.7,2,0.1,1.5,0.8,2.4,367.2,81.6,11.8,14.6,80.9,7.4,10.4,71.8,2.1,4,53.3,FW
1435,Omar Alderete,21.9,2024-2025,27,py PAR,Getafe,es La Liga,34,2971,33,34,0,0,0,0,0,0,0,0,0,21.9,33.5,65.5,0.3,4,0.5,0.1,3.4,514.7,238.1,5.8,7.1,81.3,11.1,14.1,79.1,4.9,11.1,44.5,DF
1436,Leon Bailey,21.9,2024-2025,26,jm JAM,Aston Villa,eng Premier League,24,1139,12.7,14,10,5,0.1,0.2,0.2,0.1,0,0,0,21.9,30.8,71,1.3,1.3,1.6,0.2,2.8,340.8,83.4,12,14.7,81.7,7.9,9.7,81.3,1.4,3,47.4,"FW,MF"
1437,Urko González,21.9,2024-2025,23,es ESP,2 Teams,es La Liga,18,1419,15.8,17,1,9,0,0.1,0.1,0,0,0,0,21.9,28.5,76.8,0.6,2.3,0.3,0,4,376.4,117,10.1,12.6,80.3,9.3,10.9,84.9,2,3.2,64,MF
1438,Mert Kömür,21.9,2024-2025,19,de GER,Augsburg,de Bundesliga,20,654,7.3,5,15,9,0.3,0.1,0.4,0.3,0,0,0,21.9,30.4,71.9,1.8,0.4,0.3,0.1,1.5,330.6,101,13.3,16.2,82.2,5.1,6.7,75.5,2.3,4.3,54.8,MF
1439,Davide Frattesi,21.8,2024-2025,24,it ITA,Inter,it Serie A,28,1225,13.6,9,19,8,0.4,0.1,0.4,0.4,0,0,0,21.8,26.4,82.5,0.5,1.5,0.4,0.1,2.3,316.2,64.7,12.8,14.2,90.2,7.7,9.2,84,1,1.2,81.3,MF
1440,Dan Ndoye,21.8,2024-2025,23,ch SUI,Bologna,it Serie A,30,2143,23.8,26,4,1,0.3,0.2,0.5,0.3,0.1,0.1,0,21.8,29.6,73.7,1.1,1.6,1.1,0.1,3.1,345.2,77.9,12.1,14.2,85.2,7.6,9.9,77,1.5,2.9,50,FW
1441,Ferrán Torres,21.7,2024-2025,24,es ESP,Barcelona,es La Liga,27,1106,12.3,12,15,2,0.8,0.5,1.3,0.8,0,0,0,21.7,29.3,74.2,1.5,1.4,1.5,0.2,2.8,277.4,62.9,13.3,15.6,85.4,5.8,7.4,78,0.9,2.4,36.7,"FW,MF"
1442,Patrick Wimmer,21.7,2024-2025,23,at AUT,Wolfsburg,de Bundesliga,29,1770,19.7,22,7,0,0.2,0.2,0.4,0.2,0,0,0,21.7,33.1,65.7,1.2,2.8,1.2,0.2,4.6,374.4,140.2,11,15.2,72.2,7.7,10.5,73.4,2.4,4.3,57.1,"MF,FW"
1443,Jamie Gittens,21.6,2024-2025,19,eng ENG,Dortmund,de Bundesliga,32,1776,19.7,21,11,2,0.4,0.2,0.6,0.4,0,0,0,21.6,28.3,76.5,1.1,0.9,1.2,0.2,2.1,296.1,51.2,14.1,16.1,87.4,5.6,7.3,77.1,1,1.9,50,"FW,MF"
1444,Mirko Mari?,21.6,2024-2025,29,hr CRO,2 Teams,it Serie A,18,462,5.1,5,13,17,0,0,0,0,0,0,0,21.6,30.2,71.6,0.6,1.9,0.8,0.2,2.3,293.4,70.5,11.9,17.1,69.3,7.6,8.6,88.6,0.4,0.8,50,"FW,MF"
1445,Neal Maupay,21.6,2024-2025,27,fr FRA,2 Teams,2 Comps,22,1042,11.6,13,9,11,0.3,0.3,0.7,0.3,0,0,0,21.6,25.7,84.2,1.1,1.3,1,0,3.2,294,56.2,12.8,14.6,87.6,6,7,85.2,1.2,1.4,87.5,"FW,MF"
1446,Jesper Lindstrøm,21.6,2024-2025,24,dk DEN,Everton,eng Premier League,25,1239,13.8,15,10,3,0,0.1,0.1,0,0,0,0,21.6,31.1,69.4,1.4,1.3,0.9,0.5,1.8,333.6,97,14.1,16.3,86.2,4.7,7.2,65.7,2.1,4.7,44.6,FW
1447,Adama Traoré,21.5,2024-2025,28,es ESP,Fulham,eng Premier League,36,1772,19.7,18,18,1,0.1,0.4,0.5,0.1,0,0,0,21.5,29.8,72.2,2.1,1.8,1.9,1.1,3.5,337.5,85.5,12,14.5,82.5,7.3,9.9,73.7,1.5,2.7,55.6,"FW,MF"
1448,Anuar,21.5,2024-2025,29,ma MAR,Valladolid,es La Liga,26,1720,19.1,21,5,2,0.1,0,0.1,0.1,0,0,0,21.5,26.4,81.4,0.4,1,0.2,0.1,1.6,321.1,59.2,11.4,13,87.1,8.3,10,82.7,0.9,1.6,54.8,"MF,FW"
1449,Adri Embarba,21.4,2024-2025,32,es ESP,Rayo Vallecano,es La Liga,35,1607,17.9,18,17,3,0.1,0.1,0.1,0.1,0,0,0,21.4,33.5,63.9,1.1,1.3,1,0.6,2.5,341.9,83.2,12.2,15.2,80.1,5.8,8.7,66.7,2.4,6.6,36.4,"FW,MF"
1450,Gerrit Holtmann,21.4,2024-2025,29,ph PHI,Bochum,de Bundesliga,23,1136,12.6,12,11,2,0.2,0.1,0.2,0.2,0,0,0,21.4,32.6,65.7,1.6,1.3,2,1.3,2.6,374.3,126.8,10.9,12.8,85.2,7.5,11,68.3,2.5,5.1,48.4,"DF,FW"
1451,Iglesias,21.4,2024-2025,26,es ESP,Getafe,es La Liga,37,2888,32.1,32,5,1,0,0,0,0,0,0,0,21.4,37.5,57.1,0.6,2.6,0.7,0.4,2.6,409.1,212.9,9.1,12,76.1,9.4,15.1,62.1,2.6,8.1,31.8,DF
1452,Rubén Peña,21.3,2024-2025,33,es ESP,Osasuna,es La Liga,25,775,8.6,7,18,11,0,0,0,0,0,0,0,21.3,35.9,59.2,1.5,2.3,1.2,0.7,3.1,353.6,163.5,10.9,14.2,77,8.2,14.2,58.2,1.9,4.5,41,"FW,DF"
1453,Steven Skrzybski,21.2,2024-2025,31,de GER,Holstein Kiel,de Bundesliga,24,1323,14.7,15,9,0,0.4,0.2,0.6,0.3,0.1,0.1,0,21.2,30.3,70,1.5,2.4,1.1,0.5,4.4,370.1,111.9,9.8,12.5,78.3,8.8,11.9,74.3,2.1,4.2,50,"MF,FW"
1454,Nathan N'Goumou,21.2,2024-2025,24,cm CMR,Gladbach,de Bundesliga,19,828,9.2,9,10,1,0.2,0.1,0.3,0.2,0,0,0,21.2,28.8,73.6,0.7,1.2,1,0.3,1.7,278.4,61,13.9,16.5,84.2,5.9,8.4,70.1,0.5,1.3,41.7,FW
1455,Lucas Beltrán,21.2,2024-2025,23,ar ARG,Fiorentina,it Serie A,33,1953,21.7,21,12,4,0.2,0.2,0.4,0.1,0.1,0.1,0,21.2,27.2,77.7,1.3,1.8,0.8,0.1,2.9,319.5,65.5,11.3,13.5,83.3,7.4,9.1,81.7,1.2,2,59.1,"FW,MF"
1456,Darko Brašanac,21.2,2024-2025,32,rs SRB,Leganés,es La Liga,30,1617,18,15,15,5,0.1,0.1,0.2,0.1,0,0,0,21.2,27.9,75.7,0.5,1.6,0.1,0,2.4,297.2,75.5,12.4,14.2,87.1,7,9.4,74.4,0.8,1.8,43.8,MF
1457,Mathieu Cafaro,21.1,2024-2025,27,fr FRA,Saint-Étienne,fr Ligue 1,15,732,8.1,9,6,1,0.1,0,0.1,0.1,0,0,0,21.1,29.4,72,1.6,1.5,1.1,0.5,2,339.3,92.2,11.4,14.1,80.9,8,10.3,77.4,1.6,3.9,40.6,"MF,FW"
1458,Munir El Haddadi,21,2024-2025,28,ma MAR,Leganés,es La Liga,25,862,9.6,10,15,7,0.4,0,0.4,0.4,0,0,0,21,28,75,0.8,2,0.6,0.1,3,278.4,68.6,13.2,15.2,86.3,7.1,9.4,75.6,0.2,1.3,16.7,"FW,MF"
1459,Iker Bravo,21,2024-2025,19,es ESP,Udinese,it Serie A,29,682,7.6,4,25,7,0.3,0.1,0.4,0.3,0,0,0,21,25.9,81.1,0.9,1.3,0.8,0,2.4,300.6,54.4,11.5,12.9,88.8,6.1,7.4,82.1,1.5,2.6,55,"FW,MF"
1460,Takumi Minamino,21,2024-2025,29,jp JPN,Monaco,fr Ligue 1,31,2231,24.8,27,4,0,0.2,0.1,0.4,0.2,0,0,0,21,29.7,70.7,1.6,2.7,1.3,0,4.6,296.1,102.7,12.7,15.8,80.1,6.6,9,73.2,0.8,1.9,41.7,"MF,FW"
1461,Ilias Akhomach,21,2024-2025,20,ma MAR,Villarreal,es La Liga,11,584,6.5,7,4,1,0.2,0,0.2,0.2,0,0,0,21,28.5,73.5,1.4,0.8,1.2,0.3,1.8,333,82.3,11.7,13.6,86.4,7.1,9.7,73,1.2,2.2,57.1,"MF,FW"
1462,Carlos Vicente,21,2024-2025,25,es ESP,Alavés,es La Liga,37,3092,34.4,35,2,1,0.1,0.1,0.3,0.1,0,0,0,21,33.2,63.2,1.8,1,1.1,0.8,2,350.2,118.2,11.3,14.4,78.2,7,10.3,67.8,2.2,5.4,41.6,"FW,MF"
1463,Shuto Machino,20.9,2024-2025,24,jp JPN,Holstein Kiel,de Bundesliga,32,1953,21.7,23,9,2,0.5,0.1,0.6,0.4,0.1,0.1,0,20.9,32.6,64.2,1.2,1.6,0.9,0.3,2.7,368.8,126.3,9.8,12.3,79.7,8.3,11.4,72.9,2.4,6.3,38,"FW,MF"
1464,Luca Kerber,20.9,2024-2025,22,de GER,Heidenheim,de Bundesliga,23,783,8.7,7,16,9,0.2,0,0.2,0.2,0,0,0,20.9,28.4,73.7,0.7,1.1,0.6,0.1,1.8,383.7,91.4,8,10.2,78.7,9.8,12.1,81,2.3,4.1,55.6,"MF,DF"
1465,Julio Enciso,20.9,2024-2025,20,py PAR,2 Teams,eng Premier League,25,1163,12.9,14,11,7,0.2,0.2,0.4,0.2,0,0,0,20.9,30.8,67.8,1.4,2.4,0.9,0.2,3.3,328.3,93.7,10.8,13.7,79.1,7.8,10.6,73.7,1.2,3.4,34.1,"MF,FW"
1466,Marvin Ducksch,20.8,2024-2025,30,de GER,Werder Bremen,de Bundesliga,32,2418,26.9,30,2,0,0.3,0.3,0.6,0.3,0,0.1,0,20.8,33.8,61.7,2.3,1.6,1.1,0.3,3.2,366.1,119.7,9,11.9,76.2,6.9,10.8,63.6,3.2,7.4,43.5,FW
1467,Dani Raba,20.8,2024-2025,28,es ESP,Leganés,es La Liga,29,1879,20.9,24,5,5,0.4,0.3,0.7,0.2,0.2,0.2,0,20.8,31,67.1,2.3,2.4,1.1,0.2,3.3,364.9,119.7,9.4,11.4,82.4,8,10.9,73.2,2.6,6.3,40.9,"FW,MF"
1468,Selim Amallah,20.8,2024-2025,27,ma MAR,Valladolid,es La Liga,24,1376,15.3,18,6,7,0.2,0.1,0.3,0.1,0.1,0.1,0,20.8,26.6,78.3,0.9,2.7,0.7,0,3.7,363.7,108.5,10.5,11.6,91,6.5,7.7,83.9,2.9,5,59.2,MF
1469,Ante Rebi?,20.8,2024-2025,30,hr CRO,Lecce,it Serie A,27,788,8.8,7,20,6,0.1,0,0.1,0.1,0,0,0,20.8,34,61.1,2.1,2.1,1.3,0.3,4.1,291.1,98.8,12.4,17.5,71.2,5.5,8.7,63.2,1.5,3.1,48.1,"FW,MF"
1470,Mamadou Diakhon,20.8,2024-2025,18,fr FRA,Reims,fr Ligue 1,28,858,9.5,5,23,4,0.2,0.1,0.3,0.2,0,0,0,20.8,27,77,1.4,0.5,0.6,0.3,1.8,364.8,44.1,8.6,10.7,80.4,10.1,12.2,82.8,1.8,2.3,77.3,"FW,MF"
1471,Dani Rodríguez,20.7,2024-2025,36,es ESP,Mallorca,es La Liga,37,2162,24,26,11,0,0.2,0.3,0.5,0.2,0,0,0,20.7,29.8,69.7,1.4,1.7,0.7,0.2,3.2,344.5,105.6,10.7,13,82.1,7.1,9.4,75.7,2.2,5.4,41.1,"MF,FW"
1472,Lassine Sinayoko,20.7,2024-2025,24,ml MLI,Auxerre,fr Ligue 1,34,2299,25.5,25,9,0,0.2,0.3,0.5,0.2,0,0,0,20.7,26.9,76.7,1.4,1.1,0.7,0.1,2.4,274.6,59.9,12.7,15.2,83.5,5.9,7.2,82.1,0.6,1.1,55.6,"FW,MF"
1473,Jesper Karlsson,20.5,2024-2025,26,se SWE,2 Teams,it Serie A,20,793,8.8,9,11,17,0.2,0,0.2,0.1,0.1,0.1,0,20.5,28.8,71.3,1.4,1,1.2,0.6,2,303.4,67.6,12.8,15.9,80.7,6.1,8.1,76.1,1.2,3,42.3,FW
1474,Marius Bülter,20.5,2024-2025,31,de GER,Hoffenheim,de Bundesliga,25,1729,19.2,22,3,0,0.4,0.1,0.5,0.4,0,0,0,20.5,30.5,67.2,1.1,1.6,1.3,0.6,1.8,333.3,87.7,10.6,13.4,79.4,7.6,10.7,71.2,1.7,4,41.6,"FW,DF"
1475,Ansgar Knauff,20.5,2024-2025,22,de GER,Eint Frankfurt,de Bundesliga,30,1597,17.7,18,12,1,0.2,0.3,0.5,0.2,0,0,0,20.5,30.7,66.7,1.5,1,1.4,0.3,3.3,287,102.1,12.5,16.1,77.3,6.3,10,62.9,0.8,2.1,37.8,"MF,DF"
1476,Léo Scienza,20.5,2024-2025,25,br BRA,Heidenheim,de Bundesliga,25,1153,12.8,13,12,6,0.2,0.2,0.5,0.2,0,0,0,20.5,30.8,66.3,2.7,2.3,1.1,0.6,2.3,351.9,144.2,9.9,12.3,80.9,6.7,10,67.2,3,6.2,48.1,"FW,MF"
1477,Boulaye Dia,20.4,2024-2025,27,sn SEN,Lazio,it Serie A,35,2177,24.2,27,8,2,0.4,0.1,0.5,0.4,0,0,0,20.4,24.4,83.6,1.1,1.5,0.3,0,2.1,321.1,45.9,10.1,11.9,84.8,7.8,8.5,91.3,1.4,1.7,83.3,"MF,FW"
1478,Mehdi Taremi,20.4,2024-2025,32,ir IRN,Inter,it Serie A,26,816,9.1,7,19,10,0.1,0.2,0.3,0,0.1,0.1,0,20.4,25.5,80.1,1.7,1.3,0.6,0,2.8,269.3,51.9,11.9,13.2,90,6.7,8.2,82.4,0.2,0.3,66.7,FW
1479,Hamed Junior Traorè,20.4,2024-2025,24,ci CIV,2 Teams,2 Comps,26,2093,23.3,26,0,1,0.4,0.1,0.5,0.4,0,0,0,20.4,27.5,74.1,1.2,2.3,1.2,0.2,4.3,307.2,98.6,11.3,12.8,88.6,6.2,8.5,73.2,1.6,3.4,46.3,"FW,MF"
1480,Riccardo Orsolini,20.4,2024-2025,27,it ITA,Bologna,it Serie A,30,1878,20.9,23,7,3,0.7,0.2,0.9,0.6,0.1,0.1,0,20.4,31,65.8,1.4,1.6,1.4,0.5,3.3,361.9,105.7,9.4,11.5,81.7,8.1,12.3,65.8,2.3,4.4,52.7,FW
1481,Georges Mikautadze,20.2,2024-2025,23,ge GEO,Lyon,fr Ligue 1,34,1449,16.1,13,21,0,0.7,0.4,1.1,0.5,0.2,0.2,0.1,20.2,26.5,76.5,1.3,1.3,0.9,0,3.4,272.2,57.5,11.9,14.3,82.7,5.8,7.6,77,0.8,1.1,76.5,FW
1482,Nicolas Viola,20.2,2024-2025,34,it ITA,Cagliari,it Serie A,27,1267,14.1,18,9,10,0.2,0.1,0.3,0.2,0,0,0,20.2,32.1,63.1,2,2.4,0.8,0.1,3.3,364,143.3,10.4,12.6,82,5.7,9.5,59.7,3.4,7.2,47.5,"FW,MF"
1483,Arnaut Danjuma,20,2024-2025,27,nl NED,2 Teams,es La Liga,28,1535,17.1,18,10,5,0.2,0,0.2,0.2,0,0,0,20,27.4,72.9,1.3,1.1,1.4,0.5,2.5,340.5,88.7,10,11.7,85.5,7.6,9.9,76.8,1.9,3.7,50.8,FW
1484,Alex Král,20,2024-2025,26,cz CZE,Espanyol,es La Liga,37,2714,30.2,29,8,0,0,0,0,0,0,0,0,20,27.8,71.9,0.4,2.5,0.4,0.1,2.6,336.1,86.8,9.7,12.1,80.1,8.2,10,81.7,1.7,3.4,48.5,MF
1485,Facundo Garcés,19.9,2024-2025,24,my MAS,Alavés,es La Liga,10,678,7.5,7,3,10,0,0,0,0,0,0,0,19.9,26.2,76.1,0.4,1.1,0.1,0,1.6,399.7,167,4.6,5.3,87.5,12.7,15.1,84.2,2.3,5,44.7,DF
1486,André Silva,19.9,2024-2025,28,pt POR,2 Teams,de Bundesliga,15,507,5.6,4,11,16,0.4,0.4,0.7,0,0.4,0.5,0.2,19.9,28,70.9,1.4,1.1,1.2,0.2,2.5,279.1,61.1,10.1,12.8,79.2,6,7.6,79.1,1.2,1.4,87.5,FW
1487,Raúl Moro,19.9,2024-2025,21,es ESP,Valladolid,es La Liga,33,2341,26,26,7,0,0.2,0.2,0.3,0.2,0,0,0,19.9,30.6,64.9,1.7,1.6,1.5,0.8,3.1,392.7,117.8,8.6,10.9,78.9,6.9,9.9,69.8,3.9,7.3,54,"MF,FW"
