,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,,,Short,,,Medium,,,Long,,,
Rk,Player,Cmp/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp/90,Att,Cmp%,KP,03-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Pos
1401,Martín Payero,23,2024-2025,25,ar ARG,Udinese,it Serie A,25,1381,15.3,16,9,2,0.1,0.1,0.1,0.1,0,0,0,23,29.6,77.8,1,3,0.5,0.4,3.3,396.3,89.6,10.7,11.7,91.1,8.9,10.7,83.5,2.5,4.8,52.7,MF
1402,Bryan Mbeumo,23,2024-2025,24,cm CMR,Brentford,eng Premier League,38,3414,37.9,38,0,0,0.5,0.2,0.7,0.4,0.1,0.2,0,23,34.8,66.1,1.8,1.7,1.6,0.5,3.7,366.5,114,12.5,15.9,79.1,8.3,11.6,71,1.8,4.8,37.2,FW
1403,Nikola Milenkovi?,23,2024-2025,26,rs SRB,Nott'ham Forest,eng Premier League,37,3330,37,37,0,0,0.1,0.1,0.2,0.1,0,0,0,23,27.9,82.3,0.2,1.4,0.1,0,1.4,462,170.9,7,7.9,88.1,12.8,14.5,88.3,2.8,4.5,61.7,DF
1404,Cheikh Niasse,22.9,2024-2025,24,sn SEN,Hellas Verona,it Serie A,11,755,8.4,8,3,2,0,0,0,0,0,0,0,22.9,28.6,80,0.5,1.9,0.2,0,3,373.4,64.8,11,13.2,82.9,8.7,10.7,81.1,2.1,2.6,81.8,MF
1405,Jonathan Ikone,22.9,2024-2025,26,fr FRA,2 Teams,it Serie A,27,874,9.7,6,21,5,0.2,0,0.2,0.2,0,0,0,22.9,27.8,82.2,0.4,1.5,1.1,0,3.1,326.8,69.8,14,16.3,86.1,7.3,8.4,86.6,0.7,0.9,77.8,FW
1406,Tino Kadewere,22.9,2024-2025,28,zw ZIM,Nantes,fr Ligue 1,12,512,5.7,6,6,1,0.2,0.4,0.5,0.2,0,0,0,22.9,30.4,75.1,1.4,1.2,0.5,0,3.3,342.2,96.2,11.8,14.9,78.8,9.1,11.3,81.3,0.9,1.2,71.4,"MF,FW"
1407,Giacomo Raspadori,22.8,2024-2025,24,it ITA,Napoli,it Serie A,26,1103,12.3,11,15,12,0.5,0.1,0.6,0.5,0,0,0,22.8,33.5,68.3,2.3,2.2,0.6,0.2,3.4,412.7,112.1,10.8,13.2,81.5,9,12.1,74.3,2.7,5.8,46.5,"FW,MF"
1408,Francesco Zampano,22.8,2024-2025,30,it ITA,Venezia,it Serie A,24,1639,18.2,17,7,11,0.1,0.1,0.2,0.1,0,0,0,22.8,31.2,73.2,0.7,1.4,0.9,0.3,2.3,371.4,118.4,12.2,14,87.1,8.5,11.8,72.1,1.6,3.3,50,DF
1409,Nathan Broadhead,22.8,2024-2025,26,wls WAL,Ipswich Town,eng Premier League,18,702,7.8,7,11,7,0.3,0,0.3,0.3,0,0,0,22.8,29.2,78.1,0.9,1.5,0.8,0,1.8,317.1,58.6,14.1,15.8,89.4,7.4,9.2,80.6,0.4,1.5,25,"MF,FW"
