Rk,Player,Gls/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls/90,Ast,G+A,G-PK,PK,PKatt,PKm,Pos
1401,Jackson Irvine,0,2024-2025,31,au AUS,St. Pauli,de Bundesliga,29,2610,29,29,0,0,0,0.2,0.2,0,0,0,0,MF
1402,Raúl Asencio,0,2024-2025,21,es ESP,Real Madrid,es La Liga,23,1670,18.6,18,5,3,0,0.1,0.1,0,0,0,0,DF
1403,Arthur Melo,0,2024-2025,27,br BRA,Girona,es La Liga,15,941,10.5,10,5,0,0,0,0,0,0,0,0,MF
1404,Timo Werner,0,2024-2025,28,de GER,Tottenham,eng Premier League,18,516,5.7,4,14,3,0,0.5,0.5,0,0,0,0,"FW,MF"
1405,Oriol Romeu,0,2024-2025,32,es ESP,Girona,es La Liga,25,1356,15.1,17,8,5,0,0,0,0,0,0,0,MF
1406,Adam Wharton,0,2024-2025,20,eng ENG,Crystal Palace,eng Premier League,20,1318,14.6,16,4,1,0,0.1,0.1,0,0,0,0,MF
1407,Raúl Albiol,0,2024-2025,38,es ESP,Villarreal,es La Liga,15,1188,13.2,14,1,13,0,0,0,0,0,0,0,DF
1408,Djibril Sidibé,0,2024-2025,32,fr FRA,Toulouse,fr Ligue 1,28,2101,23.3,24,4,0,0,0.1,0.1,0,0,0,0,DF
1409,Youssef Maleh,0,2024-2025,25,ma MAR,Empoli,it Serie A,22,1510,16.8,17,5,1,0,0.1,0.1,0,0,0,0,MF
1410,Eren Dinkçi,0,2024-2025,22,de GER,Freiburg,de Bundesliga,23,1196,13.3,13,10,2,0,0.2,0.2,0,0,0,0,"MF,FW"
1411,Nathan Wood-Gordon,0,2024-2025,22,eng ENG,Southampton,eng Premier League,11,773,8.6,9,2,14,0,0,0,0,0,0,0,DF
1412,Glen Kamara,0,2024-2025,28,fi FIN,Rennes,fr Ligue 1,13,662,7.4,8,5,3,0,0.1,0.1,0,0,0,0,MF
1413,James Garner,0,2024-2025,23,eng ENG,Everton,eng Premier League,21,1594,17.7,17,4,1,0,0.1,0.1,0,0,0,0,"MF,DF"
1414,Suso,0,2024-2025,30,es ESP,Sevilla,es La Liga,16,606,6.7,4,12,14,0,0.3,0.3,0,0,0,0,"FW,MF"
