Rk,Player,xG/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,xG/90,npxG,xAG,xG+xAG,xA,npxG+xAG,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Pos
1601,Ben Davies,0,2024-2025,31,wls WAL,Tottenham,eng Premier League,17,1331,14.8,14,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.3,0,0,0.1,20,17,0,DF
1602,Marco Friedl,0,2024-2025,26,at AUT,Werder Bremen,de Bundesliga,26,2161,24,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.2,0,0,0.1,75,14.1,0,DF
1603,Botond Balogh,0,2024-2025,22,hu HUN,Parma,it Serie A,29,2053,22.8,23,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.1,0,,0,0,5.3,0,DF
1604,Alejandro Balde,0,2024-2025,20,es ESP,Barcelona,es La Liga,32,2284,25.4,26,6,3,0,0.2,0.2,0,0,0,0,0,0,0.1,0.2,0.1,0.2,0,0,0,0.04,0.5,0,0,0.1,25,22,0,DF
1605,Pedro Chirivella,0,2024-2025,27,es ESP,Nantes,fr Ligue 1,30,2348,26.1,28,2,1,0,0.1,0.1,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0.06,0.3,0,0,0.1,25,21,0,MF
1606,Omar Traoré,0,2024-2025,26,de GER,Heidenheim,de Bundesliga,30,2616,29.1,30,0,2,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0.03,0.6,0,0,0.1,18.8,24.8,0,DF
1607,Giorgio Altare,0,2024-2025,25,it ITA,Venezia,it Serie A,12,753,8.4,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.4,0,0,0.1,33.3,15.2,0,DF
1608,Antonio Candela,0,2024-2025,24,it ITA,2 Teams,2 Comps,26,1914,21.3,24,2,9,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0.06,0.3,0,,0,0,18.7,0,DF
1609,Giuseppe Pezzella,0,2024-2025,26,it ITA,Empoli,it Serie A,35,2878,32,34,1,2,0,0.1,0.1,0,0,0,0,0,0,0.1,0.2,0.1,0.2,0,0,0,0.04,0.5,0,0,0.1,20,20.6,0,"DF,FW"
1610,Alan Matturro,0,2024-2025,19,uy URU,Genoa,it Serie A,13,900,10,9,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.4,0,0,0.3,75,15.2,0,DF
1611,Morato,0,2024-2025,23,br BRA,Nott'ham Forest,eng Premier League,26,907,10.1,6,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.2,0,0,0.1,50,8.6,0,DF
1612,Guido Rodríguez,0,2024-2025,30,ar ARG,West Ham,eng Premier League,23,1149,12.8,16,7,13,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.03,0.6,0,0,0.1,12.5,27.8,0,MF
1613,Jean-Clair Todibo,0,2024-2025,24,fr FRA,West Ham,eng Premier League,27,1825,20.3,20,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.2,0,,0,0,12.8,0,DF
