Rk,Player,xG/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,xG/90,npxG,xAG,xG+xAG,xA,npxG+xAG,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Pos
1201,Francisco Perez,0,2024-2025,21,es ESP,Valencia,es La Liga,26,570,6.3,4,22,5,0,0,0,0,0,0,0,0,0,0.4,0.5,0.2,0.5,0,0,-0.4,0.05,0.9,0,0,0.2,16.7,18.3,0,"FW,MF"
1202,Iglesias,0,2024-2025,26,es ESP,Getafe,es La Liga,37,2888,32.1,32,5,1,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0.08,0.7,0,0,0.1,14.3,25.7,0,DF
1203,Caleb Okoli,0,2024-2025,23,it ITA,Leicester City,eng Premier League,19,1125,12.5,12,7,18,0.1,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.3,0.25,0.5,0.2,50,13.5,0,DF
1204,Miloš Veljkovi?,0,2024-2025,28,rs SRB,Werder Bremen,de Bundesliga,14,1029,11.4,11,3,4,0,0.1,0.1,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0.1,0.28,0.2,0,0,0.1,50,2.1,0,DF
1205,Valentín Barco,0,2024-2025,20,ar ARG,3 Teams,3 Comps,21,1445,16.1,17,4,8,0,0.1,0.1,0,0,0,0,0,0,0.1,0.2,0.1,0.2,0,0,0,0.05,1.1,0,0,0.1,5.9,24.9,0.2,"DF,MF"
1206,Wout Faes,0,2024-2025,26,be BEL,Leicester City,eng Premier League,34,2815,31.3,30,4,1,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0.13,0.4,0.08,1,0,8.3,9.7,0,DF
1207,Frank Onyeka,0,2024-2025,26,ng NGA,2 Teams,2 Comps,33,2611,29,30,3,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0,0.06,0.8,0,0,0.2,25,20.3,0,MF
1208,Emmanuel Biumla,0,2024-2025,19,fr FRA,Angers,fr Ligue 1,17,1336,14.8,15,2,4,0.1,0,0.1,0.1,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0.18,0.3,0.25,0.5,0.1,50,13.7,0,DF
1209,Carlos Benavídez,0,2024-2025,26,uy URU,Alavés,es La Liga,18,487,5.4,6,12,12,0.2,0.2,0.4,0.2,0,0,0,0,0,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.05,0.9,0.2,0.5,0.4,40,21.4,0,MF
1210,Alex Král,0,2024-2025,26,cz CZE,Espanyol,es La Liga,37,2714,30.2,29,8,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0.07,0.7,0,0,0.1,9.5,16,0,MF
