,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,,,Short,,,Medium,,,Long,,,
234,Thomas Partey,54,2024-2025,31,gh GHA,Arsenal,eng Premier League,35,2797,31.1,31,4,2,0.1,0.1,0.2,0.1,0,0,0,54,61.8,87.4,0.6,5.4,1.1,0.1,6,859,230.2,28.1,30.3,92.8,21.9,24.7,88.9,2.9,4.6,63.6,"MF,DF"
235,Jakub Kiwior,54,2024-2025,24,pl POL,Arsenal,eng Premier League,17,1122,12.5,10,7,20,0.1,0,0.1,0.1,0,0,0,54,59,91.4,0.4,5.2,0.2,0,3.9,930.3,272.1,22.3,23.6,94.6,28.7,30.2,95.2,2.4,4.3,56.6,DF
236,Mattéo Guendouzi,54,2024-2025,25,fr FRA,Lazio,it Serie A,37,3270,36.3,37,0,0,0,0.1,0.1,0,0,0,0,54,60.1,89.8,1.2,7.9,0.9,0.1,8.7,996,269.4,21.4,22.8,93.7,27,28.7,94,5.1,6.7,76.9,MF
237,Wilfried Singo,53.8,2024-2025,23,ci CIV,Monaco,fr Ligue 1,27,2096,23.3,23,4,1,0,0.1,0.1,0,0,0,0,53.8,62.3,86.2,0.3,4.4,0.5,0,5.1,1004.3,342.1,19.3,20.9,92.2,30,32.5,92.3,4,7.6,52.3,DF
238,Curtis Jones,53.7,2024-2025,23,eng ENG,Liverpool,eng Premier League,33,1712,19,19,14,1,0.2,0.2,0.3,0.2,0,0,0,53.7,57.7,93.1,1.2,4.4,1,0.1,6.2,792.3,166,30.7,31.8,96.5,19.6,21.2,92.3,2.1,2.8,75.5,"MF,DF"
239,Axel Disasi,53.6,2024-2025,26,fr FRA,2 Teams,eng Premier League,13,854,9.5,9,4,13,0.1,0,0.1,0.1,0,0,0,53.6,60.4,88.8,0.5,3.6,0.5,0,3.4,874.5,303.9,25.2,26.7,94.5,26.1,28.7,91.2,1.8,3,60.7,DF
240,Lamine Camara,53.6,2024-2025,20,sn SEN,Monaco,fr Ligue 1,29,2054,22.8,25,4,0,0.1,0.3,0.4,0.1,0,0,0,53.6,64.8,82.8,1.9,5.8,1.1,0.2,6.2,976.4,287.3,22.7,25.5,88.7,24.1,26.7,90.1,6,10.2,58.8,MF
241,Daniel Parejo,53.6,2024-2025,35,es ESP,Villarreal,es La Liga,36,2273,25.3,26,10,0,0.1,0.1,0.2,0.1,0,0.1,0,53.6,61.3,87.5,0.9,7,0.7,0.1,7,1012.7,309.6,21.2,23,92.3,25.1,27.3,91.9,6.7,9.3,71.5,MF
242,Nicolò Barella,53.6,2024-2025,27,it ITA,Inter,it Serie A,33,2493,27.7,29,4,2,0.1,0.2,0.3,0.1,0,0,0,53.6,65.3,82.1,2,6.2,1.9,0.4,8.5,947,279.6,24.3,27.4,88.8,22.9,26.5,86.4,5.4,8.4,64.1,MF
243,Nahuel Molina,53.5,2024-2025,26,ar ARG,Atlético Madrid,es La Liga,30,1590,17.7,17,13,6,0,0.2,0.2,0,0,0,0,53.5,66.9,79.9,0.7,2.4,1.1,0.3,3.5,803.3,287.7,30.5,33.6,90.7,18.5,23,80.5,2.8,6.1,46.3,DF
244,Lewis Hall,53.4,2024-2025,19,eng ENG,Newcastle Utd,eng Premier League,27,2189,24.3,24,3,0,0,0.2,0.2,0,0,0,0,53.4,65.5,81.7,1.4,4.7,0.7,0.2,5.1,904.5,365.6,26.8,29.4,91.3,21.6,25.4,85.1,4.3,8.3,51.5,DF
245,Quentin Merlin,53.4,2024-2025,22,fr FRA,Marseille,fr Ligue 1,27,1589,17.7,21,6,1,0.1,0.2,0.2,0.1,0,0,0,53.4,64.9,82.4,1.4,3.2,1.5,0.5,4.9,888.9,188.3,25.2,28.1,89.5,23.6,27.6,85.5,3.4,5.9,57.1,DF
246,Kevin Danso,53.3,2024-2025,25,at AUT,2 Teams,2 Comps,22,1922,21.4,21,1,0,0,0,0,0,0,0,0,53.3,62,86,0.4,3.7,0.3,0,3.3,988.2,325.4,18.8,21,89.7,30.5,32.9,92.7,3.7,6.9,53.4,DF
247,Javi Rodríguez,53.3,2024-2025,21,es ESP,Celta Vigo,es La Liga,36,2514,27.9,26,10,1,0.1,0.1,0.2,0.1,0,0,0,53.3,61.4,86.7,0.5,3.9,0.4,0,4.1,962.1,292.8,20.6,22.3,92.3,27.5,30,91.8,4.5,7.4,60.9,DF
248,Harry Winks,53.3,2024-2025,28,eng ENG,Leicester City,eng Premier League,22,1538,17.1,17,5,3,0,0.1,0.1,0,0,0,0,53.3,61.2,87.1,1,6.4,0.4,0.3,5.9,825.2,295.4,27.6,29.9,92.2,21.2,23.2,91.2,2.6,4.4,57.9,MF
249,José Campaña,53.2,2024-2025,31,es ESP,Las Palmas,es La Liga,25,1189,13.2,15,10,5,0,0.2,0.2,0,0,0,0,53.2,63.1,84.3,1.1,5.4,0.9,0.3,6.6,940.4,328.4,23.9,26.2,91.3,21.4,24.5,87.3,6.1,9.4,65.3,MF
250,Seko Fofana,53.2,2024-2025,29,ci CIV,Rennes,fr Ligue 1,16,844,9.4,9,7,1,0.1,0.1,0.2,0.1,0,0,0,53.2,58.9,90.4,1.4,4.1,1.4,0.2,7.7,799.5,187.6,30,32.1,93.4,19.3,20.7,93.3,2.1,2.8,76.9,MF
251,Pierre Lees-Melou,53.2,2024-2025,31,fr FRA,Brest,fr Ligue 1,20,1526,17,17,3,1,0.1,0.1,0.2,0.1,0,0,0,53.2,62.3,85.3,1.1,6.5,0.8,0.2,6.2,1030.4,310.8,21.1,23.4,90.2,22.9,25.4,90.3,8.3,11,75.8,MF
252,Éderson,53.1,2024-2025,25,br BRA,Atalanta,it Serie A,37,2881,32,32,5,0,0.1,0,0.2,0.1,0,0,0,53.1,61.4,86.5,1.2,6,1.3,0.2,6.7,977.3,265.5,20.3,23.2,87.7,27,29.1,92.8,5.1,6.8,74.4,MF
253,Benjamin André,53,2024-2025,33,fr FRA,Lille,fr Ligue 1,30,2692,29.9,30,0,0,0,0.1,0.1,0,0,0,0,53,63.9,83,0.7,6.9,0.6,0.1,7,889.2,239.3,25.8,28.8,89.6,21.3,24.6,86.3,4.6,7,66.3,MF
254,Oriol Romeu,53,2024-2025,32,es ESP,Girona,es La Liga,25,1356,15.1,17,8,5,0,0,0,0,0,0,0,53,58.6,90.4,0.5,5.4,0.1,0.1,4.8,920.3,199.8,23.3,25,93.1,24.7,26.3,93.7,4.2,5.4,78,MF
255,Oumar Solet,52.9,2024-2025,24,fr FRA,Udinese,it Serie A,19,1672,18.6,19,0,0,0.1,0.1,0.2,0.1,0,0,0,52.9,59.7,88.5,0.9,2.9,0.5,0.1,3.5,1031.4,286.3,20.2,21.4,94.2,23.6,25.5,92.4,8.7,11.4,76.8,DF
256,Moisés Caicedo,52.8,2024-2025,22,ec ECU,Chelsea,eng Premier League,38,3351,37.2,38,0,0,0,0.1,0.1,0,0,0,0,52.8,58.9,89.7,0.8,6.3,0.9,0.1,5.8,908.7,240.3,24,25.9,92.6,23.6,25.5,92.3,4.3,5.6,76.4,"MF,DF"
257,Patric,52.8,2024-2025,31,es ESP,Lazio,it Serie A,10,607,6.7,5,5,9,0.1,0,0.1,0.1,0,0,0,52.8,59.8,88.3,0.1,3.4,0.3,0.1,4.4,1095.7,325.3,14.8,16,92.6,30.8,31.9,96.7,6.5,10.5,62,DF
258,Joseph Aidoo,52.8,2024-2025,28,gh GHA,2 Teams,es La Liga,9,585,6.5,6,3,14,0,0,0,0,0,0,0,52.8,59.2,89.1,0,1.4,0.3,0,2.3,1103.1,399.8,12.5,13.5,92,33.8,35.5,95.2,6.3,9.7,65.1,DF
259,Sead Kolašinac,52.7,2024-2025,31,ba BIH,Atalanta,it Serie A,23,1903,21.1,23,0,0,0,0.1,0.1,0,0,0,0,52.7,60.3,87.5,0.8,5,0.6,0.1,6.7,814.7,285.5,28.3,30.3,93.4,21.2,24,88.4,2.2,3.6,59.7,DF
260,Mats Wieffer,52.7,2024-2025,24,nl NED,Brighton,eng Premier League,25,1015,11.3,10,15,3,0.1,0.3,0.4,0.1,0,0,0,52.7,61.9,85.1,1.4,4.7,0.8,0.2,5.5,865.6,235,25.4,28.1,90.2,22.9,26.4,86.6,3.4,4.4,76,"DF,MF"
261,Daniel Vivian,52.7,2024-2025,25,es ESP,Athletic Club,es La Liga,32,2608,29,28,4,3,0.1,0,0.1,0.1,0,0,0,52.7,60.5,87.1,0.3,5.7,0.3,0.1,6.4,1091.4,408.9,13.7,15.2,89.8,32.4,34.4,94.3,6.3,9.9,64,DF
262,Matthijs de Ligt,52.6,2024-2025,24,nl NED,Manchester Utd,eng Premier League,29,2123,23.6,25,4,1,0.1,0,0.1,0.1,0,0,0,52.6,58.5,89.9,0.3,2.7,0.1,0,2.3,924.6,252.4,19.2,20.4,94.2,30.9,32.7,94.4,2.2,4.6,49.1,DF
263,Karol Mets,52.6,2024-2025,31,ee EST,St. Pauli,de Bundesliga,10,900,10,10,0,0,0,0,0,0,0,0,0,52.6,63.1,83.4,0.3,4.9,0.3,0.1,5.4,1018.1,372.8,16.5,18.6,88.7,30.2,33,91.5,5.3,10.1,52.5,DF
264,Alejandro Francés,52.6,2024-2025,21,es ESP,Girona,es La Liga,18,1173,13,13,5,18,0,0,0,0,0,0,0,52.6,62.4,84.3,0.3,5.3,0.5,0.2,4.8,978.7,290.9,20.8,22.9,90.6,26.1,27.9,93.7,5.4,9.2,58.3,DF
265,Jorginho,52.5,2024-2025,32,it ITA,Arsenal,eng Premier League,15,704,7.8,9,6,19,0,0,0,0,0,0,0,52.5,60.6,86.7,0.4,5.6,1.3,0,6.1,826.9,205.7,27.5,30,91.5,21.5,24.3,88.4,2.7,4.6,58.3,MF
266,Kirian Rodríguez,52.5,2024-2025,28,es ESP,Las Palmas,es La Liga,21,1758,19.5,21,0,0,0,0.2,0.2,0,0,0,0,52.5,61.6,85.2,0.8,5.4,0.7,0.1,6.6,828.9,249.6,28,30.6,91.5,19.4,22,88.3,3.8,6.1,62.5,MF
267,Corentin Tolisso,52.5,2024-2025,29,fr FRA,Lyon,fr Ligue 1,32,2329,25.9,27,5,1,0.3,0.2,0.4,0.3,0,0,0,52.5,61.9,84.8,1.2,5.7,1.4,0.2,6.4,798.9,232.6,29.1,32.3,90.1,18.6,20.8,89.4,3.1,4.9,62.5,MF
268,Florian Wirtz,52.4,2024-2025,21,de GER,Leverkusen,de Bundesliga,31,2351,26.1,25,6,0,0.4,0.5,0.8,0.3,0.1,0.2,0.1,52.4,67,78.3,2.2,3.7,2.5,0.3,6.7,710.7,198,33.3,38,87.6,14.1,19,74.2,2.6,5.1,51.9,"MF,FW"
269,Lukas Klostermann,52.4,2024-2025,28,de GER,RB Leipzig,de Bundesliga,28,1838,20.4,20,8,3,0,0,0,0,0,0,0,52.4,59.3,88.4,0.1,3.9,0.3,0,4.1,904.6,294.8,22.3,23.6,94.4,27.2,29.7,91.7,2.5,4.4,57.3,DF
270,Yacine Adli,52.4,2024-2025,24,fr FRA,Fiorentina,it Serie A,26,1234,13.7,15,11,5,0.3,0.4,0.7,0.3,0,0,0,52.4,64.9,80.7,1.7,6.1,1.2,0.3,7.5,1024.7,335.6,21.8,24.2,90.1,21.2,24.1,87.9,8.5,14.1,60.1,MF
271,Loïc Bade,52.3,2024-2025,24,fr FRA,Sevilla,es La Liga,32,2686,29.8,31,1,1,0,0,0.1,0,0,0,0,52.3,61,85.7,0.1,3.1,0.1,0,2.1,1045.7,396.1,18,19.2,93.7,28.7,30.5,94,5.5,10.3,53.4,DF
272,Leonardo Bittencourt,52.3,2024-2025,30,de GER,Werder Bremen,de Bundesliga,27,982,10.9,10,17,4,0.2,0.1,0.3,0.2,0,0,0,52.3,62.3,84,1.3,5.1,1.3,0.2,5.9,821.5,188.5,26.7,29.1,91.5,19.6,22.6,86.6,3.8,6.5,59.2,MF
273,Ross Barkley,52.2,2024-2025,30,eng ENG,Aston Villa,eng Premier League,20,581,6.5,3,17,4,0.5,0.2,0.6,0.5,0,0,0,52.2,61.2,85.3,1.4,5,0.9,0,5.6,810.5,195.2,27.3,31.1,87.6,22,24,91.6,2,3.1,65,MF
274,Nicolò Fagioli,52.2,2024-2025,23,it ITA,2 Teams,it Serie A,32,1533,17,15,17,6,0.1,0.1,0.2,0.1,0,0,0,52.2,60.8,85.9,1.6,4.8,1.2,0.1,5.3,898.5,217.6,24,26.1,92.1,22.3,24.7,90.3,4.5,7.6,59.2,MF
275,Axel Witsel,52.2,2024-2025,35,be BEL,Atlético Madrid,es La Liga,14,852,9.5,9,5,24,0,0.1,0.1,0,0,0,0,52.2,57.6,90.6,0.2,1.8,0,0,2.2,948.6,354,19.1,20.9,91.4,29.3,31.7,92.3,3.5,4.2,82.5,DF
276,Ko Itakura,52.2,2024-2025,27,jp JPN,Gladbach,de Bundesliga,31,2790,31,31,0,0,0.1,0,0.1,0.1,0,0,0,52.2,58.6,89,0.2,1.9,0.3,0.1,2.2,944.7,317.7,19.8,20.8,95.2,28.7,30.7,93.5,3.4,6.2,54.7,DF
277,Bernardo Silva,52.1,2024-2025,29,pt POR,Manchester City,eng Premier League,33,2670,29.7,29,4,5,0.1,0.1,0.3,0.1,0,0,0,52.1,60.1,86.8,1.8,2.9,1.3,0.2,4.5,797.1,151.7,29.6,32,92.4,18.7,21.4,87.4,2.8,4.2,66.1,"MF,FW"
278,Lewis Ferguson,52.1,2024-2025,24,sct SCO,Bologna,it Serie A,16,983,10.9,10,6,9,0.1,0.1,0.2,0,0.1,0.1,0,52.1,60.2,86.5,1.3,5.2,0.7,0,4.9,909,205.6,22.5,24.6,91.4,24.5,26.9,91.2,3.9,6,65.2,MF
279,Kevin Vogt,52,2024-2025,32,de GER,Union Berlin,de Bundesliga,18,1367,15.2,16,2,5,0.1,0,0.1,0,0.1,0.1,0,52,59.1,88.1,0.1,4.7,0.5,0,4.6,1066.2,468.5,14.9,15.7,95.4,28.7,31.2,92,7.6,11.1,68.5,DF
280,Nico O’Reilly,52,2024-2025,19,eng ENG,Manchester City,eng Premier League,9,528,5.9,6,3,21,0.3,0,0.3,0.3,0,0,0,52,60.2,86.4,0.7,4.8,0.2,0.2,2.9,689,133,35.6,38.5,92.5,15,18.6,80.7,0.5,1.2,42.9,DF
281,Moïse Bombito,52,2024-2025,24,ca CAN,Nice,fr Ligue 1,27,2192,24.4,25,2,0,0,0,0,0,0,0,0,52,57.6,90.2,0.1,3.2,0.2,0,4,949.4,366.7,19.7,21.1,93.4,27.3,28.9,94.5,4.2,6.3,67.3,DF
282,Davide Calabria,51.9,2024-2025,27,it ITA,2 Teams,it Serie A,18,948,10.5,11,7,11,0,0.1,0.1,0,0,0,0,51.9,61.9,83.9,1.3,4.7,1.2,0.8,6.1,894.8,268.9,23.8,25.9,91.9,22.5,25.1,89.8,4.4,7.6,57.5,DF
283,Ulisses Garcia,51.8,2024-2025,28,ch SUI,Marseille,fr Ligue 1,20,930,10.3,10,10,6,0.2,0.2,0.4,0.2,0,0,0,51.8,61.2,84.7,0.8,3.9,1,0.5,5.1,810.6,229.4,26.7,29.6,90.2,20.8,24.3,85.7,2.8,3.8,74.4,DF
284,Rodrigo Bentancur,51.8,2024-2025,27,uy URU,Tottenham,eng Premier League,26,1645,18.3,21,5,1,0.1,0,0.1,0.1,0,0,0,51.8,58.9,87.9,0.5,6,0.7,0.1,5.5,842.1,202.4,24.6,27.1,90.7,23.3,25.1,92.6,2.6,3.4,74.6,MF
285,Julián Malatini,51.7,2024-2025,23,ar ARG,Werder Bremen,de Bundesliga,10,454,5,5,5,21,0.2,0.2,0.4,0.2,0,0,0,51.7,59.9,86.4,0.4,2.6,0.8,0.2,4.8,862.1,248.8,22,23.8,92.5,26.4,28.5,92.4,2.4,5.6,42.9,DF
286,Nathan Wood-Gordon,51.7,2024-2025,22,eng ENG,Southampton,eng Premier League,11,773,8.6,9,2,14,0,0,0,0,0,0,0,51.7,55.4,93.3,0.1,1.3,0,0,2,876.9,223,21.3,22.4,95.3,27.9,28.9,96.8,2,3.1,63,DF
287,Yuri Berchiche,51.7,2024-2025,34,es ESP,Athletic Club,es La Liga,30,2044,22.7,22,8,5,0,0.1,0.1,0,0,0,0,51.7,61.6,84,0.8,5.7,0.7,0.4,7.1,922.2,335.2,23.2,25.6,90.4,23.3,27.2,85.9,4.7,7,66.7,DF
288,Pablo Marí,51.6,2024-2025,30,es ESP,2 Teams,it Serie A,32,2726,30.3,31,1,1,0,0,0,0,0,0,0,51.6,57.1,90.2,0.1,2.7,0,0,2.8,972.2,351.6,17.1,18,95.2,29.3,30.6,95.7,4.7,7.4,62.7,DF
289,Marc-Oliver Kempf,51.6,2024-2025,29,de GER,Como,it Serie A,31,2615,29.1,30,1,1,0,0,0,0,0,0,0,51.6,59.1,87.2,0.3,4,0.3,0,2.9,909,340.5,22,23.7,92.6,24.6,26.4,93.4,4.1,7.2,57.1,DF
290,Juan Cuadrado,51.5,2024-2025,36,co COL,Atalanta,it Serie A,23,832,9.2,7,16,6,0,0.2,0.2,0,0,0,0,51.5,65,79.2,2.1,3.7,2.6,0.2,6.9,887.3,244.1,26.8,30.5,87.9,18.4,22.8,80.6,5.6,9.3,60.5,"DF,MF"
291,Radu Dr?gu?in,51.5,2024-2025,22,ro ROU,Tottenham,eng Premier League,16,1252,13.9,14,2,7,0,0,0,0,0,0,0,51.5,60.4,85.2,0.3,3.7,0.1,0.1,2.7,980.4,377.4,16,17.6,91,31.4,33.8,93,3.4,7.7,43.9,DF
