,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,,,Short,,,Medium,,,Long,,,
Rk,Player,Cmp/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp/90,Att,Cmp%,KP,03-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Pos
201,Isco,55.7,2024-2025,32,es ESP,Betis,es La Liga,22,1547,17.2,17,5,0,0.5,0.5,1,0.2,0.3,0.3,0.1,55.7,68.2,81.6,3.5,7,1.8,0.3,8.8,932.4,268.4,28.1,31,90.8,18.5,21.5,85.9,6.3,10.6,59.9,MF
202,Jan Bednarek,55.6,2024-2025,28,pl POL,Southampton,eng Premier League,30,2531,28.1,30,0,0,0.1,0,0.1,0.1,0,0,0,55.6,60,92.7,0.2,2.6,0,0,2.1,987.9,317.4,21,22,95.2,30.4,32.1,94.8,3.7,4.9,76.6,DF
203,Wesley Fofana,55.6,2024-2025,23,fr FRA,Chelsea,eng Premier League,14,1172,13,14,0,1,0,0,0,0,0,0,0,55.6,61.7,90.2,0.5,4.1,0.1,0,2.5,941.6,262.2,23.5,25,93.9,29.6,31.9,92.5,2,3.2,61.9,DF
204,Lutsharel Geertruida,55.5,2024-2025,24,nl NED,RB Leipzig,de Bundesliga,24,1557,17.3,17,7,7,0.1,0,0.1,0.1,0,0,0,55.5,64.1,86.7,0.6,5.4,1,0.2,5.4,939.5,336.6,26.1,28.5,91.5,24.7,27.6,89.5,3.9,5.8,66.3,DF
205,Malang Sarr,55.5,2024-2025,25,fr FRA,Lens,fr Ligue 1,21,1385,15.4,15,6,13,0,0,0,0,0,0,0,55.5,62.1,89.4,0.3,4,0.1,0,3.5,1138.2,366,16.8,17.9,93.8,30.5,31.8,96.1,7.8,11,71,DF
206,Thomas Meunier,55.5,2024-2025,32,be BEL,Lille,fr Ligue 1,30,1928,21.4,21,9,1,0.1,0,0.1,0.1,0,0,0,55.5,68.9,80.4,0.6,5.7,1.4,0.3,6.3,953.8,298.3,24.6,27.6,89,25.3,30.6,82.8,4.4,7.8,56.5,DF
207,Atakan Karazor,55.3,2024-2025,27,,Stuttgart,de Bundesliga,32,2618,29.1,31,1,0,0.1,0.1,0.2,0.1,0,0,0,55.3,63.8,86.6,0.5,5.2,0.6,0,4.8,825.4,251.8,30.9,34.1,90.4,19.6,21.8,89.9,2.9,4.3,66.4,MF
208,Abakar Sylla,55.2,2024-2025,21,ci CIV,Strasbourg,fr Ligue 1,21,950,10.6,10,11,9,0.1,0,0.1,0.1,0,0,0,55.2,62.3,88.6,0.1,2,0.1,0,2,945.5,341.3,21.2,23.1,91.8,31.5,33.9,92.7,2.1,4.3,48.9,DF
209,Iván Martín,55.2,2024-2025,25,es ESP,Girona,es La Liga,32,2039,22.7,24,8,1,0,0,0.1,0,0,0,0,55.2,61.2,90.2,1,4.5,0.7,0.1,5.8,870,168.8,27.8,30,92.6,22.5,24.4,92.4,3.2,3.8,84.7,MF
210,Marco Friedl,55.1,2024-2025,26,at AUT,Werder Bremen,de Bundesliga,26,2161,24,25,1,0,0,0,0,0,0,0,0,55.1,61.1,90.2,0.1,2.6,0.2,0,2.9,1148.1,400.8,13.8,14.7,93.8,33.7,35.3,95.5,7.1,10,71.5,DF
211,Trent Alexander-Arnold,55.1,2024-2025,25,eng ENG,Liverpool,eng Premier League,33,2365,26.3,28,5,1,0.1,0.2,0.3,0.1,0,0,0,55.1,75,73.5,2,7.9,2.5,0.8,8.8,1061.8,432.4,24.1,26.8,89.8,22.4,29.3,76.4,7.7,15.9,48.6,DF
212,Raúl Albiol,55.1,2024-2025,38,es ESP,Villarreal,es La Liga,15,1188,13.2,14,1,13,0,0,0,0,0,0,0,55.1,61.6,89.4,0,2,0.1,0,2.6,1104.7,455,16.1,17,94.7,32.8,35.1,93.5,5.8,8.7,66.1,DF
213,Nemanja Mati?,55.1,2024-2025,35,rs SRB,Lyon,fr Ligue 1,29,2010,22.3,25,4,1,0,0,0,0,0,0,0,55.1,63.4,86.9,0.8,7.3,0.7,0,6.7,937.2,284.6,25.8,28.5,90.6,23.5,25.5,92.1,4.4,6.3,70.2,MF
214,Aaron Cresswell,55,2024-2025,34,eng ENG,West Ham,eng Premier League,18,824,9.2,10,8,13,0,0,0,0,0,0,0,55,66.6,82.6,1,5.7,0.5,0.2,3.9,1015.7,395.9,25,27.2,92,23.2,26.3,88,6.3,11.7,54.2,DF
215,Matteo Gabbia,55,2024-2025,24,it ITA,Milan,it Serie A,26,2152,23.9,24,2,8,0.1,0,0.1,0.1,0,0,0,55,60.3,91.2,0.1,3.4,0.1,0,3.1,1121.3,323.4,14.5,15.3,94.5,34.5,35.9,96.2,5.7,8,71.2,DF
216,Clinton Mata,55,2024-2025,31,ao ANG,Lyon,fr Ligue 1,29,2370,26.3,27,2,2,0,0.2,0.2,0,0,0,0,55,62.1,88.5,0.4,3.3,0.5,0.3,3.3,902.2,309,25.7,26.8,96,26,28.1,92.6,2.5,5.7,44,DF
217,Arnau Martinez,55,2024-2025,21,es ESP,Girona,es La Liga,32,2624,29.2,30,2,5,0.1,0.1,0.1,0.1,0,0,0,55,63.6,86.4,0.6,5.3,0.5,0.1,5.6,885.8,237,27.6,29.6,93.3,23.5,26.4,89,3.1,5.1,59.3,"DF,MF"
218,Ismaily,55,2024-2025,34,br BRA,Lille,fr Ligue 1,16,904,10,10,6,5,0,0.1,0.1,0,0,0,0,55,62.9,87.3,0.5,4.5,0.9,0.4,5.4,851.7,277.4,28.7,31.1,92.3,23.1,25.5,90.6,2.4,4.2,57.1,DF
219,Arda Güler,54.9,2024-2025,19,tr TUR,Real Madrid,es La Liga,28,1250,13.9,14,14,10,0.2,0.3,0.5,0.2,0,0,0,54.9,63.8,86.1,2.9,5.9,2.2,0.4,6.7,892.2,229.6,29.8,31.8,93.9,19.1,21.5,88.6,4.8,8.1,59.8,"MF,FW"
220,Unai López,54.9,2024-2025,28,es ESP,Rayo Vallecano,es La Liga,32,1707,19,23,9,1,0.2,0.1,0.2,0.2,0,0,0,54.9,65.2,84.2,1,5.6,0.6,0.1,5.9,929.9,233.3,26.5,28.8,91.8,23.1,25.8,89.6,4.5,8.5,53.4,MF
221,Nicolás Tagliafico,54.8,2024-2025,31,ar ARG,Lyon,fr Ligue 1,24,1902,21.1,22,2,3,0.1,0,0.2,0.1,0,0,0,54.8,63.3,86.6,0.2,3.4,0.4,0.1,4.6,826.3,257.2,30.4,33.3,91.5,21,23.6,89,2.4,4.1,57.5,DF
222,Youssouf Ndayishimiye,54.8,2024-2025,25,bi BDI,Nice,fr Ligue 1,23,1932,21.5,22,1,0,0.1,0,0.1,0.1,0,0,0,54.8,61.3,89.4,0.2,4.4,0.2,0,4,934.9,319.6,24.5,25.9,94.4,27.2,28.5,95.4,2.6,5.6,46.7,DF
223,Mario Pašali?,54.8,2024-2025,29,hr CRO,Atalanta,it Serie A,34,1967,21.9,23,11,4,0.1,0.2,0.3,0.1,0,0,0,54.8,62.8,87.3,1.5,6,1.1,0,6.8,971.7,275.8,22.1,24.3,91,27.1,29.9,90.7,4.8,6.5,74.5,MF
224,Alessio Romagnoli,54.7,2024-2025,29,it ITA,Lazio,it Serie A,32,2672,29.7,31,1,2,0.1,0,0.1,0.1,0,0,0,54.7,59.6,91.8,0.3,3.6,0.2,0,3,941.6,329.6,22.7,23.9,95.1,28.3,29.5,95.7,3,4.6,64.7,DF
225,Leny Yoro,54.7,2024-2025,18,fr FRA,Manchester Utd,eng Premier League,21,1165,12.9,12,9,0,0,0,0,0,0,0,0,54.7,59.2,92.4,0.2,3.4,0.4,0.1,4,889.4,284.1,24.2,25.3,95.4,27.1,28.8,94.1,2.1,3.2,65.9,DF
226,Stanislav Lobotka,54.6,2024-2025,29,sk SVK,Napoli,it Serie A,32,2636,29.3,31,1,1,0,0,0,0,0,0,0,54.6,60.2,90.8,0.6,3.8,0.7,0,4,961.5,230.3,23.9,26.3,90.8,25.1,26.5,94.8,4.7,5.6,83,MF
227,Sam Beukema,54.6,2024-2025,25,nl NED,Bologna,it Serie A,35,3012,33.5,33,2,3,0,0,0,0,0,0,0,54.6,63.2,86.4,0.3,5,0.3,0.1,4.6,1099.8,332.6,15.9,17.8,89.3,32.6,34.7,94.1,5.6,9.4,59.7,DF
228,Clément Lenglet,54.4,2024-2025,29,fr FRA,Atlético Madrid,es La Liga,23,1972,21.9,23,0,10,0.1,0,0.1,0.1,0,0,0,54.4,62.3,87.5,0.2,3.4,0,0,3.6,1093.8,445.7,17.8,19,93.8,29.4,31.3,94,6.9,11,62.7,DF
229,Conor Bradley,54.4,2024-2025,21,nir NIR,Liverpool,eng Premier League,19,754,8.4,7,12,6,0,0.2,0.2,0,0,0,0,54.4,64.9,83.8,0.8,3.1,0.4,0.1,3.9,820.6,204.2,31.2,34.1,91.3,20.9,23.6,88.4,1.4,4.3,33.3,DF
230,Alessandro Buongiorno,54.3,2024-2025,25,it ITA,Napoli,it Serie A,22,1924,21.4,22,0,4,0,0,0,0,0,0,0,54.3,59.8,90.8,0.2,3.1,0.1,0,3.8,952.8,297.6,21.2,22.8,93.2,29.7,31,95.8,2.9,4.9,59.6,DF
231,Pau Torres,54.2,2024-2025,27,es ESP,Aston Villa,eng Premier League,24,2020,22.4,23,1,4,0,0,0,0,0,0,0,54.2,61,88.9,0.1,4.9,0.4,0,4.3,949.9,352.3,23.2,24.4,95.2,26.8,28.7,93.5,3.5,6.6,53.4,DF
232,Ruben Aguilar,54.2,2024-2025,31,fr FRA,Lens,fr Ligue 1,16,1124,12.5,13,3,3,0.1,0.2,0.2,0.1,0,0,0,54.2,67.5,80.3,0.9,3.5,1.7,0.5,5.9,762.5,329.5,34.4,39,88.3,14.7,19.1,77.3,2.7,4.3,63,"DF,MF"
233,Kiko Femenía,54.1,2024-2025,33,es ESP,Villarreal,es La Liga,28,2227,24.7,27,1,2,0,0,0,0,0,0,0,54.1,60.9,88.9,0.6,4.4,1,0.6,4.5,892.2,292.2,27.4,29,94.7,22.7,25.2,90.1,3.3,5.1,65.1,DF
