Rk,Player,Season,Age,Nation,Team,Comp,Tkl/90,TklW,Def 3rd,Mid 3rd,Att 3rd,Challenges Tkl,ChallengesAtt,Challenges Tkl%,Challenges Lost,Blocks,Sh Blocks,Pass Blocks,Int,Tkl+Int,Clr,Err,Pos
1,Mats Wieffer,2024-2025,24,nl NED,Brighton,eng Premier League,5.1,3,2.4,2.4,0.4,2.8,4.2,68.1,1.3,1.6,0.2,1.4,1.5,6.7,2.5,0.3,"DF,MF"
2,Casemiro,2024-2025,32,br BRA,Manchester Utd,eng Premier League,5,3,3,1.4,0.6,2.7,4.5,60.8,1.7,2.3,0.6,1.7,0.8,5.8,3.1,0.2,MF
3,Lars Ritzka,2024-2025,26,de GER,St. Pauli,de Bundesliga,4.8,2.8,2.7,1.6,0.5,2.4,4,61,1.6,1.6,0.2,1.4,1.1,5.9,4,0,"DF,MF"
4,Tim Iroegbunam,2024-2025,21,eng ENG,Everton,eng Premier League,4.5,2.2,2.2,1.6,0.8,2.2,3.6,60.9,1.4,2.8,0.6,2.2,2.5,7.1,1.9,0.2,MF
5,Luck ZogbÈ,2024-2025,19,ci CIV,Brest,fr Ligue 1,4.5,2.5,2.4,1.6,0.6,2.5,3.7,69.2,1.1,1.6,0.3,1.3,2,6.5,3.1,0.1,DF
6,Pierrick Capelle,2024-2025,37,fr FRA,Angers,fr Ligue 1,4.5,3.2,1.9,1.7,0.9,1.7,3.4,50,1.7,0.7,0.2,0.6,2,6.5,0.9,0.2,MF
7,Alfonso Espino,2024-2025,32,uy URU,Rayo Vallecano,es La Liga,4.4,2.6,3.3,0.9,0.2,2.8,5.1,55.3,2.3,2.1,0.6,1.4,1.3,5.7,3.5,0.1,DF
8,Paul Joly,2024-2025,24,fr FRA,Auxerre,fr Ligue 1,4.4,2.9,2.7,1.5,0.2,2.4,4,60,1.6,1.7,0.1,1.6,2.2,6.6,2.9,0.4,DF
9,Ibrahim SangarÈ,2024-2025,26,ci CIV,Nott'ham Forest,eng Premier League,4.3,2.1,1.2,2.6,0.5,1.2,2.6,47.1,1.4,1.5,0.6,0.9,0.9,5.2,2,0.2,MF
10,Louis Mouton,2024-2025,22,fr FRA,Saint-…tienne,fr Ligue 1,4.2,2.2,1.2,2.2,0.9,1.9,3.2,59.5,1.3,1.5,0.3,1.2,0.9,5.1,1.6,0,MF
11,Ryan Sessegnon,2024-2025,24,eng ENG,Fulham,eng Premier League,4.2,2,1.7,1.7,0.8,1.4,3.1,45,1.7,2,0.2,1.9,0.5,4.7,2.8,0,"FW,DF"
12,Soungoutou Magassa,2024-2025,20,fr FRA,Monaco,fr Ligue 1,4.1,2.2,1.2,2.4,0.5,2.2,4,54.3,1.8,1.4,0.3,1.1,1.8,6,1.7,0.1,MF
13,JosÈ Gragera,2024-2025,23,es ESP,Espanyol,es La Liga,4,2.5,1.7,2.2,0,1.4,2.7,52.9,1.3,1.4,0.2,1.3,0.8,4.7,2.1,0,MF
14,Nicol·s DomÌnguez,2024-2025,26,ar ARG,Nott'ham Forest,eng Premier League,3.9,2.1,1.8,1.6,0.5,1.7,3.5,47.4,1.8,1.7,0.6,1.2,1.3,5.3,2.5,0,"MF,FW"
15,Welington,2024-2025,23,br BRA,Southampton,eng Premier League,3.9,1.7,2.8,0.9,0.2,2.2,3.5,63.2,1.3,0.9,0.2,0.7,1.3,5.2,6.7,0,DF
16,Ayyoub Bouaddi,2024-2025,16,fr FRA,Lille,fr Ligue 1,3.9,2.4,1.6,1.6,0.6,1.5,2.5,59.4,1,0.9,0.2,0.7,0.8,4.7,0.9,0.1,MF
17,Idrissa Gana Gueye,2024-2025,34,sn SEN,Everton,eng Premier League,3.9,2.4,1.8,1.6,0.5,1.7,2.9,58.6,1.2,1.4,0.3,1.1,1.4,5.3,1.1,0,MF
18,Manuel Ugarte,2024-2025,23,uy URU,Manchester Utd,eng Premier League,3.9,2.5,1.7,1.7,0.5,1.5,3.4,44.1,1.9,1.7,0.2,1.5,1.4,5.2,0.9,0.1,MF
19,Tyler Adams,2024-2025,25,us USA,Bournemouth,eng Premier League,3.8,2.3,1.2,2.2,0.4,1.8,3.3,54.2,1.5,1.5,0.5,1.1,1.5,5.3,1.9,0,MF
20,Hamza Rafia,2024-2025,25,tn TUN,Lecce,it Serie A,3.7,2.3,1.2,2.1,0.4,1.3,2.7,46.9,1.4,0.6,0.2,0.4,0.3,4.1,1.5,0.1,MF
21,Nicolas Hˆfler,2024-2025,34,de GER,Freiburg,de Bundesliga,3.7,2.6,1.5,2,0.2,2.3,3.5,64.5,1.2,0.8,0.1,0.7,1.6,5.3,3.2,0.1,MF
22,Jon Aramburu,2024-2025,22,ve VEN,Real Sociedad,es La Liga,3.7,2.6,2.2,1.1,0.4,2.4,3.7,66,1.2,1.5,0.3,1.2,1.1,4.8,3.6,0,DF
23,Diego GÛmez,2024-2025,21,py PAR,Brighton,eng Premier League,3.7,2.3,1.9,1.4,0.3,2.1,3.8,54.5,1.7,2.3,0,2.3,1.4,5.1,1.7,0.2,MF
24,Noussair Mazraoui,2024-2025,26,ma MAR,Manchester Utd,eng Premier League,3.6,2.2,1.8,1.3,0.5,1.9,3,62.8,1.1,1.1,0.3,0.9,1.1,4.7,3,0,DF
25,John Joe,2024-2025,20,ie IRL,2 Teams,2 Comps,3.6,2.3,1.7,1.5,0.5,1.1,2.9,36.8,1.8,1.8,0.5,1.4,0.9,4.6,1.5,0,"MF,FW"
26,Stefan Posch,2024-2025,27,at AUT,2 Teams,it Serie A,3.6,2.1,1.6,1.4,0.7,1.9,2.8,67.6,0.9,2,0.4,1.6,0.7,4.3,2.9,0,DF
27,Jean-Kevin Duverne,2024-2025,27,ht HAI,Nantes,fr Ligue 1,3.5,2,2.2,0.7,0.7,2.5,4.5,55.6,2,1.7,0.5,1.2,1.3,4.9,3.9,0,DF
28,Carlos BenavÌdez,2024-2025,26,uy URU,AlavÈs,es La Liga,3.5,2.6,1.8,1.1,0.6,1.1,2,54.5,0.9,0.9,0.4,0.6,1.5,5,2.6,0.2,MF
29,Jo„o Gomes,2024-2025,23,br BRA,Wolves,eng Premier League,3.5,2.1,1.7,1.6,0.2,1.5,3.3,43.6,1.9,1.3,0.1,1.1,0.8,4.3,1,0,MF
30,Destiny Udogie,2024-2025,21,it ITA,Tottenham,eng Premier League,3.5,2.2,2,1.2,0.3,1.5,2.2,68.8,0.7,1.9,0.3,1.6,1,4.5,1.7,0,DF
31,Alieu Fadera,2024-2025,22,gm GAM,Como,it Serie A,3.5,2.6,1.4,1.5,0.7,1.1,2.5,44.4,1.4,1,0.1,0.9,0.7,4.2,0.5,0,"FW,DF"
32,RÈmy Cabella,2024-2025,34,fr FRA,Lille,fr Ligue 1,3.5,1.7,1.4,1.2,0.9,1.7,2.9,57.6,1.2,0.9,0.1,0.8,0.7,4.2,0.4,0,"FW,MF"
33,Andrey Santos,2024-2025,20,br BRA,Strasbourg,fr Ligue 1,3.5,2.3,1.5,1.6,0.4,1.6,2.7,58.6,1.1,1.5,0.4,1,1,4.5,2.1,0,MF
34,Benjamin AndrÈ,2024-2025,33,fr FRA,Lille,fr Ligue 1,3.4,1.9,1,2,0.4,1.8,3.2,56.3,1.4,1.4,0.2,1.2,1.6,5,1.9,0,MF
35,Eduardo Camavinga,2024-2025,21,fr FRA,Real Madrid,es La Liga,3.4,2.1,1.9,1.3,0.2,1.6,2.7,57.6,1.1,2,0.7,1.3,1.5,4.9,1.9,0,"MF,DF"
36,Daniel MuÒoz,2024-2025,28,co COL,Crystal Palace,eng Premier League,3.4,2.2,1.6,1.1,0.7,1.5,2.7,56.7,1.2,1.1,0.2,0.9,1.2,4.7,3,0,DF
37,Amadou KonÈ,2024-2025,19,ml MLI,Reims,fr Ligue 1,3.4,2.2,2.2,1.1,0.1,1.5,2.4,62.9,0.9,1.3,0.3,1,1.3,4.7,2.6,0.1,MF
38,Rabby Nzingoula,2024-2025,18,cg CGO,2 Teams,fr Ligue 1,3.4,2.2,1.4,1.7,0.4,1.4,3.1,46.6,1.7,1.4,0.3,1.2,1.5,5,1.2,0,MF
39,Mikel Jauregizar,2024-2025,20,es ESP,Athletic Club,es La Liga,3.4,1.9,1,1.8,0.6,1.6,3.3,49.4,1.7,1,0.2,0.8,1.2,4.5,1.4,0.1,MF
40,Mario Lemina,2024-2025,30,ga GAB,Wolves,eng Premier League,3.4,2,1.8,1.3,0.3,1.3,1.9,69,0.6,0.8,0.5,0.3,1.8,5.1,3.3,0.2,"MF,DF"
41,Tom Bischof,2024-2025,19,de GER,Hoffenheim,de Bundesliga,3.3,1.9,1.3,1.6,0.5,1.4,2.7,51.9,1.3,2.3,0.4,1.9,1.1,4.4,1.9,0,"MF,FW"
42,Kostas Tsimikas,2024-2025,28,gr GRE,Liverpool,eng Premier League,3.3,2.2,1.6,1.2,0.5,1.5,2.5,60.9,1,0.5,0.2,0.3,1.2,4.5,2.2,0,DF
43,Vanderson,2024-2025,23,br BRA,Monaco,fr Ligue 1,3.3,2.1,1.6,1.3,0.4,2,2.8,70.3,0.8,1.9,0.3,1.6,1.7,5,2.8,0.1,DF
44,AndrÈ,2024-2025,23,br BRA,Wolves,eng Premier League,3.3,2,1.5,1.5,0.3,1.3,2.3,58.7,0.9,1.5,0.3,1.2,1.3,4.7,1.1,0,MF
45,Wilfred Ndidi,2024-2025,27,ng NGA,Leicester City,eng Premier League,3.3,2,1.7,1.2,0.3,1.2,2.4,49.2,1.2,1.8,0.7,1.1,1.2,4.5,3.1,0,MF
46,Alexis Mac Allister,2024-2025,25,ar ARG,Liverpool,eng Premier League,3.3,2,1,1.8,0.6,1.9,3.6,52.9,1.7,2.1,0.2,1.9,0.8,4.1,1,0,MF
47,Ismaily,2024-2025,34,br BRA,Lille,fr Ligue 1,3.3,1.7,1.7,1.2,0.4,1.7,2.6,65.4,0.9,1.5,0.1,1.4,1.3,4.6,4.9,0,DF
48,Nathaniel Brown,2024-2025,21,de GER,Eint Frankfurt,de Bundesliga,3.3,1.9,1.8,0.8,0.6,2,2.5,80,0.5,1.4,0,1.4,0.7,4,2.5,0,"DF,MF"
49,Antoine Mendy,2024-2025,20,sn SEN,Nice,fr Ligue 1,3.3,2.3,1.7,1.5,0,2.1,3.2,65.5,1.1,1,0.5,0.4,0.9,4.1,3.2,0.1,DF
50,Jesper Lindstr¯m,2024-2025,24,dk DEN,Everton,eng Premier League,3.3,1.8,1.7,1.4,0.1,1.4,4,34.5,2.6,1.1,0.2,0.9,0.9,4.1,1.2,0,FW
51,Abdul Fatawu Issahaku,2024-2025,20,gh GHA,Leicester City,eng Premier League,3.3,2.3,2,0.3,0.9,1.7,3,57.9,1.2,1.1,0,1.1,0.6,3.9,1.9,0,FW
52,Devyne Rensch,2024-2025,21,nl NED,Roma,it Serie A,3.3,2.5,1.5,1.5,0.2,1.7,1.9,90,0.2,1,0.6,0.4,1.3,4.6,2.3,0.2,DF
53,Viti,2024-2025,26,es ESP,Las Palmas,es La Liga,3.2,2.1,2,1,0.3,1.4,2,68.9,0.6,1.3,0.3,1,1.2,4.5,2.8,0,DF
54,Ainsley Maitland-Niles,2024-2025,26,eng ENG,Lyon,fr Ligue 1,3.2,2,1.4,1.2,0.7,2.2,3.4,63.2,1.3,1.3,0.2,1.1,1.1,4.4,2.8,0.3,DF
55,Alex Scott,2024-2025,20,eng ENG,Bournemouth,eng Premier League,3.2,1.7,1.3,1,1,2.3,5,45.2,2.7,2,0.5,1.5,1.2,4.4,1.8,0,MF
56,Cristian C·sseres Jr.,2024-2025,24,ve VEN,Toulouse,fr Ligue 1,3.2,2,1.4,1.4,0.4,1.5,2.9,52.3,1.4,1.2,0.3,0.9,1.4,4.6,1.2,0,MF
57,Mario MartÌn,2024-2025,20,es ESP,Valladolid,es La Liga,3.2,1.6,1.6,1.4,0.2,1.1,2.5,42.9,1.4,1.6,0.4,1.3,1.1,4.3,2.4,0.4,MF
58,KrÈpin Diatta,2024-2025,25,sn SEN,Monaco,fr Ligue 1,3.2,2.1,2.3,0.4,0.5,2.5,4.3,58.3,1.8,0.9,0.2,0.7,1.6,4.8,2.1,0.4,"DF,FW"
59,Hernani,2024-2025,30,br BRA,Parma,it Serie A,3.2,1.8,1.7,1.2,0.3,1.8,3.4,54,1.6,1.8,0.4,1.4,1.3,4.5,0.8,0.1,MF
60,Cheick DoucourÈ,2024-2025,24,ml MLI,Crystal Palace,eng Premier League,3.2,1.6,1.2,1.6,0.4,1,2.2,45.5,1.2,0.8,0,0.8,2.2,5.4,2,0.2,MF
61,ValentÌn Barco,2024-2025,20,ar ARG,3 Teams,3 Comps,3.2,1.9,2,0.8,0.4,2.1,2.8,75.6,0.7,0.5,0.2,0.3,0.9,4.1,2.1,0.1,"DF,MF"
62,Marcos Senesi,2024-2025,27,ar ARG,Bournemouth,eng Premier League,3.2,1.7,1.9,1.1,0.2,1.1,2.5,45.2,1.4,1.3,0.6,0.7,1.1,4.3,4.7,0,DF
63,Omar El Hilali,2024-2025,20,ma MAR,Espanyol,es La Liga,3.2,2.3,2.3,0.7,0.2,1.8,2.7,67.4,0.9,1.5,0.4,1.1,1.3,4.5,4.1,0.1,DF
64,Thierry Correia,2024-2025,25,pt POR,Valencia,es La Liga,3.2,2.1,2.2,0.6,0.4,1.5,2.7,56.5,1.2,1.2,0.1,1.1,0.5,3.6,2.1,0,DF
65,Mahamadou Diawara,2024-2025,19,fr FRA,2 Teams,fr Ligue 1,3.2,1.8,1.5,1.4,0.3,1.4,2.4,56.3,1.1,2.3,0.9,1.4,2,5.1,1.7,0.2,MF
66,Patrizio Masini,2024-2025,23,it ITA,Genoa,it Serie A,3.2,1.7,1.1,1.5,0.6,1.1,2.3,47.5,1.2,1.5,0.5,1.1,0.9,4,2.2,0,MF
67,Victor Bernth Kristiansen,2024-2025,21,dk DEN,Leicester City,eng Premier League,3.2,1.8,2,0.9,0.2,1.8,3.3,53.8,1.5,1.4,0.5,0.8,1.5,4.7,2.7,0.1,DF
68,Alessio Zerbin,2024-2025,25,it ITA,2 Teams,it Serie A,3.1,1.7,1.9,0.7,0.5,1.8,3.1,56.6,1.4,1.7,0.2,1.5,0.9,4,1.5,0.1,DF
69,Tom Louchet,2024-2025,21,fr FRA,Nice,fr Ligue 1,3.1,2,2,0.6,0.6,2,2.7,73.9,0.7,1.4,0.5,0.9,2.1,5.2,2.3,0,"DF,MF"
70,Yves Bissouma,2024-2025,27,ml MLI,Tottenham,eng Premier League,3.1,2,1.3,1.6,0.3,1.2,2.2,55.9,1,0.7,0.4,0.3,1.2,4.3,2.6,0.3,MF
71,Facundo Buonanotte,2024-2025,19,ar ARG,Leicester City,eng Premier League,3.1,1.9,1,1.3,0.8,1.2,4,31.3,2.7,2,0.4,1.7,0.7,3.8,0.8,0,"FW,MF"
72,Yassin Belkhdim,2024-2025,22,fr FRA,Angers,fr Ligue 1,3.1,1.6,1.5,1.2,0.4,1.6,3.4,46.6,1.8,1.4,0.4,1,1.2,4.4,2.4,0.1,MF
73,Glen Kamara,2024-2025,28,fi FIN,Rennes,fr Ligue 1,3.1,1.5,1.4,1.5,0.3,1.5,2.3,64.7,0.8,1,0,1,1,4.1,1,0,MF
74,Neco Williams,2024-2025,23,wls WAL,Nott'ham Forest,eng Premier League,3.1,2,2.2,0.7,0.3,1.8,3,61.6,1.1,1.5,0.3,1.1,1.1,4.2,4.8,0.1,DF
75,Junior Mwanga,2024-2025,21,fr FRA,2 Teams,fr Ligue 1,3.1,1.8,1.4,1.4,0.3,1.2,2,57.1,0.9,0.9,0.2,0.6,0.7,3.8,1.4,0.1,MF
76,Adrien Thomasson,2024-2025,30,fr FRA,Lens,fr Ligue 1,3.1,1.6,1.4,0.9,0.8,1.8,3.3,54.7,1.5,1.7,0.1,1.5,0.7,3.8,1,0.1,MF
77,Maxence Caqueret,2024-2025,24,fr FRA,2 Teams,2 Comps,3.1,1.7,1,1.6,0.5,1.3,3.3,40,2,1.5,0.2,1.3,0.8,3.8,0.3,0.1,MF
78,Benjamin Henrichs,2024-2025,27,de GER,RB Leipzig,de Bundesliga,3.1,1.5,1.7,1,0.4,1.3,2.6,51.9,1.3,2.1,0.3,1.8,1.4,4.5,3.2,0,DF
79,Jo„o Neves,2024-2025,19,pt POR,Paris S-G,fr Ligue 1,3.1,1.5,1,1.3,0.8,1.3,2.2,60,0.9,1.4,0.4,1,1.1,4.2,1.1,0,"MF,DF"
80,MoisÈs Caicedo,2024-2025,22,ec ECU,Chelsea,eng Premier League,3.1,2,1.2,1.5,0.4,1.5,2.3,62.8,0.9,1.3,0.3,1,1.3,4.4,1.6,0,"MF,DF"
81,Amadou Onana,2024-2025,22,be BEL,Aston Villa,eng Premier League,3.1,1.7,1.3,1.4,0.3,0.9,1.6,55.2,0.7,0.9,0.4,0.5,1.4,4.5,2.3,0.2,MF
82,Samu Costa,2024-2025,23,pt POR,Mallorca,es La Liga,3.1,1.5,1.5,1.4,0.1,1.2,2.7,44.3,1.5,1.6,0.5,1.1,1.1,4.1,2.9,0,MF
83,Andr·s Sch‰fer,2024-2025,25,hu HUN,Union Berlin,de Bundesliga,3.1,1.5,1.3,1.4,0.3,1.5,2.4,61,0.9,1.9,0.4,1.6,1.3,4.3,2.1,0,MF
84,Kike PÈrez,2024-2025,27,es ESP,2 Teams,2 Comps,3,2,1.3,1.2,0.5,1.3,2.7,47.1,1.4,1.2,0.2,0.9,0.7,3.7,1.3,0,MF
85,Sean Longstaff,2024-2025,26,eng ENG,Newcastle Utd,eng Premier League,3,1.8,1.1,1,0.9,2,3,66.7,1,1.9,0.6,1.4,0.8,3.8,0.9,0,MF
86,Yehor Yarmoliuk,2024-2025,20,ua UKR,Brentford,eng Premier League,3,1.7,1.3,1.3,0.4,1.7,3.4,50.9,1.7,1.6,0.6,1.1,0.8,3.8,2,0,MF
87,Dani Ceballos,2024-2025,27,es ESP,Real Madrid,es La Liga,3,1.6,1.3,1.3,0.4,1.5,3,50,1.5,1.2,0.3,0.9,1,4.1,0.7,0.1,MF
88,Sacha Boey,2024-2025,23,fr FRA,Bayern Munich,de Bundesliga,3,0.8,0.9,0.9,1.2,2,2.7,72.2,0.8,0.9,0,0.9,0.3,3.3,2.1,0,DF
89,Elliot Anderson,2024-2025,21,eng ENG,Nott'ham Forest,eng Premier League,3,1.8,1.8,1,0.3,1.6,3.7,43.2,2.1,1.6,0.3,1.3,1,4.1,2.5,0.1,MF
90,KÈvin Danois,2024-2025,20,fr FRA,Auxerre,fr Ligue 1,3,1.8,1.2,1.4,0.4,1.2,2.8,43.5,1.6,1,0.2,0.9,1.2,4.3,1.2,0,MF
91,Justin Devenny,2024-2025,20,nir NIR,Crystal Palace,eng Premier League,3,2.1,1.2,1.6,0.2,1.4,3.4,42.1,2,1.1,0.2,0.9,0,3,2,0,MF
92,James Hill,2024-2025,22,eng ENG,Bournemouth,eng Premier League,3,1.6,1.2,1.2,0.6,0.6,2.2,27.3,1.6,1,0,1,1.8,4.8,6.2,0,DF
93,Dennis Appiah,2024-2025,32,fr FRA,Saint-…tienne,fr Ligue 1,3,1.8,1.8,0.9,0.3,1.7,3,57.7,1.3,1.5,0.3,1.2,1.2,4.2,3.8,0.1,DF
94,Jon Moncayola,2024-2025,26,es ESP,Osasuna,es La Liga,3,1.8,1.2,1.4,0.3,1.3,2.6,51.7,1.2,1.5,0.1,1.3,0.5,3.5,0.9,0,MF
95,Luca Kerber,2024-2025,22,de GER,Heidenheim,de Bundesliga,3,1.8,2,0.9,0.1,1.8,3.6,51.6,1.7,1.6,0.5,1.1,0.6,3.6,2.9,0.1,"MF,DF"
96,Johann Lepenant,2024-2025,21,fr FRA,Nantes,fr Ligue 1,3,1.5,1.3,1.2,0.5,1.4,3.1,45.1,1.7,1.5,0.1,1.4,0.8,3.8,1.1,0,MF
97,Santi ComesaÒa,2024-2025,27,es ESP,Villarreal,es La Liga,3,1.7,1.5,1.1,0.3,1.5,2.7,55.3,1.2,2,0.8,1.2,0.7,3.7,2,0,MF
98,Lucien Agoume,2024-2025,22,fr FRA,Sevilla,es La Liga,3,1.4,1,1.6,0.4,1.1,1.7,69.2,0.5,1.3,0.5,0.8,1.7,4.7,1.8,0,MF
99,James Sands,2024-2025,24,us USA,St. Pauli,de Bundesliga,3,1.2,1,1.6,0.4,0.8,0.8,100,0,1,0.2,0.8,1,4,1.6,0,"MF,DF"
100,Rassoul Ndiaye,2024-2025,22,sn SEN,Le Havre,fr Ligue 1,3,2.1,1.6,1,0.3,0.9,2.1,44,1.2,1.3,0.3,0.9,1,4,2,0,MF
101,Aleksandr Golovin,2024-2025,28,ru RUS,Monaco,fr Ligue 1,3,1.9,0.7,1.6,0.7,1.3,3,43.6,1.7,1.2,0.3,0.9,0.9,3.9,0.5,0,"MF,FW"
102,Rafik Messali,2024-2025,21,fr FRA,Toulouse,fr Ligue 1,3,1.6,1.2,1.2,0.6,1.4,1.6,87.5,0.2,1.8,0.2,1.6,2,4.9,2.4,0,DF
103,Morten Frendrup,2024-2025,23,dk DEN,Genoa,it Serie A,3,1.8,0.7,1.5,0.8,1,2.3,43.6,1.3,1.8,0.5,1.3,1.4,4.3,1.7,0,MF
104,Nahuel Tenaglia,2024-2025,28,ar ARG,AlavÈs,es La Liga,3,1.9,1.9,0.9,0.2,1.6,2.7,60.2,1.1,1,0.3,0.7,1.4,4.4,3.8,0.1,DF
105,Mats Hummels,2024-2025,35,de GER,Roma,it Serie A,3,1.5,1.6,1.4,0,1.1,1.8,61.1,0.7,1.2,0.4,0.8,2.6,5.5,4.2,0,DF
106,Martin Frese,2024-2025,26,dk DEN,Hellas Verona,it Serie A,3,1.8,1.1,1.6,0.2,1.1,2.1,53.8,1,0.8,0.2,0.7,1.3,4.3,2.6,0.2,DF
107,Dennis Geiger,2024-2025,26,de GER,Hoffenheim,de Bundesliga,2.9,1.3,1.1,1.6,0.2,1.5,2.3,63.2,0.9,1.8,0.2,1.6,0.9,3.8,0.7,0.1,"MF,FW"
108,Emerson,2024-2025,25,br BRA,Milan,it Serie A,2.9,1.8,1.6,1,0.3,1,2.2,47.1,1.2,0.8,0.1,0.7,0.9,3.9,3.7,0,DF
109,Tom Krauﬂ,2024-2025,23,de GER,Bochum,de Bundesliga,2.9,1.5,1.7,1.1,0.2,1.6,3.2,50,1.6,2.2,0.2,2,0.9,3.8,1.6,0.1,MF
110,Urko Gonz·lez,2024-2025,23,es ESP,2 Teams,es La Liga,2.9,1.8,1.5,1.3,0.1,1.8,2.8,63.6,1,1.8,0.8,1,0.5,3.4,2.5,0.1,MF
111,Carlos MartÌn,2024-2025,22,es ESP,AlavÈs,es La Liga,2.9,1.4,1.2,1.1,0.6,0.9,3.3,26.5,2.4,2,0.1,2,0.3,3.2,1.4,0,"FW,MF"
112,Lucas Bergvall,2024-2025,18,se SWE,Tottenham,eng Premier League,2.9,1.4,1,1.5,0.4,1.3,2.4,53.1,1.1,1.3,0.6,0.7,1.8,4.7,1.6,0.2,MF
113,Manu Morlanes,2024-2025,25,es ESP,Mallorca,es La Liga,2.9,1.8,1.2,1.3,0.3,1.2,2,60,0.8,1.3,0.5,0.7,1.6,4.5,1.1,0,MF
114,Lamine Camara,2024-2025,20,sn SEN,Monaco,fr Ligue 1,2.9,1.8,1,1.5,0.4,1.1,2.1,54.2,1,1.3,0.2,1.1,1.4,4.3,1.4,0,MF
115,Michael Folorunsho,2024-2025,26,it ITA,2 Teams,it Serie A,2.9,1.8,1.2,1.2,0.5,1.3,3.2,41.7,1.8,1.2,0.1,1.1,0.7,3.5,1.4,0.1,"FW,MF"
116,BeÒat Prados,2024-2025,23,es ESP,Athletic Club,es La Liga,2.9,1.9,1,1.4,0.4,1.3,2.8,47.2,1.5,1.1,0.1,1,1.5,4.4,1.4,0,MF
117,Valentin Rongier,2024-2025,29,fr FRA,Marseille,fr Ligue 1,2.9,1.6,0.8,1.8,0.3,1.6,2.5,62.8,0.9,1.7,0.5,1.2,1.9,4.8,1.6,0.3,"MF,DF"
118,Maximilian Mittelst‰dt,2024-2025,27,de GER,Stuttgart,de Bundesliga,2.9,2,1.5,1.1,0.3,1.9,2.7,72.6,0.7,1.7,0.4,1.3,1.7,4.6,3.5,0.1,DF
119,Ilaix Moriba,2024-2025,21,gn GUI,Celta Vigo,es La Liga,2.9,1.8,1,1.3,0.6,1.4,2.4,56.1,1.1,1.2,0.2,1.1,0.6,3.5,1.4,0,MF
120,Ignace Van Der Brempt,2024-2025,22,be BEL,Como,it Serie A,2.9,2.3,1.9,0.7,0.2,1.7,2.4,72.7,0.6,1,0.4,0.6,1.2,4.1,2.4,0,DF
121,Thomas Partey,2024-2025,31,gh GHA,Arsenal,eng Premier League,2.9,1.7,0.8,1.3,0.8,1.5,2.4,60.5,1,0.9,0.3,0.6,1.1,4,1.6,0.1,"MF,DF"
122,Andoni Gorosabel,2024-2025,27,es ESP,Athletic Club,es La Liga,2.8,1.7,1.9,0.5,0.4,1.8,2.7,66.7,0.9,1.1,0.1,1,1.1,3.9,3.8,0,DF
123,Jordan Teze,2024-2025,24,nl NED,Monaco,fr Ligue 1,2.8,1.4,1.3,1.4,0.2,1.1,2.5,43.8,1.4,1.9,0.2,1.7,0.9,3.8,2.4,0,DF
124,Jota Silva,2024-2025,24,pt POR,Nott'ham Forest,eng Premier League,2.8,1.5,1.3,1.4,0.2,0.6,2.8,22.2,2.2,0.9,0.1,0.8,1.3,4.1,1.8,0,"FW,MF"
125,JosÈ Luis Gay‡,2024-2025,29,es ESP,Valencia,es La Liga,2.8,2,1.9,0.7,0.1,2,2.9,69,0.9,0.8,0.1,0.7,1.2,4.1,3,0,DF
126,Oliver Scarles,2024-2025,18,eng ENG,West Ham,eng Premier League,2.8,1.5,2.3,0.4,0.1,1.9,3,63.6,1.1,1.9,0.3,1.6,1.5,4.3,3.5,0,"DF,FW"
127,Kenny Tete,2024-2025,28,nl NED,Fulham,eng Premier League,2.8,1.9,1.5,0.7,0.7,1.2,1.9,60.5,0.8,1.6,0.6,1,1.6,4.5,3.4,0,DF
128,Jacques Ekomie,2024-2025,20,ga GAB,Angers,fr Ligue 1,2.8,1.8,1.2,1.3,0.4,1,1.5,66.7,0.5,2.1,0.6,1.4,0.5,3.4,1.8,0,"DF,FW"
129,Manu S·nchez,2024-2025,23,es ESP,AlavÈs,es La Liga,2.8,1.9,1.4,1.1,0.3,1.4,2.4,59.4,1,1.7,0.4,1.3,1,3.9,2.6,0,DF
130,Jean MattÈo Bahoya,2024-2025,19,fr FRA,Eint Frankfurt,de Bundesliga,2.8,1.8,1.1,1.3,0.5,1.6,2.5,61.5,1,1.4,0.2,1.2,0.4,3.2,1,0.1,"MF,FW"
131,Pierre Lees-Melou,2024-2025,31,fr FRA,Brest,fr Ligue 1,2.8,1.9,1.2,1.1,0.5,1.5,3.2,46.3,1.7,1.1,0.2,0.9,0.7,3.5,1.4,0,MF
132,Mateo Kova?i?,2024-2025,30,hr CRO,Manchester City,eng Premier League,2.8,1.6,0.9,1.6,0.3,1.3,2.7,47.7,1.4,0.8,0,0.8,1,3.8,0.9,0,MF
133,Adam Aznou,2024-2025,18,ma MAR,2 Teams,2 Comps,2.8,2.1,2,0.8,0,2.1,4.3,48.8,2.2,2.4,0.8,1.6,1,3.8,3.1,0,DF
134,Guido RodrÌguez,2024-2025,30,ar ARG,West Ham,eng Premier League,2.8,1.5,1.6,1.2,0,1.3,2.6,51.5,1.3,1.8,0.7,1.1,1,3.8,2.7,0.1,MF
135,Will Hughes,2024-2025,29,eng ENG,Crystal Palace,eng Premier League,2.8,1.5,0.9,1.4,0.6,1.2,2.6,45.2,1.5,1.3,0.6,0.7,0.9,3.8,1.2,0.1,MF
