,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,,,Short,,,Medium,,,Long,,,
Rk,Player,Cmp/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp/90,Att,Cmp%,KP,03-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Pos
1801,Rodrigo Muniz,8.6,2024-2025,23,br BRA,Fulham,eng Premier League,31,964,10.7,8,23,1,0.7,0.1,0.8,0.7,0,0,0,8.6,13.3,64.8,0.7,1.2,0.3,0,2.5,143.8,49.3,4.3,6.3,67.6,2.9,4.2,68.9,1,1.2,84.6,FW
1802,Bertuğ Yıldırım,8.4,2024-2025,22,tr TUR,Getafe,es La Liga,22,1083,12,14,8,12,0.1,0,0.1,0.1,0,0,0,8.4,15.5,54.3,0.7,0.7,0.7,0.2,1.2,108.4,23.9,4.7,8.2,56.6,2.5,4.2,60,0.3,0.7,44.4,FW
1803,Erling Haaland,8.4,2024-2025,24,no NOR,Manchester City,eng Premier League,31,2736,30.4,31,0,1,0.7,0.1,0.8,0.6,0.1,0.1,0,8.4,12.5,66.9,1,0.3,0.3,0,0.7,101.5,19.5,5.8,8.1,71.1,1.9,2.8,70.2,0.1,0.2,66.7,FW
1804,Jamie Vardy,8.2,2024-2025,37,eng ENG,Leicester City,eng Premier League,35,2823,31.4,35,0,0,0.3,0.1,0.4,0.3,0,0.1,0,8.2,12.4,66.3,0.6,0.4,0.3,0,0.7,120.4,13.5,4.5,6.1,74.2,2.7,3.6,75.4,0.5,0.7,68.2,FW
1805,Thierno Barry,8.1,2024-2025,21,fr FRA,Villarreal,es La Liga,35,2323,25.8,25,10,0,0.4,0.2,0.6,0.4,0,0,0,8.1,13.1,62,0.9,0.5,0.5,0,1,114.1,21.2,4.6,6.7,68.6,2.7,4.5,60.3,0.3,0.7,47.4,FW
1806,Andy Delort,8,2024-2025,32,dz ALG,Montpellier,fr Ligue 1,9,607,6.7,8,1,0,0,0,0,0,0,0,0,8,16.3,49.1,1,0.7,0.3,0.3,0.9,96.4,26.5,4.4,7.6,58.8,2.1,4.6,45.2,0.3,1,28.6,FW
1807,Liam Delap,7.6,2024-2025,21,eng ENG,Ipswich Town,eng Premier League,37,2593,28.8,32,5,0,0.4,0.1,0.5,0.3,0.1,0.1,0,7.6,12.4,61.3,0.7,0.6,0.2,0,1,104.5,22.8,4.3,6,70.7,2.4,3.7,63.9,0.3,0.8,37.5,FW
1808,Moise Kean,7.6,2024-2025,24,it ITA,Fiorentina,it Serie A,32,2704,30,31,1,0,0.6,0.1,0.7,0.6,0,0.1,0,7.6,10.9,69.9,0.6,0.5,0.3,0,0.9,115.1,18.4,4.3,5.4,79.5,2.5,3.7,67.3,0.5,0.6,82.4,FW
1809,Ante Budimir,7.3,2024-2025,33,hr CRO,Osasuna,es La Liga,38,2952,32.8,34,4,0,0.6,0.1,0.8,0.4,0.2,0.2,0,7.3,13,56.1,0.5,0.4,0.2,0,0.7,92.1,15.3,4.9,7.6,65.1,1.8,3.5,51.8,0.2,0.3,45.5,FW
1810,Miguel,7.3,2024-2025,24,es ESP,Leganés,es La Liga,34,1724,19.2,17,17,3,0.1,0.2,0.2,0,0.1,0.1,0.1,7.3,12.4,58.6,0.4,0.5,0.3,0.1,0.8,105.5,19.9,4,6,67.5,2.4,3.8,63.9,0.3,0.8,40,FW
