Rk,Player,xG/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,xG/90,npxG,xAG,xG+xAG,xA,npxG+xAG,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Pos
1401,Urko González,0,2024-2025,23,es ESP,2 Teams,es La Liga,18,1419,15.8,17,1,9,0,0.1,0.1,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0.1,0.14,0.3,0,0,0.1,50,15.8,0,MF
1402,Magnus Knudsen,0,2024-2025,23,no NOR,Holstein Kiel,de Bundesliga,31,1850,20.6,22,9,2,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0.06,0.6,0,0,0.2,33.3,26.1,0,MF
1403,Mario Gila,0,2024-2025,23,es ESP,Lazio,it Serie A,32,2741,30.5,31,1,2,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0.07,0.5,0.07,0.25,0.1,26.7,16.7,0,DF
1404,Fernando Calero,0,2024-2025,28,es ESP,Espanyol,es La Liga,21,715,7.9,6,15,10,0.1,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.14,0.3,0.5,1,0.1,50,9.1,0,"DF,MF"
1405,Ben White,0,2024-2025,26,eng ENG,Arsenal,eng Premier League,17,1198,13.3,13,4,3,0,0.2,0.2,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0.05,0.7,0,0,0.2,22.2,19.4,0,DF
1406,Adam Masina,0,2024-2025,30,ma MAR,Torino,it Serie A,28,1919,21.3,20,8,9,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.09,0.4,0.13,0.5,0.1,25,14.6,0,DF
1407,Maximilian Arnold,0,2024-2025,30,de GER,Wolfsburg,de Bundesliga,28,2356,26.2,27,1,0,0.1,0.2,0.3,0.1,0,0,0,0,0,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.03,1,0.11,0.25,0.5,44.4,28.9,0.3,MF
1408,Jonathan Tah,0,2024-2025,28,de GER,Leverkusen,de Bundesliga,33,2970,33,33,0,0,0.1,0,0.1,0.1,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0,0.05,0.7,0.13,0.43,0.2,29.2,14,0,DF
1409,Aaron Wan-Bissaka,0,2024-2025,26,cd COD,West Ham,eng Premier League,36,3154,35,35,1,1,0.1,0.1,0.2,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0.07,0.5,0.13,0.4,0.1,31.3,15.1,0,DF
1410,Wesley Fofana,0,2024-2025,23,fr FRA,Chelsea,eng Premier League,14,1172,13,14,0,1,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0.13,0.2,0,,0,0,10.6,0,DF
1411,Abdel Abqar,0,2024-2025,25,ma MAR,Alavés,es La Liga,29,2463,27.4,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.4,0,0,0,8.3,8,0,DF
1412,Arthur Chaves,0,2024-2025,23,br BRA,Hoffenheim,de Bundesliga,26,2185,24.3,24,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.4,0.1,0.5,0.1,20,12.6,0,DF
1413,Yvann Macon,0,2024-2025,25,fr FRA,Saint-Étienne,fr Ligue 1,12,790,8.8,10,2,2,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0.03,1.1,0,0,0.2,20,20.3,0,DF
1414,Ignace Van Der Brempt,0,2024-2025,22,be BEL,Como,it Serie A,20,1257,14,14,6,6,0,0.1,0.1,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0.07,0.5,0,0,0.2,42.9,11.4,0,DF
1415,Vitaly Janelt,0,2024-2025,26,de GER,Brentford,eng Premier League,32,2254,25,27,5,0,0,0.1,0.2,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0.06,0.6,0.07,0.25,0.2,28.6,17.7,0,MF
1416,Tanguy Nianzou,0,2024-2025,22,fr FRA,Sevilla,es La Liga,6,518,5.8,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.3,0,,0,0,8.9,0,DF
1417,Sergio Carreira,0,2024-2025,23,es ESP,Celta Vigo,es La Liga,23,1656,18.4,19,4,9,0,0.2,0.2,0,0,0,0,0,0,0.2,0.2,0.1,0.2,0,0,0,0.05,0.7,0,0,0.2,23.1,15.6,0,"MF,DF"
