,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,,,Short,,,Medium,,,Long,,,
Rk,Player,Cmp/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp/90,Att,Cmp%,KP,03-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Pos
1001,Sean Longstaff,33.3,2024-2025,26,eng ENG,Newcastle Utd,eng Premier League,25,798,8.9,8,17,13,0,0,0,0,0,0,0,33.3,39.4,84.5,0.5,2.9,0.1,0,4.5,497,132.5,18.2,20.9,87,12.5,13.5,92.5,1.7,2.5,68.2,MF
1002,Cedric Zesiger,33.3,2024-2025,26,ch SUI,2 Teams,de Bundesliga,22,1743,19.4,20,2,9,0,0.1,0.1,0,0,0,0,33.3,42.1,78.9,0.4,3.1,0.4,0.3,3,612.8,232.4,13,14.1,91.6,17,19.4,87.8,2.7,6.5,41.6,DF
1003,João Félix,33.2,2024-2025,24,pt POR,2 Teams,2 Comps,27,1129,12.5,11,16,9,0.2,0.1,0.3,0.2,0,0,0,33.2,39.9,83.4,1.3,4.2,1.5,0,5.3,498.3,142.5,19.8,22.2,89.2,10.6,12,88.1,2.1,3.3,61.9,"FW,MF"
1004,Nicolás Paz,33.2,2024-2025,19,ar ARG,Como,it Serie A,35,2687,29.9,30,5,1,0.2,0.3,0.5,0.2,0,0,0,33.2,41.2,80.6,1.8,3.9,1.3,0.1,5.5,466.7,132.2,20.2,22.5,89.5,10.2,12.3,82.8,1.5,3,48.9,"MF,FW"
1005,Andrej Kramari?,33.2,2024-2025,33,hr CRO,Hoffenheim,de Bundesliga,32,2767,30.7,32,0,0,0.4,0.3,0.6,0.3,0.1,0.1,0,33.2,42.7,77.7,1.6,3.3,1.2,0.5,4.7,504,133.4,18.2,20.9,87.1,11,13.9,79.2,2.2,4.3,51.9,"MF,FW"
1006,Valentin Rosier,33.2,2024-2025,27,fr FRA,Leganés,es La Liga,32,2595,28.8,28,4,2,0,0.1,0.1,0,0,0,0,33.2,41.8,79.3,0.4,2.5,0.6,0.1,2.6,513.5,195.8,18.2,19.8,92.1,12.2,15.1,80.9,1.8,4.4,42.1,DF
1007,Pedro Díaz,33.1,2024-2025,26,es ESP,Rayo Vallecano,es La Liga,26,1211,13.5,12,14,12,0.2,0,0.2,0.2,0,0.1,0.1,33.1,42.1,78.8,1.9,3.3,1.3,0.1,4.6,491.4,146,19.8,22.2,89,9.6,11.1,86,2.4,5.9,40,MF
1008,Sergio Akieme,33.1,2024-2025,26,es ESP,Reims,fr Ligue 1,30,2523,28,29,1,0,0.1,0.1,0.2,0.1,0,0,0,33.1,40.9,81,0.7,1.5,0.7,0.4,3.1,486.6,144.9,18.8,20.5,91.7,12.1,14.4,83.9,1.2,3.9,32.4,DF
1009,Stanko Juri?,33.1,2024-2025,27,hr CRO,Valladolid,es La Liga,26,1729,19.2,19,7,8,0,0,0,0,0,0,0,33.1,39.3,84.2,0.2,2.1,0.2,0,3,544.2,156,15.6,17.8,88,14.9,16.7,89.7,1.8,3.2,57.4,MF
