Rk,Player,Gls/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls/90,Ast,G+A,G-PK,PK,PKatt,PKm,Pos
801,Patrick Dorgu,0.1,2024-2025,19,dk DEN,2 Teams,2 Comps,33,2682,29.8,31,2,1,0.1,0,0.1,0.1,0,0,0,DF
802,Kenny Lala,0.1,2024-2025,32,mg MAD,Brest,fr Ligue 1,30,2686,29.8,29,1,2,0.1,0.1,0.2,0,0.1,0.1,0,DF
803,Oier Zarraga,0.1,2024-2025,25,es ESP,Udinese,it Serie A,22,896,10,9,13,9,0.1,0,0.1,0.1,0,0,0,MF
804,Nordi Mukiele,0.1,2024-2025,26,fr FRA,Leverkusen,de Bundesliga,15,899,10,10,5,12,0.1,0,0.1,0.1,0,0,0,DF
805,Erhan Mašovi?,0.1,2024-2025,25,rs SRB,Bochum,de Bundesliga,16,910,10.1,10,6,13,0.1,0.1,0.2,0.1,0,0,0,DF
806,Luka Modri?,0.1,2024-2025,38,hr CRO,Real Madrid,es La Liga,35,1827,20.3,17,18,2,0.1,0.3,0.4,0.1,0,0,0,MF
807,Pablo Fornals,0.1,2024-2025,28,es ESP,Betis,es La Liga,26,1827,20.3,22,4,2,0.1,0,0.1,0.1,0,0,0,"MF,FW"
808,Rocco Reitz,0.1,2024-2025,22,de GER,Gladbach,de Bundesliga,27,1830,20.3,21,6,0,0.1,0,0.1,0.1,0,0,0,MF
809,Ivan Ili?,0.1,2024-2025,23,rs SRB,Torino,it Serie A,19,920,10.2,9,10,4,0.1,0,0.1,0.1,0,0,0,MF
810,Martin Valjent,0.1,2024-2025,28,sk SVK,Mallorca,es La Liga,31,2763,30.7,31,0,6,0.1,0,0.1,0.1,0,0,0,DF
811,Lars Ritzka,0.1,2024-2025,26,de GER,St. Pauli,de Bundesliga,21,922,10.2,11,10,8,0.1,0,0.1,0.1,0,0,0,"DF,MF"
812,Aljoscha Kemlein,0.1,2024-2025,19,de GER,Union Berlin,de Bundesliga,15,922,10.2,11,4,4,0.1,0,0.1,0.1,0,0,0,MF
813,Ko Itakura,0.1,2024-2025,27,jp JPN,Gladbach,de Bundesliga,31,2790,31,31,0,0,0.1,0,0.1,0.1,0,0,0,DF
814,Strahinja Pavlovi?,0.1,2024-2025,23,rs SRB,Milan,it Serie A,24,1864,20.7,21,3,13,0.1,0,0.1,0.1,0,0,0,DF
815,Matteo Politano,0.1,2024-2025,30,it ITA,Napoli,it Serie A,37,2804,31.2,34,3,0,0.1,0.1,0.2,0.1,0,0,0,"FW,MF"
816,Tyler Dibling,0.1,2024-2025,18,eng ENG,Southampton,eng Premier League,33,1874,20.8,20,13,1,0.1,0,0.1,0.1,0,0,0,"FW,MF"
817,Éder Militão,0.1,2024-2025,26,br BRA,Real Madrid,es La Liga,12,938,10.4,11,1,0,0.1,0.1,0.2,0.1,0,0,0,DF
818,Dailon Livramento,0.1,2024-2025,23,cv CPV,Hellas Verona,it Serie A,29,940,10.4,8,21,7,0.1,0.1,0.2,0.1,0,0,0,"FW,MF"
819,Farid El Melali,0.1,2024-2025,27,dz ALG,Angers,fr Ligue 1,32,1893,21,22,10,0,0.1,0.1,0.2,0.1,0,0,0,FW
820,Joshua Kimmich,0.1,2024-2025,29,de GER,Bayern Munich,de Bundesliga,33,2847,31.6,32,1,0,0.1,0.2,0.3,0.1,0,0,0,MF
821,Abakar Sylla,0.1,2024-2025,21,ci CIV,Strasbourg,fr Ligue 1,21,950,10.6,10,11,9,0.1,0,0.1,0.1,0,0,0,DF
822,Thiago Almada,0.1,2024-2025,23,ar ARG,Lyon,fr Ligue 1,16,951,10.6,9,7,1,0.1,0.4,0.5,0.1,0,0,0,"MF,FW"
823,Riccardo Sottil,0.1,2024-2025,25,it ITA,2 Teams,it Serie A,24,956,10.6,9,15,12,0.1,0.1,0.2,0.1,0,0,0,"FW,MF"
824,Ethan Pinnock,0.1,2024-2025,31,jm JAM,Brentford,eng Premier League,22,1913,21.3,21,1,9,0.1,0,0.1,0.1,0,0,0,DF
825,Viktor Tsyhankov,0.1,2024-2025,26,ua UKR,Girona,es La Liga,27,1913,21.3,23,4,1,0.1,0.2,0.3,0.1,0,0,0,"FW,MF"
826,Ryan Yates,0.1,2024-2025,26,eng ENG,Nott'ham Forest,eng Premier League,35,1915,21.3,18,17,2,0.1,0,0.1,0.1,0,0,0,MF
827,Giuliano Simeone,0.1,2024-2025,21,ar ARG,Atlético Madrid,es La Liga,33,1926,21.4,26,7,5,0.1,0.3,0.4,0.1,0,0,0,MF
828,Thomas Meunier,0.1,2024-2025,32,be BEL,Lille,fr Ligue 1,30,1928,21.4,21,9,1,0.1,0,0.1,0.1,0,0,0,DF
829,Nicola Zalewski,0.1,2024-2025,22,pl POL,2 Teams,it Serie A,23,968,10.8,8,15,8,0.1,0.1,0.2,0.1,0,0,0,"DF,FW"
830,Melvin Bard,0.1,2024-2025,23,fr FRA,Nice,fr Ligue 1,24,1938,21.5,22,2,1,0.1,0,0.1,0.1,0,0,0,"DF,MF"
831,Stefan Bajcetic,0.1,2024-2025,19,es ESP,Las Palmas,es La Liga,14,969,10.8,12,2,1,0.1,0,0.1,0.1,0,0,0,"MF,DF"
832,Siebe Van Der Heyden,0.1,2024-2025,26,be BEL,2 Teams,2 Comps,15,969,10.8,12,3,13,0.1,0,0.1,0.1,0,0,0,"DF,MF"
833,Waldemar Anton,0.1,2024-2025,28,de GER,Dortmund,de Bundesliga,26,1949,21.7,22,4,3,0.1,0.1,0.2,0.1,0,0,0,DF
834,Jean-Eudes Aholou,0.1,2024-2025,30,ci CIV,Angers,fr Ligue 1,26,1959,21.8,26,0,1,0.1,0,0.1,0.1,0,0,0,MF
835,Yasin Ayari,0.1,2024-2025,20,se SWE,Brighton,eng Premier League,34,1965,21.8,22,12,2,0.1,0,0.1,0.1,0,0,0,MF
836,Lewis Ferguson,0.1,2024-2025,24,sct SCO,Bologna,it Serie A,16,983,10.9,10,6,9,0.1,0.1,0.2,0,0.1,0.1,0,MF
837,Finn Porath,0.1,2024-2025,27,de GER,Holstein Kiel,de Bundesliga,31,1970,21.9,20,11,1,0.1,0.1,0.2,0.1,0,0,0,"DF,MF"
838,Lucas Torró,0.1,2024-2025,30,es ESP,Osasuna,es La Liga,35,2957,32.9,35,0,1,0.1,0,0.1,0.1,0,0,0,MF
839,Clément Lenglet,0.1,2024-2025,29,fr FRA,Atlético Madrid,es La Liga,23,1972,21.9,23,0,10,0.1,0,0.1,0.1,0,0,0,DF
840,Jonathan Tah,0.1,2024-2025,28,de GER,Leverkusen,de Bundesliga,33,2970,33,33,0,0,0.1,0,0.1,0.1,0,0,0,DF
841,Chris Führich,0.1,2024-2025,26,de GER,Stuttgart,de Bundesliga,33,1981,22,23,10,0,0.1,0.1,0.2,0.1,0,0,0,"MF,FW"
842,Marash Kumbulla,0.1,2024-2025,24,al ALB,Espanyol,es La Liga,35,2972,33,34,1,0,0.1,0,0.1,0.1,0,0,0,DF
843,João Gomes,0.1,2024-2025,23,br BRA,Wolves,eng Premier League,36,2974,33,35,1,0,0.1,0,0.1,0.1,0,0,0,MF
844,Abde Ezzalzouli,0.1,2024-2025,22,ma MAR,Betis,es La Liga,32,1984,22,23,9,1,0.1,0.1,0.2,0.1,0,0,0,"FW,MF"
845,Romain Perraud,0.1,2024-2025,26,fr FRA,Betis,es La Liga,28,2002,22.2,22,6,8,0.1,0.1,0.2,0.1,0,0,0,DF
846,Coba da Costa,0.1,2024-2025,22,es ESP,Getafe,es La Liga,19,1006,11.2,12,7,11,0.1,0.1,0.2,0.1,0,0,0,"MF,FW"
847,Andreas Pereira,0.1,2024-2025,28,br BRA,Fulham,eng Premier League,33,2013,22.4,25,8,2,0.1,0.2,0.3,0.1,0,0,0,MF
848,Abdul Mumin,0.1,2024-2025,26,gh GHA,Rayo Vallecano,es La Liga,24,2017,22.4,24,0,0,0.1,0,0.1,0.1,0,0,0,DF
849,Youri Tielemans,0.1,2024-2025,27,be BEL,Aston Villa,eng Premier League,36,3026,33.6,35,1,0,0.1,0.2,0.3,0.1,0,0,0,MF
850,Rémy Cabella,0.1,2024-2025,34,fr FRA,Lille,fr Ligue 1,23,1011,11.2,12,11,4,0.1,0.2,0.3,0.1,0,0,0,"FW,MF"
851,Fares Chaïbi,0.1,2024-2025,21,dz ALG,Eint Frankfurt,de Bundesliga,26,1013,11.3,10,16,4,0.1,0.3,0.4,0.1,0,0,0,"MF,FW"
852,Javi Sánchez,0.1,2024-2025,27,es ESP,Valladolid,es La Liga,25,2026,22.5,25,0,1,0.1,0,0.1,0.1,0,0,0,DF
853,Johan Vásquez,0.1,2024-2025,25,mx MEX,Genoa,it Serie A,36,3041,33.8,34,2,0,0.1,0,0.1,0.1,0,0,0,DF
854,Mats Wieffer,0.1,2024-2025,24,nl NED,Brighton,eng Premier League,25,1015,11.3,10,15,3,0.1,0.3,0.4,0.1,0,0,0,"DF,MF"
855,Cesare Casadei,0.1,2024-2025,21,it ITA,2 Teams,2 Comps,15,1017,11.3,13,2,4,0.1,0.1,0.2,0.1,0,0,0,MF
856,Théo Sainte-Luce,0.1,2024-2025,25,fr FRA,Montpellier,fr Ligue 1,16,1018,11.3,11,5,4,0.1,0,0.1,0.1,0,0,0,DF
857,Marc Guéhi,0.1,2024-2025,24,eng ENG,Crystal Palace,eng Premier League,34,3059,34,34,0,0,0.1,0.1,0.1,0.1,0,0,0,DF
858,Warren Kamanzi,0.1,2024-2025,23,no NOR,Toulouse,fr Ligue 1,24,1022,11.4,11,13,9,0.1,0.1,0.2,0.1,0,0,0,"DF,MF"
859,Mohammed Salisu,0.1,2024-2025,25,gh GHA,Monaco,fr Ligue 1,15,1023,11.4,11,4,15,0.1,0,0.1,0.1,0,0,0,DF
860,Johann Lepenant,0.1,2024-2025,21,fr FRA,Nantes,fr Ligue 1,29,2048,22.8,23,6,1,0.1,0,0.1,0.1,0,0,0,MF
861,Lamine Camara,0.1,2024-2025,20,sn SEN,Monaco,fr Ligue 1,29,2054,22.8,25,4,0,0.1,0.3,0.4,0.1,0,0,0,MF
862,Djibril Sow,0.1,2024-2025,27,ch SUI,Sevilla,es La Liga,30,2062,22.9,24,6,1,0.1,0,0.1,0.1,0,0,0,MF
863,Abel Bretones,0.1,2024-2025,23,es ESP,Osasuna,es La Liga,35,2074,23,20,15,3,0.1,0,0.1,0.1,0,0,0,DF
864,Gerard Martín,0.1,2024-2025,22,es ESP,Barcelona,es La Liga,28,1038,11.5,11,17,10,0.1,0.3,0.3,0.1,0,0,0,DF
865,Angelo Fulgini,0.1,2024-2025,27,fr FRA,Lens,fr Ligue 1,23,1045,11.6,11,12,6,0.1,0.1,0.2,0.1,0,0,0,"MF,FW"
866,Yassine Kechta,0.1,2024-2025,22,ma MAR,Le Havre,fr Ligue 1,31,2096,23.3,25,6,2,0.1,0,0.1,0.1,0,0,0,"MF,FW"
867,Marc Bartra,0.1,2024-2025,33,es ESP,Betis,es La Liga,25,2099,23.3,23,2,6,0.1,0,0.1,0.1,0,0,0,DF
868,Jeremie Boga,0.1,2024-2025,27,ci CIV,Nice,fr Ligue 1,21,1054,11.7,12,9,3,0.1,0.2,0.3,0.1,0,0,0,"MF,FW"
869,Matt Doherty,0.1,2024-2025,32,ie IRL,Wolves,eng Premier League,30,2109,23.4,25,5,8,0.1,0,0.1,0.1,0,0,0,DF
870,Emerson Palmieri,0.1,2024-2025,29,it ITA,West Ham,eng Premier League,31,2113,23.5,26,5,4,0.1,0,0.1,0.1,0,0,0,DF
871,Ryan Christie,0.1,2024-2025,29,sct SCO,Bournemouth,eng Premier League,29,2117,23.5,27,2,0,0.1,0.1,0.2,0.1,0,0,0,MF
872,Lorenzo De Silvestri,0.1,2024-2025,36,it ITA,Bologna,it Serie A,18,1060,11.8,13,5,19,0.1,0,0.1,0.1,0,0,0,DF
873,Rassoul Ndiaye,0.1,2024-2025,22,sn SEN,Le Havre,fr Ligue 1,27,1061,11.8,11,16,6,0.1,0,0.1,0.1,0,0,0,MF
874,Christian Eriksen,0.1,2024-2025,32,dk DEN,Manchester Utd,eng Premier League,23,1061,11.8,11,12,12,0.1,0.2,0.3,0,0.1,0.1,0,MF
875,Matthijs de Ligt,0.1,2024-2025,24,nl NED,Manchester Utd,eng Premier League,29,2123,23.6,25,4,1,0.1,0,0.1,0.1,0,0,0,DF
876,Reece James,0.1,2024-2025,24,eng ENG,Chelsea,eng Premier League,19,1063,11.8,12,7,4,0.1,0.1,0.2,0.1,0,0,0,"DF,MF"
877,Giangiacomo Magnani,0.1,2024-2025,28,it ITA,Hellas Verona,it Serie A,17,1065,11.8,11,6,4,0.1,0,0.1,0.1,0,0,0,DF
878,Modibo Sagnan,0.1,2024-2025,25,ml MLI,Montpellier,fr Ligue 1,27,2141,23.8,24,3,0,0.1,0,0.1,0.1,0,0,0,DF
879,Matteo Gabbia,0.1,2024-2025,24,it ITA,Milan,it Serie A,26,2152,23.9,24,2,8,0.1,0,0.1,0.1,0,0,0,DF
880,Adam Obert,0.1,2024-2025,21,sk SVK,Cagliari,it Serie A,21,1077,12,13,8,15,0.1,0.1,0.2,0.1,0,0,0,DF
881,José Luis Palomino,0.1,2024-2025,34,ar ARG,Cagliari,it Serie A,18,1081,12,10,8,20,0.1,0,0.1,0.1,0,0,0,DF
882,Bertu? Y?ld?r?m,0.1,2024-2025,22,tr TUR,Getafe,es La Liga,22,1083,12,14,8,12,0.1,0,0.1,0.1,0,0,0,FW
883,Gavi,0.1,2024-2025,19,es ESP,Barcelona,es La Liga,26,1085,12.1,14,12,3,0.1,0.1,0.2,0.1,0,0,0,"MF,FW"
884,Abner,0.1,2024-2025,24,br BRA,Lyon,fr Ligue 1,19,1090,12.1,12,7,13,0.1,0.1,0.2,0.1,0,0,0,DF
885,Bilal El Khannouss,0.1,2024-2025,20,ma MAR,Leicester City,eng Premier League,32,2182,24.2,27,5,3,0.1,0.1,0.2,0.1,0,0,0,"MF,FW"
886,Amir Richardson,0.1,2024-2025,22,ma MAR,Fiorentina,it Serie A,27,1099,12.2,10,17,9,0.1,0.1,0.2,0.1,0,0,0,MF
887,Eduardo Camavinga,0.1,2024-2025,21,fr FRA,Real Madrid,es La Liga,19,1102,12.2,11,8,1,0.1,0.2,0.2,0.1,0,0,0,"MF,DF"
888,Giovanni Di Lorenzo,0.1,2024-2025,30,it ITA,Napoli,it Serie A,37,3330,37,37,0,0,0.1,0.1,0.1,0.1,0,0,0,DF
